"Rsq","F","P","lambda.input","lambda.est.x","lambda.est.xy","slope","beta"
0.0475985009821045,1.49932043464403,0.230304636932196,0,1e-06,1e-06,-0.20282045936592,0
0.0050527192707041,0.152351366808113,0.699056171491999,0,1e-06,1e-06,0.0603756174352263,0.25
0.336474189936643,15.2130113780133,0.00050172025644768,0,1e-06,1e-06,0.630635838199798,0.5
0.349607163089843,16.1259692565527,0.000365698079551446,0,1e-06,1e-06,0.550732651682794,0.75
0.633328892869572,51.8171909828957,5.19452858505076e-08,0,1e-06,1e-06,0.929550186055125,1
0.00461565910694687,0.139111866160333,0.711787966182884,0,1e-06,1e-06,-0.0612415101952493,0
0.00193314139907653,0.0581065701886861,0.811153909452135,0,1e-06,1e-06,0.0404059024773752,0.25
0.424933355729261,22.1678666270828,5.30328608903119e-05,0,1e-06,1e-06,0.8545146146202,0.5
0.519548637806548,32.441284093853,3.27258747923054e-06,0,1e-06,1e-06,0.994723209725982,0.75
0.558563996095641,37.9600207836689,8.89350443067372e-07,0,1e-06,1e-06,0.974668351243466,1
0.00499919597977359,0.150729405229867,0.700580757194438,0,1e-06,1e-06,-0.0867105028263526,0
0.0246978071220203,0.759697065249302,0.39034551883308,0,1e-06,1e-06,0.187003327898934,0.25
0.132476341504479,4.58118946522642,0.0405729888653583,0,1e-06,1e-06,0.404349380761652,0.5
0.304366572123905,13.1261621391541,0.00106355523134072,0,1e-06,1e-06,0.790095476235602,0.75
0.383766140405413,18.682816649732,0.000156397309645229,0,1e-06,1e-06,0.84194435858768,1
0.000227516358646327,0.00682704402358636,0.934697830950431,0,1e-06,0.197329359109222,0.0151673609312434,0
0.0159124331474619,0.485091988257372,0.491486513799209,0,1e-06,1e-06,0.124135218683647,0.25
0.294690170188614,12.534498644408,0.00132632187368875,0,1e-06,1e-06,0.592960975290669,0.5
0.331627738741402,14.8851661550221,0.000563060803903337,0,1e-06,1e-06,0.777232874910519,0.75
0.321291792630892,14.2016166509754,0.000718402851452193,0,1e-06,1e-06,0.775737443240996,1
0.0129400048187552,0.393289310130915,0.535319558207237,0,1e-06,1e-06,-0.125950923771173,0
0.14086036104207,4.91865424389881,0.034285599621845,0,1e-06,1e-06,0.484715694737742,0.25
0.346321322196647,15.8941082502693,0.000396011025175946,0,1e-06,1e-06,0.769940625262127,0.5
0.488141295777741,28.6099244821544,8.69886669940811e-06,0,1e-06,1e-06,0.971168239385498,0.75
0.37250125580486,17.8088606192821,0.000207889714040066,0,1e-06,1e-06,0.992750656730521,1
0.00360984695083269,0.108687754684822,0.743934020354676,0,1e-06,1e-06,0.0633241049838684,0
0.0383879865409725,1.19761356982906,0.282508224753074,0,1e-06,1e-06,0.230272436955047,0.25
0.27817711228995,11.561441886629,0.00192252342605626,0,1e-06,1e-06,0.638878623957423,0.5
0.323890196828739,14.3714909313345,0.000675920992353252,0,1e-06,1e-06,0.589431236540168,0.75
0.556998503027664,37.7198614565255,9.39036607805477e-07,0,1e-06,0.374850980602582,1.16757617282139,1
0.0556662284024011,1.76842860257639,0.19359972397081,0,1e-06,1e-06,0.262047461368554,0
0.195831897403346,7.30563286846392,0.0112061196526967,0,1e-06,0.0611569782051956,0.368272087754246,0.25
0.117035308279742,3.97644354447712,0.0552992691515806,0,1e-06,1e-06,0.428759915653185,0.5
0.599524816000281,44.9110087181358,1.99907963072121e-07,0,1e-06,1e-06,1.16156710883149,0.75
0.4001017742697,20.0084826279971,0.00010264809838012,0,1e-06,1e-06,0.925064454848531,1
0.00527778965006217,0.159173775205204,0.692744180165181,0,1e-06,1e-06,-0.0479122665790095,0
0.269419631585113,11.0632440960464,0.0023345330992659,0,1e-06,0.329455870204495,0.370592130605591,0.25
0.379682762612727,18.3623510550144,0.000173486004847678,0,1e-06,1e-06,0.591241125093376,0.5
0.602789664463044,45.5267356259638,1.76374951088576e-07,0,1e-06,1e-06,0.905000360608594,0.75
0.652055206269369,56.2205744720099,2.33503851809758e-08,0,1e-06,1e-06,1.08705586923314,1
0.0227720119438543,0.699079812147561,0.409703495738344,0,1e-06,1e-06,0.143108760127432,0
0.15317663009168,5.42651403591743,0.0267539863941049,0,1e-06,1e-06,0.399603185077224,0.25
0.490151413931348,28.8409987194912,8.18534277202687e-06,0,1e-06,1e-06,0.757919897127739,0.5
0.602540629511126,45.4794130607616,1.78074247347837e-07,0,1e-06,1e-06,0.913602656045983,0.75
0.476634727283581,27.3213424044954,1.22710029311079e-05,0,1e-06,1e-06,0.925347129681351,1
9.31018633394925e-05,0.00279331596310584,0.958200338840854,0,1e-06,1e-06,-0.0123761387302205,0
0.0342561085653672,1.06413643003672,0.310518767926185,0,1e-06,1e-06,0.155984930755767,0.25
0.451043336874458,24.6491226268971,2.57316251290884e-05,0,1e-06,1e-06,0.760116460801723,0.5
0.436887388027902,23.2753118331622,3.82311401705415e-05,0,1e-06,1e-06,0.855846138370997,0.75
0.218318057918361,8.37878091453567,0.0070130103774626,0,1e-06,1e-06,0.698789563750885,1
0.165215016765773,5.93739777609594,0.0209702376023069,0,1e-06,1e-06,-0.530841942576228,0
0.0377025520563753,1.17539183347967,0.286932499380307,0,1e-06,1e-06,0.215946490601273,0.25
0.171917408883428,6.22827037040898,0.018299686986984,0,1e-06,1e-06,0.473767596117141,0.5
0.270519637958758,11.1251646528956,0.00227850934758278,0,1e-06,1e-06,0.670987710675462,0.75
0.286588164217083,12.05144699776,0.00159265751635007,0,1e-06,0.116928444636879,0.653481796136994,1
