"Rsq","F","P","lambda.input","lambda.est.x","lambda.est.xy","slope","beta"
0.00985069254185642,1.25353545260787,0.265008023825837,0,0.01,0.01,0.0964894593980473,0
0.0496116234662725,6.57737900746359,0.0115012865371966,0,0.01,0.01,0.232103867214021,0.25
0.142304206466411,20.9052325427612,1.13706739697239e-05,0,0.01,0.01,0.4404282217077,0.5
0.361143537898618,71.227401575543,6.3948846218409e-14,0,0.01,0.01,0.664454314962679,0.75
0.457839188181801,106.403370463912,0,0,0.01,0.01,0.854357955691551,1
0.0306201923107221,3.98001299443991,0.0482008592183769,0,0.01,0.01,-0.179407692830786,0
0.0536722226123031,7.14625546321633,0.00850679301175017,0,0.01,0.01,0.226726207870096,0.25
0.243873319020272,40.6387434401062,3.15363668512703e-09,0,0.01,0.01,0.590431533004071,0.5
0.427148769902648,93.9523949326025,0,0,0.01,0.01,0.739751000447997,0.75
0.534022526497264,144.39933723161,0,0,0.01,0.01,1.00272771410464,1
0.0266052992298048,3.44389352058619,0.0658223918044687,0,0.01,0.01,0.153480883160872,0
0.0465053066587237,6.14546539159593,0.0144966760441245,0,0.01,0.01,0.259242389922236,0.25
0.242833807735146,40.409965589068,3.44567885335323e-09,0,0.01,0.01,0.6578098575376,0.5
0.182124294012338,28.0576386822044,5.08049146308309e-07,0,0.01,0.01,0.494817173845928,0.75
0.397457966325868,83.1140417734632,1.55431223447522e-15,0,0.01,0.01,0.900473786867809,1
0.00473389003090924,0.599307198265888,0.440292654127019,0,0.01,0.01,0.0821215271042462,0
0.0152468687213426,1.95084980983477,0.164950638089691,0,0.01,0.01,0.12568055479186,0.25
0.128575252994631,18.5907984975135,3.23761516931587e-05,0,0.01,0.01,0.414904337845963,0.5
0.376237941781881,76.0001029878927,1.37667655053519e-14,0,0.01,0.01,0.836769851026073,0.75
0.461179876962716,107.844273093864,0,0,0.01,0.01,0.923678478699233,1
0.00295205554552007,0.373060293443603,0.542441078780795,0,0.01,0.01,-0.0592612312476351,0
0.0835736758225457,11.490594361846,0.000934400105440769,0,0.01,0.01,0.297621801126303,0.25
0.23970547514499,39.725249730068,4.495082972511e-09,0,0.01,0.01,0.565728366668403,0.5
0.402493314426929,84.8763015415516,8.88178419700125e-16,0,0.01,0.01,0.724023960054645,0.75
0.544826682188443,150.817632030365,0,0,0.01,0.01,1.14500547917283,1
0.000785413425387672,0.0990398788493437,0.753505411062309,0,0.01,0.01,-0.0314313452469455,0
0.061106268559813,8.20049125977889,0.00490705775166589,0,0.01,0.01,0.287939818089274,0.25
0.0697396877731829,9.44595888261278,0.00259441151118356,0,0.01,0.01,0.304346757925139,0.5
0.212500678607946,34.000137876019,4.35703082501959e-08,0,0.01,0.01,0.645398415775655,0.75
0.432258587621488,95.9320226652696,0,0,0.01,0.01,0.981373415132454,1
1.51057563173515e-06,0.000190332817110744,0.989014462092676,0,0.01,0.01,-0.00128504326318279,0
0.067666236665095,9.14473566773464,0.00302329207735519,0,0.01,0.01,0.280361169304588,0.25
0.180972179742136,27.8409280900006,5.56796478701216e-07,0,0.01,0.01,0.428924601367429,0.5
0.249483487550505,41.8843808362963,1.9516084304172e-09,0,0.01,0.01,0.589386564480535,0.75
0.49666972673104,124.332647749702,0,0,0.01,0.01,0.946241462149176,1
0.000104060848439585,0.0131130314565667,0.909014096248422,0,0.01,0.01,-0.0113280451974027,0
0.0425735511582341,5.60279847337292,0.0194547264175404,0,0.01,0.01,0.201204513886929,0.25
0.188110890172529,29.1936076920349,3.15055559418909e-07,0,0.01,0.01,0.491388232479751,0.5
0.426706322886997,93.7826437481605,0,0,0.01,0.01,0.820909164304216,0.75
0.487564644106976,119.884673161201,0,0,0.01,0.01,0.980578637387523,1
3.54400294047903e-07,4.46544528755871e-05,0.994678825468269,0,0.01,0.01,0.000661088700785246,0
0.0351916161623137,4.59588008430646,0.0339698174340173,0,0.01,0.01,0.187102546480456,0.25
0.228054012599602,37.2238551097558,1.19958267763565e-08,0,0.01,0.01,0.562239171611611,0.5
0.420231764733712,91.3282224441429,0,0,0.01,0.01,0.855782590088368,0.75
0.449788313908676,103.002769634171,0,0,0.01,0.01,0.979038495623035,1
0.00716369199947178,0.909137976381263,0.342168858681157,0,0.01,0.01,0.0759775431912037,0
0.0629972073512606,8.47131746941812,0.00426734570084686,0,0.01,0.01,0.211702151692557,0.25
0.317820217098268,58.7020435933239,4.25037782747495e-12,0,0.01,0.01,0.549683460543981,0.5
0.39042036451668,80.6998184742471,3.10862446895044e-15,0,0.01,0.01,0.691272441736031,0.75
0.574764719338011,170.306552466315,0,0,0.01,0.01,1.07378532877813,1
0.00410871770089903,0.519834282631861,0.47224801200999,0,0.01,0.01,0.0628318050811741,0
0.035802251057076,4.67858760107788,0.0324288711292127,0,0.01,0.01,0.179296249595334,0.25
0.275243672107542,47.8515348550311,2.06352268605769e-10,0,0.01,0.01,0.54583718801264,0.5
0.343183093486776,65.8342825078653,3.76587649952853e-13,0,0.01,0.01,0.745084864231365,0.75
0.515094926887168,133.844672672008,0,0,0.01,0.01,1.08997299127452,1
0.0120896534116102,1.54193782373409,0.216636099884115,0,0.01,0.01,-0.125036284059477,0
0.121783834761186,17.472649431062,5.41045567303833e-05,0,0.01,0.01,0.397254983045796,0.25
0.255246150138526,43.1834154646349,1.18800635995342e-09,0,0.01,0.01,0.602986600988286,0.5
0.31402641031717,57.6805409057483,6.06248384826813e-12,0,0.01,0.01,0.768511683774833,0.75
0.424833030547857,93.0668217961427,0,0,0.01,0.01,1.03409414338956,1
0.00109987054933801,0.138736281166369,0.71016633694756,0,0.01,0.01,-0.0335948792358496,0
0.0482384612713894,6.38610184680744,0.0127392361753875,0,0.01,0.01,0.223730381274175,0.25
0.11031329109744,15.6228867298947,0.000128077682517214,0,0.01,0.01,0.423303398901576,0.5
0.281651492314976,49.4023272158694,1.1665091115276e-10,0,0.01,0.01,0.723381920199235,0.75
0.408154291590918,86.8933237324569,4.44089209850063e-16,0,0.01,0.01,0.892637337926729,1
0.0211580323765186,2.72353675835322,0.101369311889275,0,0.01,0.01,0.116694289436046,0
0.00221334769242747,0.279500440901763,0.597958862865996,0,0.01,0.01,0.0387330017919959,0.25
0.190009929879252,29.5574625516295,2.70576296923508e-07,0,0.01,0.01,0.400852868947404,0.5
0.322101074668246,59.8684167972939,2.84061663080593e-12,0,0.01,0.01,0.686120676889069,0.75
