"Rsq","F","P","lambda.input","lambda.est","slope","beta"
0.103459531680029,3.46195856191195,0.0726233726344296,0,0.01,-0.268992179678794,0
0.132556776988741,4.58439607823255,0.0405075521333733,0,0.01,0.413074245669277,0.25
0.391925585914743,19.336066943599,0.00012689226689222,0,0.01,0.574084983385489,0.5
0.301545625528618,12.951982400719,0.00113455611616442,0,0.01,0.711980772124195,0.75
0.342421699620726,15.6219433985227,0.00043506866083165,0,0.01,0.848042309241596,1
1.98886948343222e-06,5.96662031712571e-05,0.993888028103062,0,0.01,0.00115064732646586,0
0.0641461166524587,2.05628627910402,0.161921008053965,0,0.01,0.302964857612452,0.25
0.138038686433935,4.80434623670689,0.0362858175551266,0,0.01,0.427819424562679,0.5
0.30344330967025,13.0689998624491,0.00108631538509352,0,0.01,0.687601017845562,0.75
0.607661346252066,46.4645535519274,1.46036936321536e-07,0,0.01,1.30140832519001,1
0.0104850794913555,0.317885438836004,0.577072030495938,0,0.01,-0.0780697411862108,0
1.87824217797384e-07,5.63472759225984e-06,0.998121731601815,0,0.01,-0.000395966843472678,0.25
0.429044565857781,22.543505510322,4.74212996306456e-05,0,0.01,0.551497601357147,0.5
0.530870341858719,33.9482059583735,2.26650671053541e-06,0,0.01,0.887197938888032,0.75
0.4795614656383,27.6436947290884,1.12504518823275e-05,0,0.01,0.928417648034682,1
0.0393241372475791,1.22801473750716,0.276599093932356,0,0.01,-0.206247374681877,0
0.164252630028195,5.89601484598403,0.0213836329244277,0,0.01,0.455906191931488,0.25
0.210450704743237,7.99636093683544,0.00827039286333875,0,0.01,0.514320137759354,0.5
0.239772235516282,9.46185788199073,0.00444774038955176,0,0.01,0.593911314538542,0.75
0.458108156494261,25.3616009532764,2.10430699001396e-05,0,0.01,0.969797806719633,1
0.0737015306738428,2.38696920423903,0.132835346034537,0,0.01,0.217531809899043,0
0.0726102059449383,2.34885718207377,0.135853820826204,0,0.01,0.217478075049759,0.25
0.420022933661571,21.7261832254835,6.05541415594768e-05,0,0.01,0.526775594248114,0.5
0.472133165265034,26.8325153730534,1.40119057077115e-05,0,0.01,0.754877519898059,0.75
0.547721317729,36.3307849252651,1.29113833979844e-06,0,0.01,1.0709195628042,1
0.0367656828503296,1.14506975703868,0.293117906274081,0,0.01,0.202450125148619,0
0.115725976305821,3.92613510761154,0.0567705240239151,0,0.01,0.392890923673506,0.25
0.393645341189156,19.4759948885932,0.000121383413115961,0,0.01,0.800638279087673,0.5
0.512251269767362,31.5070796508094,4.1288997416622e-06,0,0.01,1.01162466651535,0.75
0.621255266377806,49.2090221640565,8.51902983711739e-08,0,0.01,1.41422917615836,1
0.0174665248986232,0.533310833918031,0.470883041584589,0,0.01,0.153356799739005,0
0.0775846548682895,2.52330976314833,0.122659908647398,0,0.01,0.243926909445778,0.25
0.0345789511168891,1.07452446236468,0.308209327634672,0,0.01,0.212603738505982,0.5
0.357186483134279,16.6698338054189,0.000303924449385651,0,0.01,0.753801545720961,0.75
0.534339181124565,34.4245742479464,2.02182130326634e-06,0,0.01,1.03509824526882,1
0.0593476469711142,1.89276027790764,0.179076239109693,0,0.01,0.200859727937974,0
0.153898407371044,5.45673505564006,0.0263670319099609,0,0.01,0.386521340467825,0.25
0.0876055919145486,2.88051716905121,0.100009981335155,0,0.01,0.297748499383591,0.5
0.330536602468582,14.8120093056949,0.000577817611546072,0,0.01,0.642460710907007,0.75
0.658580917887869,57.8685509152275,1.7497876703132e-08,0,0.01,0.984243989197268,1
0.0487134968631207,1.53624055536857,0.224787168545117,0,0.01,0.286693320603622,0
0.119876254384264,4.08611590068161,0.0522371920685436,0,0.01,0.569163556942241,0.25
0.0919218606960436,3.03680454525098,0.0916398661925593,0,0.01,0.443184756975647,0.5
0.209080019169645,7.93051222261982,0.00851056433727448,0,0.01,0.661270365345156,0.75
0.394676246377534,19.5602556821364,0.000118190050339528,0,0.01,1.13976994474634,1
0.0737288360397525,2.38792393334993,0.132760744903975,0,0.01,-0.321053325368702,0
0.104360294766383,3.49561193490731,0.0713200128807487,0,0.01,0.333485192458507,0.25
0.148121245228633,5.21627911480383,0.0296249471650705,0,0.01,0.457769822754773,0.5
0.413888064754747,21.1847621520398,7.1364577597377e-05,0,0.01,1.00674092227972,0.75
0.401085996054786,20.0906637720634,0.000100043748024969,0,0.01,0.899484334695285,1
0.0246008174823995,0.756638448852366,0.391289420273607,0,0.01,-0.133896591240286,0
0.261661545441193,10.6317723460936,0.00276859104179028,0,0.01,0.5088893560222,0.25
0.232105136248708,9.06784823829279,0.00523897846932941,0,0.01,0.485822460580592,0.5
0.271171061643601,11.1619221207843,0.00224593817119301,0,0.01,0.603334931395318,0.75
0.649758537347732,55.6551927713511,2.58136889641492e-08,0,0.01,1.070485973659,1
0.0266442694543917,0.821208586488409,0.372048316230933,0,0.01,-0.20819471436191,0
0.0750286122144273,2.43343566747668,0.129260649305133,0,0.01,0.319647395881719,0.25
0.295842341282808,12.604095302539,0.00129207476810711,0,0.01,0.749436122666779,0.5
0.321042787013973,14.1854058344283,0.000722604066475618,0,0.01,0.913361970294351,0.75
0.469607096684069,26.5618427630627,1.50878768725438e-05,0,0.01,1.13677286556593,1
0.186615111694088,6.88290799511027,0.0135495854911687,0,0.01,0.468819396655264,0
0.110264122497486,3.7178715150949,0.063344970652421,0,0.01,0.416253240371043,0.25
0.145457533753733,5.10650574427324,0.0312573618005092,0,0.01,0.433164658846989,0.5
0.277139442899093,11.5017802607982,0.00196745608165383,0,0.01,0.567388812936173,0.75
0.47391626467473,27.0251425496959,1.32962725165608e-05,0,0.01,0.935697311073993,1
0.0136787730758604,0.416054304696996,0.523815010387485,0,0.01,0.11650492989451,0
0.0212531660164187,0.651440146066677,0.42595134356713,0,0.01,0.178574537923091,0.25
0.223757212747644,8.64770210128476,0.00625339542612657,0,0.01,0.549529155301905,0.5
0.273441798277306,11.2905668518627,0.00213583262682215,0,0.01,0.791512825430889,0.75
0.534479665806005,34.4440162897334,2.01245424902297e-06,0,0.01,1.06218313700204,1
0.0496148401596326,1.56614945990843,0.220437986350108,0,0.01,-0.240928858248085,0
0.0019834332934854,0.0596212535839197,0.808757820068363,0,0.01,-0.0489303942384099,0.25
0.29903675642182,12.7982498010311,0.00120146019681155,0,0.01,0.615308311103159,0.5
0.502412180498582,30.2908648970948,5.61943070076509e-06,0,0.01,0.926137961247456,0.75
0.368302428121178,17.4910801236306,0.000230888206309343,0,0.01,0.841269176962966,1
0.0519996727034027,1.64555869463747,0.209387291928649,0,0.01,-0.255150084306157,0
0.0974027418248824,3.23741539017565,0.082041052109092,0,0.01,0.33610443038039,0.25
0.206498813790682,7.80712684667152,0.00898119407143128,0,0.01,0.519962640379461,0.5
0.112370928169919,3.79790156956789,0.0607226710618338,0,0.01,0.415910394647656,0.75
0.646063148172582,54.7608827538203,3.02936085105898e-08,0,0.01,1.38622359040336,1
0.0249554282700796,0.767824230613491,0.387853661922603,0,0.01,-0.141688341931726,0
0.0314150081530968,0.973017600443957,0.331818082779094,0,0.01,0.195879550235025,0.25
0.0524474208244019,1.66051220724974,0.207383565632013,0,0.01,0.229458568140923,0.5
0.301046460210927,12.9213077725499,0.0011475789886819,0,0.01,0.523443331983977,0.75
0.588467542672022,42.898259823261,3.03327318817992e-07,0,0.01,1.02368477667885,1
0.0065640884281241,0.198223811470777,0.65935451312208,0,0.01,0.121555944845181,0
0.569962062645024,39.7612870727644,5.95264920022487e-07,0,0.01,1.27681083855095,0.25
0.262023573737679,10.6517050306648,0.00274673046316476,0,0.01,0.919858941922087,0.5
0.299964355477122,12.8549606505352,0.00117629908681183,0,0.01,0.851594785598027,0.75
0.399806591499183,19.9838878186533,0.000103441550634464,0,0.01,0.974506604715697,1
0.00558692835638515,0.168549524811177,0.684321686171069,0,0.01,0.0839156148888393,0
0.0221598635135809,0.679861544440358,0.416142355838548,0,0.01,0.185399196480206,0.25
0.121139534153022,4.13511150611186,0.0509307102406966,0,0.01,0.471032399663993,0.5
0.141178344666732,4.93158307513616,0.0340671327046664,0,0.01,0.562543725059169,0.75
0.33291375362629,14.9716961833352,0.000546126313188289,0,0.01,1.09268210492613,1
0.0860927963018263,2.82608986842802,0.103127902739893,0,0.01,0.308565473946101,0
0.0826007029899919,2.70113689619791,0.110718040467941,0,0.01,0.338176356708556,0.25
0.0401573017476303,1.25512133875936,0.271465548937033,0,0.01,0.272660868782612,0.5
0.243531694203737,9.65797346713926,0.00410287781032359,0,0.01,0.817077317741892,0.75
0.579411659821379,41.3286535410354,4.23397648940949e-07,0,0.01,1.46720810455323,1
0.00723876960256059,0.218746543909535,0.643376510251976,0,0.01,-0.0876838189713178,0
0.00910843478709357,0.275764829579607,0.603350384729256,0,0.01,0.103364485117617,0.25
0.052479891282225,1.6615971777077,0.207239103616945,0,0.01,0.253249126584306,0.5
0.422727525855308,21.9685267246617,5.62956289347216e-05,0,0.01,0.975622290497257,0.75
0.643834500873264,54.2305054070522,3.33368732619022e-08,0,0.01,1.23038157430955,1
0.0774102464475806,2.51716148427338,0.123098764937606,0,0.01,0.249078234219191,0
0.250758094871909,10.0404726359655,0.00351043815882557,0,0.01,0.415972866203692,0.25
0.162573299705535,5.82403091452791,0.0221241257672902,0,0.01,0.348055657253274,0.5
0.32756029114216,14.6136651432378,0.000619953584927613,0,0.01,0.716815361779759,0.75
0.721501776391965,77.7206152748132,7.90459697697088e-10,0,0.01,1.24407651767091,1
0.000481343872813707,0.0144472702894439,0.905128634003879,0,0.01,0.0248694862155226,0
2.40346142915732e-05,0.000721055759044247,0.97875522643121,0,0.01,0.00496458069416889,0.25
0.0391159393104116,1.22124845995488,0.277900193702477,0,0.01,0.221583187078561,0.5
0.340403088065574,15.482323305635,0.000456690424194495,0,0.01,0.654209550658352,0.75
0.602312258982139,45.4360693221687,1.79646007625323e-07,0,0.01,1.25078937679276,1
0.128045460193032,4.40546339335692,0.0443445948533032,0,0.01,-0.362776213640069,0
0.230200873829695,8.97120557832771,0.00545545681339821,0,0.01,0.494784826661446,0.25
0.206640410701526,7.81387457171521,0.00895473975403638,0,0.01,0.448188120518549,0.5
0.290477300499519,12.281945343145,0.00145902986510826,0,0.01,0.820112425448508,0.75
0.507082825218482,30.8621519696433,4.85808562000756e-06,0,0.01,0.945484850035612,1
0.0070072842459048,0.211701983349898,0.648754203755287,0,0.01,-0.0934992062651274,0
0.0530859417019396,1.68186144994047,0.204563556426583,0,0.01,0.246689017732023,0.25
0.352542271500598,16.3350712787541,0.000340487650226873,0,0.01,0.841254783191449,0.5
0.278680250672533,11.5904320212651,0.00190108986451865,0,0.01,0.674149102933476,0.75
0.485734830643122,28.3356637540064,9.3534286489394e-06,0,0.01,0.907516521107832,1
5.87526871045374e-07,1.7625816487002e-05,0.996678036059201,0,0.01,-0.000863385592824895,0
0.0108584246907334,0.329328731956445,0.570332477253901,0,0.01,0.0937612693630808,0.25
0.0683942403546989,2.20246299402676,0.14822211747572,0,0.01,0.28072896799885,0.5
0.463180703424764,25.8847273028223,1.81856972689687e-05,0,0.01,0.783717999491935,0.75
0.463798612511109,25.9491278836378,1.78636979495383e-05,0,0.01,0.984568439165386,1
0.0130316225247973,0.396110640083545,0.533868698335266,0,0.01,0.119726146975333,0
0.0691585804029441,2.22890534134853,0.145893056409345,0,0.01,0.37632568416137,0.25
0.0865092355485981,2.84105452124252,0.102259659349851,0,0.01,0.372676384245577,0.5
0.425175467206277,22.1898393135659,5.26857881946174e-05,0,0.01,0.979471807477289,0.75
0.550800284988049,36.7854386310148,1.16246564685341e-06,0,0.01,1.36980312588074,1
0.00263799574703469,0.0793491952506427,0.780115343623552,0,0.01,-0.0403557911185654,0
9.16424926836762e-05,0.00274952675399572,0.958528955058619,0,0.01,0.00882895465613521,0.25
0.212537516570309,8.09705304224638,0.00791722061036304,0,0.01,0.521399126311174,0.5
0.579740581568009,41.3844798813349,4.18350861952632e-07,0,0.01,0.865373066422554,0.75
0.692127705340054,67.4429999722315,3.62555230282169e-09,0,0.01,1.2737311508796,1
0.0315149471668368,0.976213739426675,0.331037734539646,0,0.01,-0.162107404471175,0
0.0347342910583985,1.07952527692559,0.307105787020244,0,0.01,0.205659966341361,0.25
0.0441720873996786,1.38640293354194,0.24827056548786,0,0.01,0.194959056690399,0.5
0.610982880696925,47.1174288004216,1.28234423524276e-07,0,0.01,0.946662826812082,0.75
0.694036153394282,68.0508002262753,3.29852301028666e-09,0,0.01,1.03020044878173,1
0.0222446989815295,0.68252349923417,0.415241370996897,0,0.01,0.179280319697987,0
6.37363186438903e-05,0.00191221143663415,0.96541031849094,0,0.01,-0.0083473957052545,0.25
0.435704010706455,23.1635889128995,3.95011876248574e-05,0,0.01,0.593418163878773,0.5
