"lambda.input","lambda.est","kappa","kappa.z","CI.lower","CI.upper"
0,0.0121166166877671,0.277694832681589,0.368095376301929,0,0.20823329733057
0,1e-06,0.262842901738212,-0.317193561137245,0,0.221145664880794
0,0.055439306587907,0.280079594247185,0.340896366863993,0,0.312285880531177
0,1e-06,0.259228106597312,-0.539228925982809,0,0.110532078429424
0,1e-06,0.245533791687773,-1.19881049940722,0,0.132334723515061
0,0.302969331758278,0.329290907533568,2.41328554479277,0.0512766111862716,0.597593645863707
0,0.0186025906603349,0.2592431081467,-0.54735864971744,0,0.26395107283082
0,1e-06,0.277027637752509,0.23188336757022,0,0.193446500843286
0,1e-06,0.292807335514051,0.954709399844355,0,0.205667356893561
0,0.000889261975308945,0.266161295448454,-0.25816946586494,0,0.170411000469271
0,1e-06,0.26264598494287,-0.37694799722781,0,0.139589142677266
0,1e-06,0.244030746081845,-1.26942788439841,0,0.0752793711088098
0,1e-06,0.251559017929929,-0.854655478526928,0,0.152559254201531
0,1e-06,0.262810777234039,-0.350312395332143,0,0.0968702047425437
0,1e-06,0.256804762383498,-0.656324327389697,0,0.102069682002754
0,0.0298116137576865,0.311763753749645,1.6312320128235,0,0.388568889024289
0,1e-06,0.284937563213039,0.605296983422795,0,0.11915032747739
0,0.0394600350865371,0.257794321689069,-0.656139392467555,0,0.244442370584718
0,0.00054579738813166,0.274175642781151,0.164899332345202,0,0.243886210189003
0,1e-06,0.254095027017777,-0.821930311527061,0,0.14845538116279
0,1e-06,0.265699791709407,-0.264845244979731,0,0.120851897067925
0,1e-06,0.248696424064227,-1.0681392488653,0,0.0879193122346134
0,1e-06,0.240369727263299,-1.40110897461718,0,0.0877049287465532
0,1e-06,0.256393320393808,-0.679450944071922,0,0.134385597096364
0,0.0507301346919444,0.31325075715532,1.71621331776163,0,0.290044165354046
0,0.0190658529120356,0.277552729717426,0.285712616266203,0,0.204706285322883
0,1e-06,0.243351321048101,-1.35657459020261,0,0.124891835475818
0,0.00897130408207963,0.321042463571545,2.05164308802183,0,0.362951932347277
0,0.0344013378570057,0.26792067002939,-0.142532061477353,0,0.28543255314697
0,1e-06,0.2651963553314,-0.253425787303878,0,0.123688640697309
0,0.023001444112573,0.263511157799335,-0.368410115706346,0,0.241565271186911
0,0.0584542627821885,0.305246208394866,1.55570499521232,0,0.426099716927667
0,0.00755806281345521,0.264604985242056,-0.28120035736688,0,0.212141801921298
0,0.141453620042263,0.312729402680786,1.75228416191228,0,0.48075819393118
0,0.0262545087807593,0.28101216437127,0.403680403968679,0,0.238502719030727
0,0.0129994951168795,0.292052471629018,0.871314182292374,0,0.289453784761914
0,0.0248498140941883,0.24229934895875,-1.34252899389948,0,0.183366691655877
0,0.00489193033988075,0.263730205262366,-0.31404019757765,0,0.192430619565178
0,1e-06,0.259778964370331,-0.500878347965758,0,0.105159009985319
0,1e-06,0.295732127752169,1.0962055969426,0,0.276620230512551
0,0.0635132656588801,0.279317699210229,0.362476116280862,0,0.339622427101691
0,1e-06,0.274579448097578,0.159695515964264,0,0.120336050351938
0,0.00427587099348628,0.259707875044556,-0.484514470543615,0,0.197636556270428
0,0.0144452344694452,0.269569553023151,-0.0415098234460645,0,0.239930180205653
0,1e-06,0.280210144376215,0.427287005067315,0,0.201239476043609
0,1e-06,0.253880871643049,-0.792670624795243,0,0.170680401982886
0,0.0339380320511114,0.28041197191892,0.371522128463725,0,0.330387903698413
0,1e-06,0.267694414951838,-0.177484605290202,0,0.274820978563083
0,1e-06,0.261140763044824,-0.418579718985202,0,0.117138396875577
0,1e-06,0.262051170490104,-0.434041141978395,0,0.102011943764409
0.05,0.0472593349750535,0.248384160286572,-1.06179850354275,0,0.22023572826955
0.05,1e-06,0.261599310076568,-0.404169435857664,0,0.162210536362785
0.05,0.0287978311411526,0.265396960419757,-0.19750682324657,0,0.300760216998163
0.05,0.034066774154466,0.282086826704614,0.465533073348187,0,0.338480517771846
0.05,1e-06,0.278083263582842,0.324110551945283,0,0.291044202814841
0.05,1e-06,0.262790888323003,-0.351405505606105,0,0.234401775871331
0.05,1e-06,0.243923791351958,-1.3442799986278,0,0.0894880690738643
0.05,1e-06,0.283203807400255,0.51329500630161,0,0.212412443710613
0.05,0.277202226122582,0.358618245621644,3.49948223405252,0.0813623043275758,0.579830112265737
0.05,0.0983513390347983,0.281550688482049,0.478066800147522,0,0.381119496382984
0.05,1e-06,0.245128369385758,-1.18809500925481,0,0.0791851290124326
0.05,1e-06,0.26672807986512,-0.182692662796439,0,0.149810933459165
0.05,0.0958936137832612,0.319204222644737,1.77596927044493,0,0.383268064730168
0.05,1e-06,0.256951568760498,-0.657769129150501,0,0.211170311853939
0.05,0.105126840192938,0.265963842843082,-0.280138672571504,0,0.325570158219571
0.05,1e-06,0.29200456040542,0.847009768595235,0,0.26732939148422
0.05,0.0670042298289798,0.299374907435235,1.20673241388244,0,0.381502280450654
0.05,0.00343229886322018,0.260629543296309,-0.446390244689191,0,0.161755619121561
0.05,0.0924609173757976,0.29167517205587,0.872330088527754,0,0.383240902919181
0.05,0.192142325646674,0.300890114285909,1.20836435279617,0,0.475314236280251
0.05,1e-06,0.261617809117718,-0.440654590730391,0,0.144580346226791
0.05,1e-06,0.254298291961716,-0.78789839641593,0,0.167646795908482
0.05,0.145722330891035,0.308635358277341,1.62558836228361,0,0.448927426467612
0.05,0.127639610871328,0.310385837277603,1.63830335015381,0.0106436189354893,0.383015435827019
0.05,0.0784579227883571,0.277944499982511,0.230574896211076,0,0.307871987735954
0.05,0.0144351848645535,0.310656690748007,1.71899430429447,0,0.361482254075636
0.05,1e-06,0.273629607929687,0.130578566399836,0,0.175851227958093
0.05,0.0156882834130688,0.270337298051573,-0.0324671930609862,0,0.194854888091417
0.05,1e-06,0.282527651885476,0.518071845426459,0,0.226545142105883
0.05,1e-06,0.266985671060794,-0.229144446408463,0,0.133172091916622
0.05,1e-06,0.249776033313003,-0.974113091699364,0,0.0885506252639323
0.05,1e-06,0.281691483207029,0.395018477008464,0,0.125108003600249
0.05,0.0266679007363588,0.281010011655449,0.479289741267384,0,0.242889881788348
0.05,0.0133386105396371,0.277981209990254,0.31743911648405,0,0.254128404921227
0.05,1e-06,0.222466601025118,-2.45535091172144,0,0.0969269917393852
0.05,1e-06,0.265628849450084,-0.29056970936483,0,0.157070784292472
0.05,1e-06,0.302990204208784,1.36814927185639,0,0.37583111505779
0.05,1e-06,0.280901919464475,0.50085024238567,0,0.127524737599088
0.05,0.103662885797908,0.282385747563615,0.401778870887432,0.000174256289874516,0.354131914148878
0.05,1e-06,0.258266919767455,-0.602995974496969,0,0.191746256704777
0.05,1e-06,0.283809963538538,0.541215129336065,0,0.198178866093519
0.05,1e-06,0.25806232481214,-0.629508455724447,0,0.0900171613184581
0.05,1e-06,0.265362152067418,-0.235285388769946,0,0.155679649628911
0.05,1e-06,0.281528247600528,0.497132664333351,0,0.15984838151644
0.05,0.0168906443665538,0.275471266659729,0.236492885620722,0,0.224107131462837
0.05,0.155784256756351,0.299444084581268,1.15449874847958,0,0.43963655691211
0.05,1e-06,0.246749546260968,-1.14015659269115,0,0.0816533297661174
0.05,1e-06,0.273481657753906,0.0952386236025574,0,0.121747728241954
0.05,1e-06,0.281901937012474,0.547782558468275,0,0.156319247941354
0.05,1e-06,0.288550337137368,0.824886605934781,0,0.204244421004095
0.1,0.0734066425403157,0.291892378829708,0.915015231034563,0,0.336309795676887
0.1,0.0729987959069675,0.27917364794631,0.319356614362348,0,0.306416396416269
0.1,0.00567413683999558,0.244200275114273,-1.28094704997928,0,0.168274899888285
0.1,0.0171498298735818,0.275449567180696,0.184125178691238,0,0.225792876622995
0.1,0.0598097218102137,0.288826240868151,0.781469707573092,0,0.356939727477487
0.1,1e-06,0.279907773197955,0.438240308165085,0,0.198774288291219
0.1,1e-06,0.270411565225813,0.00955595350238249,0,0.155547919037912
0.1,0.110930756790512,0.290761253661064,0.922143971135983,0,0.392220835735911
0.1,0.166717607589309,0.279216008350639,0.32719411195902,0,0.43667165494691
0.1,1e-06,0.281700919349524,0.510940869352481,0,0.170578629491077
0.1,1e-06,0.250220254994377,-0.93514542514257,0,0.0978852797124738
0.1,1e-06,0.275598485597567,0.182314942090083,0,0.213415909962271
0.1,0.112708315220028,0.274687349865198,0.143404670106331,0,0.345514731931709
0.1,0.188979982278448,0.324862483483115,2.31056811254592,0,0.578581698560472
0.1,0.147789664658157,0.296533867826787,1.06938101130587,0,0.437959887391122
0.1,0.0554742571326381,0.263674885453153,-0.304624770636631,0,0.288613310802498
0.1,1e-06,0.253493927940649,-0.81628856344332,0,0.160695265009497
0.1,0.280203748958902,0.332888434865948,2.42404173102223,0.0149430092709011,0.605549821122503
0.1,0.00620000585047797,0.252936524552175,-0.860681627919325,0,0.169444993180082
0.1,0.113993081403637,0.302280826814776,1.32295723238322,0,0.405648679279868
0.1,1e-06,0.317277336325966,1.86622781434804,0,0.252328452807663
0.1,0.0489405202401559,0.2826199226386,0.515169640797083,0,0.31363605178926
0.1,0.0824640038202358,0.30160132422357,1.28505620635901,0,0.350846064396127
0.1,1e-06,0.28904677179397,0.800231690505324,0,0.213201562822357
0.1,0.048911758807368,0.305177419175149,1.45256984002825,0,0.328926926964761
0.1,0.0198751027645344,0.290287185362271,0.931599785730003,0,0.338476607984029
0.1,1e-06,0.268007679730039,-0.125049455306202,0,0.315682878835239
0.1,1e-06,0.272975749830367,0.126533532620971,0,0.212016373500248
0.1,1e-06,0.253488966527124,-0.826797385255129,0,0.141084303644357
0.1,1e-06,0.267926941606976,-0.0523519597927236,0,0.103954682310701
0.1,0.200624287622548,0.310931970973555,1.65492070282021,0.00351378295263877,0.510471985059959
0.1,1e-06,0.264201703412294,-0.317278380834974,0,0.218200127491856
0.1,0.153690820515852,0.30110841345439,1.28013669421145,0,0.465867030856352
0.1,0.261335871224045,0.356108015847033,3.35486859337821,0.0573513050474597,0.589716029656648
0.1,1e-06,0.276616150439841,0.248856690642493,0,0.166005431587575
