"lambda.input","lambda.est","kappa","kappa.z"
0.25,0.074624955291,0.0988982412196191,0.9481
0.25,0.013321235535998,0.0919328794500906,1.0188
0.25,1e-06,0.0946246704696475,0.7317
0.25,0.131049493146077,0.0398388921956146,0.2028
0.25,0.424017018111329,0.242784477422457,2.1998
0.25,1e-06,0.109748168275797,0.0756
0.25,0.0332911665599369,0.0157339327363006,-1.7639
0.25,1e-06,0.116890844025511,1.3552
0.25,0.2627258151856,0.0693958773735825,-0.0898
0.25,0.293189642925012,0.103530900727231,0.3696
0.25,0.322811543631784,0.120129526200497,0.8461
0.25,0.273101286848052,0.134420479779396,1.4394
0.25,0.0196855184957935,0.103080217007767,0.2182
0.25,0.302630330489046,0.140108303366872,1.2405
0.25,0.0402800470078938,0.0264155185712662,-1.782
0.25,0.170829146904933,0.100159302814506,0.2588
0.25,0.152538752912746,0.0144250490666,-0.1987
0.25,0.365924239697927,0.227427365985107,1.9827
0.25,0.552741533977991,0.156290268368872,1.2638
0.25,1e-06,0.126873570886208,1.5605
0.25,1e-06,0.0458910522773284,-1.168
0.25,0.184689866758281,0.0222660638242045,-0.5982
0.25,1e-06,0.0426837128695367,0.0921
0.25,0.149587326329136,0.07906977115276,-0.6316
0.25,0.436867204444867,0.15407328012922,0.937
0.25,0.304388699558482,0.0978076376086912,0.3742
0.25,1e-06,0.0994876887909791,0.9914
0.25,0.21687205785771,0.0658400996619864,1.2398
0.25,1e-06,0.0961337924080046,0.8825
0.25,0.258480019159322,0.00491919696763797,-0.8485
0.25,0.541835003162204,0.137409281278438,1.5149
0.3,0.180897860605344,0.067576141797877,-0.046
0.3,1e-06,0.0770237334193443,-0.465
0.3,0.285124460833438,0.269993983290339,1.8752
0.3,0.257392101849376,0.23604683969751,2.1281
0.3,0.653852853872828,0.300455703204355,2.4951
0.3,0.1955128627996,0.121579642213622,0.4798
0.3,0.77546764218289,0.110087564840004,2.4286
0.3,0.072028432184214,0.0776132987709544,-0.7404
0.3,0.303224920250136,0.0620904476437178,1.5669
0.3,0.315743037733078,0.172740791898458,1.8816
0.3,0.511913627278355,0.0381509951662615,-0.3303
0.3,0.145903053821402,0.110033314157255,0.9113
0.3,0.368549977730313,0.0872910700604789,0.7548
0.3,0.456547268531351,0.119747045018978,0.0326
0.3,0.028908087807737,0.0636449454042986,0.4269
0.3,0.297690135726808,0.0477391398676259,0.0712
0.3,0.272580472005103,0.10743058910391,0.7536
0.3,0.132015080832392,0.141689161947249,0.6169
0.3,0.379665111482164,0.13902971655129,0.9936
0.3,0.0146742530602729,0.0553713129088268,0.6565
0.3,0.21811713226516,0.0927309853525484,-0.7569
0.3,1e-06,0.0177262468291413,-0.1773
0.3,0.3827484163419,0.0848893434333979,-1.1849
0.3,0.0215985559940273,0.0271462234529051,-1.3214
0.3,0.363068306438977,0.105771218695683,1.4962
0.3,1e-06,0.113647561901464,0.0836
0.3,1e-06,0.114781694867001,1.6199
0.3,0.360236928825869,0.0530631110509514,-0.0757
0.3,0.713999093836749,0.0328727555524539,0.1142
0.3,0.144282363343215,0.0336111195396917,-0.4782
0.3,0.315910856767603,0.119983194919128,0.6692
0.3,0.131616432340715,0.0504754855717698,-0.7979
0.3,0.265412055535916,0.109974121151626,0.5439
0.3,0.419617345923017,0.236768261351115,1.5615
0.3,0.201717614216305,0.0493644719747669,0.5764
0.3,1e-06,0.126718108017034,0.7619
0.3,1e-06,0.118659229100117,1.3299
0.3,0.511494326672854,0.127633602793272,0.7446
0.3,0.131094142291126,0.0843492324276033,0.2772
0.3,0.146041157083911,0.0934387868591058,0.5635
0.3,1e-06,0.0405983796165944,-1.8998
0.3,0.675849860739382,0.178381870640925,2.557
0.3,0.420273493798772,0.197844385871992,2.2676
0.3,0.513276250871732,0.185385789235253,2.1628
0.3,0.46441140899121,0.0495689515254604,-0.0027
0.3,0.151600301367037,0.143897088346415,1.4144
0.3,0.146119950634849,0.0639375712572184,0.8717
0.3,0.230072377277843,0.111105558371306,1.6939
0.3,0.285722886473142,0.0436770011734006,-0.5156
0.3,1e-06,0.0826922177225158,0.8416
0.35,0.0696871798384633,0.0628027369353808,0.5047
0.35,0.132637332959127,0.0839075935401082,0.256
0.35,0.314052529544847,0.100614502145344,1.3214
0.35,0.356328218556879,0.119487014656201,1.3917
0.35,0.461646829113914,0.287716283956031,2.5009
0.35,0.193947177216603,0.155982883747687,0.4542
0.35,1e-06,0.0591045699394021,0.218
0.35,0.409593373731459,0.204207523271489,1.6854
0.35,0.397597463421901,0.179613896892994,2.7308
0.35,0.236888473182137,0.0435698408612631,-0.7093
0.35,0.0371234387682597,0.0397874681245958,-2.8596
0.35,0.557463697856343,0.2203144109992,2.3043
0.35,0.810145469000647,0.271271152104163,3.7188
0.35,1e-06,0.183091222700663,1.7174
0.35,0.481990829924262,0.241680348154396,2.3126
0.35,0.211262839565214,0.117836700328472,1.0501
0.35,0.670557822534918,0.22738610370532,2.605
0.35,0.197983018795424,0.0971788322064833,0.8981
0.35,1e-06,0.0704234631179228,0.7985
0.35,0.282570444074477,0.00755365254576545,0.5817
0.35,1e-06,0.057165294453801,-0.1882
0.35,0.214180604580742,0.225300089317466,1.2117
0.35,0.0285220685252947,0.105536430199857,-0.1207
0.35,0.304405240625147,0.133106904907947,1.2559
0.35,1e-06,0.182733337383703,1.51
0.35,0.381212240981228,0.127259868418399,1.2261
0.35,0.332366272010524,0.189129491074611,1.5994
0.35,1e-06,0.097720092438477,0.9018
0.35,1e-06,0.0856909829308323,-0.1132
0.35,1e-06,0.0428136114662924,-0.6914
0.35,0.216834480248543,0.173321160732729,0.6057
0.35,0.170550219836194,0.116118566374135,0.5302
0.35,0.434424035678809,0.0496462169857616,0.5917
0.35,0.0985475279681255,0.0867905565798966,-0.1244
0.35,1e-06,0.121718254226488,-0.5653
0.35,0.370817309564407,0.133956364003111,1.5454
0.35,0.476094622015578,0.131080023944484,1.3013
0.35,0.333620656197488,0.231546939737949,1.381
0.35,0.469090861054651,0.124678015374229,1.5833
0.35,0.122781165420431,0.101494877884017,0.6836
0.35,0.377242548151179,0.113087358362235,1.2185
0.35,0.427786640967643,0.0590010494033145,1.0389
0.35,1e-06,0.104191973622025,1.0545
0.35,0.336487292076294,0.253227880643753,2.4842
0.35,0.195479024777838,0.149512803033939,1.6163
0.35,1e-06,0.0980223176837501,0.0143
0.35,0.363277085920362,0.052519708397804,-0.1131
0.35,0.104249498389153,0.0559836942725085,-0.9704
0.35,0.20346857495272,0.111317028950597,0.2187
0.35,0.319600721501722,0.111009811092667,0.0431
0.4,0.55282287441871,0.322114437626206,1.8951
0.4,0.23913009824512,0.140241288635758,0.7498
0.4,0.44092662992192,0.0491478166316742,0.6933
0.4,0.503294634459709,0.186546181640795,2.1279
0.4,0.454344373380439,0.136969746652944,-0.7787
0.4,0.199805109651763,0.158063635670158,1.2758
0.4,0.338732074758597,0.0472249801455297,-0.463
0.4,0.304217436038499,0.0264975955927053,1.1043
0.4,1e-06,0.140591982542739,0.391
0.4,0.316668915594883,0.165999847922553,0.8681
0.4,0.0162789319316076,0.0448185516266409,0.3084
0.4,0.128115355231583,0.0671171687668339,0.2562
0.4,0.106206483740189,0.0291355149180883,-1.3171
0.4,0.5691756746103,0.245912831137943,1.871
0.4,0.177022782640988,0.0845701269668454,0.1772
0.4,0.110762821944138,0.112646934783394,0.4221
0.4,0.419118201982539,0.0321530590366399,-0.6635
0.4,1e-06,0.17037719918119,1.0106
0.4,0.509441560108951,0.08371683818899,0.8011
0.4,0.611907090334246,0.140934069289962,1.7049
0.4,1e-06,0.0652948467119775,0.1414
0.4,0.741330208849692,0.127383926111208,1.9926
0.4,0.321540872534316,0.0975279938583327,0.9651
0.4,0.234436171546665,0.0585083105022856,-0.1778
0.4,0.246263908202993,0.0898526294800435,0.927
0.4,0.613061567917016,0.200003557843927,2.582
0.4,1e-06,0.046527859575667,-0.763
0.4,1e-06,0.159320218472431,0.7673
0.4,0.509771467931374,0.275644333815134,2.6137
0.4,0.610979647699586,0.101182022372168,1.0531
0.4,0.564806833227465,0.0255847172160062,0.3262
0.4,0.208973171546001,0.0617021904571037,0.5036
0.4,1e-06,0.0644943734508922,-0.3155
0.4,1e-06,0.324982957201142,2.0062
0.4,0.244204957367886,0.157428391557441,0.9285
0.4,0.0933119610984573,0.169173888051023,0.5191
0.4,0.488425956404312,0.187992125371594,1.3411
0.4,0.643554476071935,0.277320237811374,2.4793
0.4,0.201737628640821,0.223880974772147,1.7779
0.4,0.187304113756711,0.155800194198793,0.8566
0.4,0.226594913685443,0.115384978315726,0.3963
0.4,0.121277303904059,0.130546926214682,-0.3316
0.4,0.0952937393526874,0.0513914715026159,0.2861
0.4,0.389653988667564,0.111765689474306,1.5999
0.4,1e-06,0.0895257823690863,-0.9943
0.4,0.594274820489932,0.184031257007567,2.427
0.4,0.113288921857499,0.0591657839025432,1.2346
0.4,0.101672395911351,0.123164347800429,2.0531
0.4,0.429937588742817,0.0972618137686975,1.5351
0.4,0.381834067931702,0.177368026831045,1.2955
0.45,0.346958819258247,0.10822108478883,0.9211
0.45,1e-06,0.0350974927549561,-1.1209
0.45,1e-06,0.097977882888743,0.0537
0.45,0.442497462615443,0.0843645980808292,1.0254
0.45,0.296044142059394,0.0805425784771384,-0.5595
0.45,1e-06,0.141553698755824,0.0457
0.45,0.619612740556612,0.179135476962731,2.4391
0.45,0.388555286225653,0.232041556987966,1.8846
0.45,0.644113382423381,0.178933126354931,1.3766
0.45,0.515341368403385,0.00203962453462039,-0.6398
0.45,0.428143157141656,0.160126992541212,0.5127
0.45,0.690154197737952,0.200316203907366,1.8856
0.45,0.51433743440686,0.173328062298004,2.8131
0.45,0.144156897384682,0.0843933478162676,0.9577
0.45,0.363606124362056,0.113725532638176,1.7128
0.45,0.455242306227188,0.192731099550033,1.5022
0.45,0.43342041052884,0.176066591557954,2.4088
0.45,0.275094285520385,0.102740727589885,0.2192
0.45,0.740965024292749,0.455000760025296,3.331
0.45,0.519022324673124,0.250749808555607,2.2117
0.45,0.409660352362155,0.139190716930959,2.0782
0.45,0.542885148214013,0.135257212839649,1.3669
0.45,0.628260973847537,0.186785508590062,2.578
0.45,0.688567882667339,0.19243738012776,2.7028
0.45,0.0698455453059816,0.148512389445281,-0.1424
0.45,0.346385328675579,0.0801143814593387,0.5648
0.45,0.020654299161693,0.127811152383439,-0.3268
0.45,0.286192275198895,0.101384919422902,0.3591
0.45,0.483973196628048,0.169721398900851,2.093
0.45,0.582535402034364,0.124035705144459,1.6347
0.45,0.48315531866931,0.148162449954018,1.856
0.45,0.21299603677972,0.250047636663585,2.0792
0.45,0.271093922804316,0.0610509305587102,1.151
0.45,0.147502330391307,0.0667550793257719,-1.8784
0.45,0.658096542689984,0.145828332703425,2.3919
0.45,1e-06,0.142210231274501,0.4061
0.45,0.229271871680262,0.0597675148173515,0.0721
0.45,0.554076016682836,0.154000199968634,1.9758
0.45,0.394652295911085,0.190107165078965,1.4826
0.45,0.307907710100698,0.0327161337163398,-1.331
0.45,1e-06,0.0502782624452562,0.1404
0.45,0.751221268413277,0.344075590729214,3.1149
0.45,1e-06,0.19191373375856,1.72
0.45,1e-06,0.00405037887908864,-1.8918
0.45,0.201789004797065,0.199415744659273,2.1669
0.45,0.369859954978704,0.0222604801424077,-0.9904
0.45,0.515185964184551,0.0210622349585144,-0.7774
0.45,0.503466122525298,0.31579979786952,2.55
0.45,1e-06,0.16386246413532,1.9118
0.45,0.232383337057078,0.0582898332903946,0.0686
0.5,1e-06,0.171225892357342,0.6669
0.5,0.366443163813743,0.121880698574854,0.5808
0.5,0.559728684794916,0.285164700021911,2.5863
0.5,0.738777042343766,0.0507355284333948,1.0943
0.5,0.227120900216045,0.0841694032813467,0.2777
0.5,0.3918021029573,0.220732229737746,2.2554
0.5,0.510026939248342,0.0637821865459864,0.3465
0.5,0.35865507010525,0.0513692514357083,-2.0725
0.5,0.431931085806136,0.0376190920150777,-0.8841
0.5,0.434787574526831,0.169078451641233,1.9185
0.5,0.731583412766277,0.179922150676751,1.6756
0.5,0.578689428499055,0.106002277260121,1.1733
0.5,0.621036103622183,0.170759661454556,1.7298
0.5,0.377614545699566,0.08815384227114,0.6631
0.5,0.25125918240035,0.0787273439748107,0.1323
0.5,0.701671211393655,0.231434007000008,1.8003
0.5,0.435070316498547,0.204961792187907,1.6759
0.5,0.367948500870358,0.179270137695564,3.0633
0.5,0.322251797385153,0.10233720581067,0.817
0.5,0.333807442070474,0.0959463232925707,0.9867
0.5,1e-06,0.0771698832299876,0.1226
0.5,0.461735291018056,0.111480688249373,1.7808
0.5,0.638730308561347,0.0207315601107843,0.9986
0.5,0.642180274535082,0.0370568544897124,-0.5974
0.5,0.244585111219481,0.234409042683698,1.627
0.5,0.422466455837296,0.0760002210885839,1.6001
0.5,0.492854450848449,0.172931340275617,2.2921
0.5,0.28912310810385,0.322904021296552,2.6701
0.5,1e-06,0.0118147813995763,-1.0816
0.5,0.665317523811212,0.0520188056912756,1.497
0.5,0.393817229641988,0.219885550484769,2.4384
0.5,0.358040847866942,0.184563030347216,1.5863
0.5,1e-06,0.127230447417032,1.0386
0.5,0.544552636541784,0.0511956132927327,0.513
0.5,0.520090808877896,0.148323929013642,1.5796
0.5,0.523165296698531,0.0901487910149507,1.3146
0.5,0.615278453631663,0.0917161156166755,0.9575
0.5,0.628054082561137,0.0388218550777021,0.6886
0.5,0.623440299027856,0.0814885353409156,0.9585
0.5,0.691158940345961,0.0188327601394474,-0.0249
0.5,0.876022260622103,0.368283981305598,3.6044
0.5,0.495973625771557,0.17716695867998,1.578
0.5,0.609676330310256,0.0777369239222126,0.7314
0.5,1e-06,0.142828512493375,1.8438
0.5,0.453190346086769,0.133246745072038,1.5339
0.5,0.60941175961183,0.275535843041968,2.4173
0.5,0.58839110025029,0.100690789449411,1.451
0.5,0.422040424451762,0.029068452775279,-0.838
0.5,0.377716650874418,0.0953492463774082,0.6218
0.5,0.199592198585525,0.0166955399705211,1.1358
0.55,1e-06,0.0792432865187182,-0.1557
0.55,0.701229580501979,0.181214546660649,1.945
0.55,0.49457578555576,0.152731963828282,1.8162
0.55,0.551624417516551,0.153275657659176,0.9495
0.55,0.668531340312319,0.182958771935506,2.2048
0.55,0.79328452800885,0.0554227186539302,1.23
0.55,0.366003033810507,0.149696786278212,1.433
0.55,0.508615491040125,0.137763971949914,2.1844
0.55,0.728497808378523,0.132388109421609,2.1812
0.55,0.092511940259706,0.222226222204299,1.076
0.55,0.228325412643845,0.21942482832736,1.7356
0.55,1e-06,0.126097344326497,1.6055
0.55,0.450598555675961,0.0481209521601417,0.0344
0.55,0.379493355830917,0.136184194997421,1.1409
0.55,0.657156004266047,0.114181283388217,0.8444
0.55,0.732760546453884,0.164721055214,1.387
