"AIC","F","P","lambda.input","lambda.est.x","lambda.est.xy","slope","beta"
193.197083721521,0.0757857298336242,0.784007238472383,0,1e-06,1e-06,0.0360531359925429,0
177.872186880837,11.4313125763884,0.00125448538317219,0,1e-06,0.0318581221239566,0.389307923085375,0.25
172.09078105857,19.7595883155257,3.70340887134724e-05,0,1e-06,1e-06,0.493657976346709,0.5
196.302792014798,29.9379642417793,8.51798119594349e-07,0,1e-06,1e-06,0.734172136512448,0.75
174.43656260639,75.2563258314251,2.6896262994569e-12,0,1e-06,0.196272433535077,0.937154446592146,1
184.738878494553,0.0678059901444405,0.79542133968031,0,1e-06,0.0565449104289443,-0.0313857275385346,0
182.394302576066,9.61407111592839,0.00290399638473593,0,1e-06,1e-06,0.370505223812508,0.25
185.987675330541,18.366543075187,6.46835043249805e-05,0,1e-06,1e-06,0.526679516004257,0.5
193.80809681117,20.7100787030843,2.54743429688453e-05,0,1e-06,1e-06,0.594507995999388,0.75
190.698158796387,73.9177280340578,3.65862895534974e-12,0,1e-06,0.0548963399546403,1.08594657431477,1
159.732579945527,1.00959472555425,0.318905433025419,0,1e-06,0.070438585890077,0.11406009780249,0
190.299461186259,3.1598371327076,0.0803750610662863,0,1e-06,1e-06,0.257694678521743,0.25
169.176512319873,7.02985639278167,0.0101630601017566,0,1e-06,1e-06,0.325895026678459,0.5
178.961118458282,36.4059440718132,9.76124379103993e-08,0,1e-06,1e-06,0.800551169234528,0.75
192.938178790084,33.4992998478115,2.53412980821821e-07,0,1e-06,1e-06,0.856532682388794,1
173.885101590196,1.02669343340621,0.31487458005408,0,1e-06,1e-06,-0.107805431069991,0
162.887783914429,1.01587547869752,0.31741686185355,0,1e-06,1e-06,0.0984073203175924,0.25
183.755574316442,15.9259813334924,0.000176780004738308,0,1e-06,1e-06,0.458630707544454,0.5
188.095900089289,45.4440578786428,6.01879923678439e-09,0,1e-06,1e-06,0.801447323817867,0.75
192.278193536316,72.3447509668265,5.27311527775964e-12,0,1e-06,0.498303786701909,0.979842426468635,1
183.483583871964,0.666614703114636,0.417360436898818,0,1e-06,1e-06,0.117756318784533,0
177.235263305924,6.06231251911709,0.0166031828233764,0,1e-06,0.0413201492165657,0.337056301594958,0.25
168.11407819025,3.61254559744966,0.0619966326107726,0,1e-06,1e-06,0.243111697206156,0.5
206.12710501168,17.3365091763094,9.84228806024667e-05,0,1e-06,1e-06,0.716729676102357,0.75
195.5265273507,56.3207228261214,2.86591861353713e-10,0,1e-06,1e-06,1.18916384914317,1
187.011988539899,1.17771339562662,0.282023730154665,0,1e-06,1e-06,0.135061592275441,0
181.048327941771,4.37339076635339,0.0406083087037945,0,1e-06,1e-06,0.248420220470085,0.25
180.157415104251,8.52242026895827,0.00488392900781642,0,1e-06,0.0217543365357485,0.343674789619911,0.5
183.621197833638,24.4546595761824,6.11089715762958e-06,0,1e-06,1e-06,0.599360569069677,0.75
195.007727031534,54.2914556718182,4.9444803806864e-10,0,1e-06,0.134130301524105,0.96630745182655,1
177.817682527542,0.165266499662288,0.685753254263373,0,1e-06,1e-06,-0.0515411313936298,0
191.586108968978,4.31122783871241,0.0420136814531435,0,1e-06,1e-06,0.29314147433862,0.25
176.007400227351,22.9044910980676,1.09396480532098e-05,0,1e-06,1e-06,0.59824586212287,0.5
173.941976718801,39.2163898670542,3.99115129834371e-08,0,1e-06,1e-06,0.770274210146434,0.75
189.745568066142,33.912692367268,2.20844247778018e-07,0,1e-06,0.0501372044504682,0.804681461078262,1
183.41461747508,0.102073319734697,0.750429664805055,0,0.117810643197711,1e-06,0.0448511851769351,0
177.838265844106,1.14678570224065,0.288374149902826,0,0.117810643197711,1e-06,0.143925846430678,0.25
213.03215825324,6.9812920301507,0.0104132409856803,0,0.117810643197711,1e-06,0.46749376159538,0.5
171.265912748533,29.1961551434772,1.1035297942108e-06,0,0.117810643197711,1e-06,0.689860030762209,0.75
186.571025873162,71.939992030415,5.79714054538272e-12,0,0.117810643197711,1e-06,1.22042882193493,1
