"lambda.input","lambda.est","kappa","kappa.z","CI.lower","CI.upper"
0,1e-06,0.179243346586614,-0.714681875872536,0,0.013645202925448
0,0.00776623560911692,0.187541704774218,0.917072511192237,0,0.0494200032535514
0,0.0216325180413239,0.188281341347874,0.945144667498787,0,0.0825789054862657
0,0.00878074770776989,0.191276656030924,1.62218976505115,0,0.0563284159124692
0,1e-06,0.181657851789572,-0.260270999027244,0,0.0242362784814963
0,1e-06,0.175995539988102,-1.27060543188364,0,0.0232900766179212
0,1e-06,0.188545216431529,1.05788903104012,0,0.051977418981807
0,1e-06,0.189156457268972,1.23799754716121,0,0.035952223046077
0,1e-06,0.185960020886517,0.537708197159926,0,0.0488989650775251
0,1e-06,0.179910740838531,-0.555398717984456,0,0.020152538363701
0,0.0131933991605102,0.182046599121259,-0.166211260181765,0,0.0817322691794605
0,0.00414192705369919,0.184653279866448,0.33199250433085,0,0.0353034646597177
0,0.0145258682240957,0.188720549832278,1.03237125804653,0,0.0780131300598544
0,0.00157365573514205,0.177062808794475,-1.13431137966037,0,0.040746366246229
0,0.0184909896338133,0.176255036271445,-1.20758172713234,0,0.0795942285685982
0,0.00253645586180321,0.183029044867219,0.0715725673563238,0,0.0332883069832516
0,1e-06,0.179415420915575,-0.603585567940877,0,0.0176922222783051
0,1e-06,0.181895375841854,-0.139257239840814,0,0.0244898308972091
0,0.00545385083213147,0.183117789096502,0.047963905664053,0,0.0511703767072796
0,0.033032613787596,0.180468422339133,-0.434482305797595,0.00435627520907762,0.0920682208507723
0,1e-06,0.191194759831405,1.58646854530031,0,0.0588893119315998
0,0.0188667388288353,0.181261870853456,-0.262029128782242,0,0.0658047558258453
0,1e-06,0.192478289225014,1.75002879629002,0,0.043777089791824
0,0.00307238700371312,0.181747266585174,-0.244825036498861,0,0.056239065734073
0,1e-06,0.183519872426991,0.1372289967528,0,0.0262378985916355
0.05,1e-06,0.182308196321516,-0.131918469132036,0,0.030579419112511
0.05,0.0818449635173855,0.191966471440473,1.66285084106773,0.0268622934818544,0.168747229490104
0.05,0.105218354679723,0.191426513371703,1.56763138172805,0.0473854640157749,0.188067077536212
0.05,0.0543036073824723,0.193172851092928,1.7634756858115,0.0134726304522311,0.132893948181053
0.05,1e-06,0.190950036828919,1.49796137488347,0,0.0399164341685522
0.05,0.0638092685853285,0.193078564839004,1.83571088972702,0.0236703218293507,0.132859447076199
0.05,1e-06,0.180005294341928,-0.520006093846648,0,0.0259551952283916
0.05,0.0523710895699757,0.197831750659857,2.7017303831017,0.00816125449384478,0.13645285294944
0.05,0.00118723541658121,0.184072226325905,0.277177974409135,0,0.0581811755009388
0.05,0.0381850944304276,0.183238898050075,0.0519941867137934,0.0109991160062636,0.0891353174083778
0.05,0.0967660945959092,0.206975285617839,4.16745706820711,0.0332698931350921,0.202123420690989
0.05,0.0367064324932771,0.194286381265012,2.1030646136033,0,0.119603923362305
0.05,0.0345223719271248,0.192002603713163,1.72202199949131,0.00708432577519129,0.0912304370661268
0.05,1e-06,0.18164352458185,-0.251776068395822,0,0.0360246735607699
0.05,0.00756253963674154,0.187220214224567,0.774825713890831,0,0.0638608696129812
0.05,0.0322556222236398,0.197773436431384,2.61976499635815,0,0.109959105352502
