"lambda.input","lambda.est","kappa","kappa.z","CI.lower","CI.upper"
0,1e-06,0.247259842186962,1.07221796591285,0,0.67689146724275
0,0.46130736394317,0.314864462506627,1.70593350160677,0.0882817443857794,0.718101343175379
0,1e-06,0.23184279615858,0.827403753178936,0,0.148613497349737
0,1e-06,0.269224414928687,1.28994094513097,0,0.358848502245047
0,1e-06,0.173762627602061,0.0938632365125286,0,0.188631071396715
0,1e-06,0.197972900563987,0.501553088736485,0,0.391715266225891
0,1e-06,0.233270936308513,0.858327936088381,0,0.148783678389427
0,0.261650965595072,0.250322765301431,1.14899466058522,0,0.630690256946501
0,1e-06,0.191005277479377,0.302132692545735,0,0.331766713155398
0,1e-06,0.281738299353575,1.41618381510702,0,0.35643120390969
0,1e-06,0.144857855338564,-0.409519167087853,0,0.285608604004206
0,1e-06,0.221553519877474,0.708561098250479,0,0.124228053213003
0,0.0291764017959162,0.11244776830776,-1.19613927831616,0,0.284528876540107
0,1e-06,0.175432430988362,0.115780798848467,0,0.159118891989446
0,1e-06,0.160818321739896,-0.0588067105937165,0,0.126632088206498
0,1e-06,0.212841864337615,0.636602326053616,0,0.138090656339704
0,1e-06,0.127912136221084,-0.761286274327887,0,0.126797304238118
0,1e-06,0.162064763940385,-0.111259593878237,0,0.108525911042955
0,1e-06,0.171837061289554,0.0359855559076328,0,0.0721653396972941
0,0.428645339945061,0.14878426177811,-0.382054810945672,0,0.738666582562273
0,1e-06,0.141966930077309,-0.548354946266516,0,0.0777350433153818
0,1e-06,0.196525388273802,0.3943245546199,0,0.092780772630095
0,1e-06,0.256563573716997,1.19647844520317,0,0.174344572961617
0,1e-06,0.0934108266039013,-1.68381115989503,0,0.219504181912406
0,1e-06,0.206361526319045,0.536380253865959,0,0.136903924080043
0,1e-06,0.188958184501109,0.312929124890306,0,0.10193586556753
0,1e-06,0.14833788881331,-0.365190471633546,0,0.218732058051318
0,1e-06,0.163866655672949,-0.170655345951879,0,0.195938137472918
0,1e-06,0.241984249436318,0.959891239066109,0,0.172035610760054
0,1e-06,0.175078799439615,0.0826038620114319,0,0.407957185130414
0,1e-06,0.255237495872457,1.14296695178515,0,0.133358442171459
0,1e-06,0.233384606394518,0.925721269705667,0,0.435102987521054
0,1e-06,0.268992260317728,1.31621327329592,0,0.200879739739264
0,1e-06,0.144091401572137,-0.441132091177442,0,0.116702482683907
0,1e-06,0.178982083777887,0.170647640626635,0,0.100385232879957
0,1e-06,0.218558738914498,0.605789110073291,0,0.132251473674976
0,1e-06,0.229671633687112,0.819643571444904,0,0.111110363222275
0,1e-06,0.269731680359782,1.25066729822656,0,0.229453697822042
0,0.0777030677543734,0.117859322036555,-1.066100212965,0,0.409700777532832
0,1e-06,0.197930078001296,0.418064651120574,0,0.0964162615082422
0,1e-06,0.209998244218147,0.562964849103558,0,0.0869526430717116
0,1e-06,0.176511207153536,0.125162681752096,0,0.118734498469569
0,1e-06,0.128868262251868,-0.79067905725997,0,0.145118580555956
0,1e-06,0.251178699533387,1.08547468548101,0,0.275060681255339
0,0.0597100855739177,0.204696031627155,0.525975417423046,0,0.308991135363196
0,1e-06,0.32434741759975,1.71554378082344,0,0.692934948995238
0,1e-06,0.16352190676056,-0.0948582019330352,0,0.281665378574045
0,1e-06,0.10940014184524,-1.24109030022275,0,0.489953320645064
