"Rsq","F","P","lambda.input","lambda.est","slope","beta"
5.37720652921267e-05,0.0274252280101358,0.868532933758409,0,0.01,-0.00755344131140646,0
0.0444497941960996,23.723918327179,1.48599325644483e-06,0,0.01,0.220359004482369,0.25
0.236079558102266,157.608787549992,0,0,0.01,0.561624971519135,0.5
0.397888206014775,337.018784708467,0,0,0.01,0.805076931608338,0.75
0.538731207009263,595.646008899288,0,0,0.01,1.05241108157484,1
0.000202203107411675,0.103144440906418,0.74821989136289,0,0.01,-0.0156559614928657,0
0.0845032909357194,47.0746404116138,1.98716598731608e-11,0,0.01,0.31587537611127,0.25
0.203440465894393,130.253462752961,0,0,0.01,0.506028617435445,0.5
0.357605096966056,283.904181978,0,0,0.01,0.79443731493546,0.75
0.538002600452687,593.902317415037,0,0,0.01,1.07849360111529,1
0.0140456141263452,7.26530893017801,0.00726203970628037,0,0.01,-0.12940831999074,0
0.0704283838121536,38.6398155007134,1.06081943229697e-09,0,0.01,0.282316247539833,0.25
0.166194223909442,101.653234631239,0,0,0.01,0.466252194368928,0.5
0.353556945830017,278.932600807085,0,0,0.01,0.751892564021542,0.75
0.4612562088977,436.646640616519,0,0,0.01,0.960422373825922,1
0.00933994121941846,4.80827906574403,0.0287742636017407,0,0.01,-0.100300669097808,0
0.0739656286588493,40.7354972811438,3.92012200478575e-10,0,0.01,0.292894600694591,0.25
0.198715823029306,126.478311512512,0,0,0.01,0.513304629044215,0.5
0.402212183784499,343.145524491831,0,0,0.01,0.818944930554276,0.75
0.491622429735037,493.191387326926,0,0,0.01,1.02810339175823,1
0.00374531431291466,1.91729115760106,0.16676105579874,0,0.01,-0.0622136491030027,0
0.0523622151400883,28.1803133518919,1.65214247838108e-07,0,0.01,0.224680221593644,0.25
0.246943971733394,167.240445407395,0,0,0.01,0.540434885876069,0.5
0.304029037398867,222.789192948393,0,0,0.01,0.665395416464773,0.75
0.495785271336238,501.473824557981,0,0,0.01,0.97502140261596,1
0.0054286665296456,2.78373188221575,0.0958398107638161,0,0.01,-0.0736219229017341,0
0.0512412328774797,27.5444398229628,2.25615186089101e-07,0,0.01,0.239491085964064,0.25
0.194401371512633,123.069598141697,0,0,0.01,0.503708789961072,0.5
0.391845628725725,328.602868103027,0,0,0.01,0.819839078700611,0.75
0.535618956025489,588.236042615024,0,0,0.01,1.09306876159164,1
0.00120974069720026,0.617715030583903,0.432262665366284,0,0.01,0.0348022203276537,0
0.0308974670703454,16.26010424123,6.36566050673526e-05,0,0.01,0.176898057260648,0.25
0.197723813192342,125.69130978366,0,0,0.01,0.510558921749956,0.5
0.360254496321167,287.192003800361,0,0,0.01,0.749903394397515,0.75
0.513193766526271,537.644760751656,0,0,0.01,1.05495250444843,1
0.000770794555745782,0.39340846052991,0.530793883424034,0,0.01,-0.029643564217683,0
0.0458194911122268,24.4900626763736,1.01636219795864e-06,0,0.01,0.2201807886862,0.25
0.154974692103471,93.5322199633433,0,0,0.01,0.445124954490924,0.5
0.397728732867857,336.79450578555,0,0,0.01,0.852920189501154,0.75
0.523235528308891,559.710580973038,0,0,0.01,1.03629375561027,1
0.00151886410388871,0.775799026276084,0.378843913554269,0,0.01,-0.0365329075796676,0
0.0648376189398738,35.3598330397441,5.09031705675511e-09,0,0.01,0.238984146960422,0.25
0.228254038803398,150.839221250006,0,0,0.01,0.49099184159873,0.5
0.32117515928278,241.298375382306,0,0,0.01,0.678777090466048,0.75
0.472495846664727,456.817032198516,0,0,0.01,0.961834675286624,1
6.49435760434769e-05,0.033123374932592,0.855656388393023,0,0.01,-0.00840443895825857,0
0.08512185315276,47.4512865538543,1.66675562240926e-11,0,0.01,0.318182390789945,0.25
0.119660924306439,69.3222339905847,8.88178419700125e-16,0,0.01,0.372535740619821,0.5
0.356177736132744,282.144087929759,0,0,0.01,0.728170465059926,0.75
0.471773472435852,455.494865151515,0,0,0.01,0.970250982613075,1
0.00132208653832397,0.675156750195919,0.41164343670912,0,0.01,-0.0360146307370008,0
0.0309180683079356,16.2712917467309,6.32934593436385e-05,0,0.01,0.174137324842387,0.25
0.187982616939907,118.065372292969,0,0,0.01,0.492085004391947,0.5
0.338009042178147,260.403272090078,0,0,0.01,0.748291414352184,0.75
0.480708789007468,472.107898620557,0,0,0.01,0.997349513439821,1
