lambda.input,lambda.est,kappa,kappa.z,CI.lower,CI.upper
0.1,0.144824455,0.049251709,1.296433685,0.058552366,0.257230414
0.1,0.094640173,0.026691718,0.557702556,0.043400578,0.177345633
0.1,0.08755467,0.034792747,1.127608932,0.040813492,0.170592907
0.1,0.020618498,0.033362946,1.653924532,0,0.095180604
0.1,0.084266158,0.033568486,0.425343839,0.035652096,0.158320064
0.1,0.182501107,0.039548799,1.28969443,0.10074835,0.293822907
0.1,0.092990228,0.030142134,1.637544385,0.041431736,0.174041271
0.1,0.146246258,0.038070557,1.051737363,0.0859666,0.230687609
0.1,0.092390851,0.003053091,1.146969867,0.033803805,0.180281321
0.1,0.166197158,0.03701682,0.308799715,0.092027496,0.262516137
0.1,0.046898439,0.027366424,0.81213153,0.012257943,0.12505874
0.1,0.0969826,0.043480716,1.312313431,0.041520416,0.182124543
0.1,0.188694229,0.035353208,1.114401343,0.112994506,0.285443434
0.1,0.052411025,0.024026888,0.386798775,0,0.132667723
0.1,0.033496731,0.009606752,0.002147276,0,0.118173766
0.1,0.109245906,0.047468951,1.675921015,0.03848139,0.215236187
0.1,0.103543274,0.040374093,1.581442931,0.051278059,0.190042607
0.1,0.065863353,0.038377972,1.223701958,0.014732308,0.161008491
0.1,0.063814047,0.028705459,0.746309964,0.015845033,0.149622369
0.1,0.158310113,0.025180058,0.031401166,0.081647295,0.262604987
0.1,0.050621835,0.036567074,-0.306290046,0.012077292,0.123952755
0.1,0.124742889,0.004739735,0.106495411,0.067188177,0.206075975
0.1,0.030836926,0.037459835,1.344695895,0,0.120853676
0.1,0.105513438,0.012985139,-1.397152665,0.052955665,0.18628551
0.1,0.084625217,0.018311319,-0.205832119,0.039318209,0.159284347
0.1,0.06907368,0.007464156,-0.450790255,0.028907174,0.13692915
0.1,0.051913424,0.022764237,0.112897166,0,0.144229648
0.1,0.045432275,0.011058167,-0.590117403,0.016215876,0.104083768
0.1,0.075574542,0.013269989,-1.251107391,0.031014008,0.144526446
0.1,0.125408078,0.038638386,1.011999576,0.066794831,0.210070307
0.1,0.089812597,0.053716831,2.517331834,0.043885519,0.166856365
0.1,0.072320933,0.028524299,-0.216285371,0.021623492,0.164206782
0.1,0.054461923,0.031788576,0.903484839,0.020273548,0.120872316
0.1,0.116361371,0.030134109,0.610405279,0.052347534,0.21388476
0.1,0.164536401,0.020306682,0.754201488,0.071650161,0.292343009
0.1,0.119464819,0.018328443,0.440413355,0.060471901,0.205554057
0.1,0.169044601,0.038993358,1.374708582,0.091323297,0.276983461
0.1,0.192765899,0.034264319,0.261584422,0.099534406,0.308818043
0.1,0.063307984,0.037665895,1.047710396,0.008452841,0.155998596
0.1,0.070631151,0.010567271,-0.909689043,0.034755972,0.132225235
0.1,0.128283224,0.038296846,1.057705143,0.046385802,0.242071937
0.1,0.10987748,0.034567395,-0.578404076,0.052219157,0.194627979
0.1,0.086139393,0.027410841,-0.465210452,0.027507695,0.174067129
0.1,0.075583432,0.016039875,-0.660643917,0.028414167,0.15339999
0.1,0.104406454,0.028291889,0.860958487,0.022746962,0.221835821
0.1,0.100437969,0.037402773,0.784291236,0.048963721,0.182560743
0.1,0.054991223,0.001424702,-0.60740829,0.009724919,0.142183171
0.1,0.104172458,0.018664409,0.820217407,0.048119498,0.195032272
0.1,0.097325857,0.025256259,0.9614836,0.028362122,0.206804872
0.15,0.122850165,0.052002854,1.973895526,0.063914722,0.205620553
0.15,0.132217306,0.036548876,1.867198608,0.059960071,0.235005352
0.15,0.157252323,0.026054107,0.263556476,0.079507652,0.271465481
0.15,0.062323883,0.040071994,1.714602515,0.011559855,0.149157948
0.15,0.127753705,0.035553769,1.342484317,0.052475752,0.231852956
0.15,0.140007412,0.030687421,0.297699938,0.079662891,0.221258572
0.15,0.109628875,0.031091763,-0.0493052,0.059537699,0.18519713
0.15,0.157244039,0.020392161,0.581922312,0.080779555,0.259449724
0.15,0.209362239,0.007597882,-0.732637278,0.10476726,0.342254553
0.15,0.129184628,0.010460901,0.710173949,0.064065659,0.221125082
0.15,0.219008695,0.040917123,1.517457397,0.132648287,0.322646586
0.15,0.125440067,0.028898957,-0.339294851,0.057602179,0.219052224
0.15,0.135481421,0.042478257,1.223393185,0.06457761,0.232438062
0.15,0.146607554,0.043869895,2.055916978,0.070661187,0.254310235
0.15,0.12154729,0.028925782,1.152308265,0.052376474,0.231183497
0.15,0.147469992,0.017078648,-0.17130848,0.058673344,0.268202755
0.15,0.1803414,0.037992525,1.468904047,0.084926319,0.303281648
0.15,0.164362596,0.023745511,0.594308076,0.075839732,0.277996749
0.15,0.205177036,0.049898107,2.835877361,0.103414303,0.329471296
