"AIC","F","P","lambda.input","lambda.est.x","lambda.est.xy","slope","beta"
193.228017154049,0.0834589270674468,0.773627324756685,0,0.01,0.01,0.0377312060934679,0
177.953593196246,11.3145071105431,0.00132283031930425,0,0.01,0.01,0.38990349165823,0.25
172.38740074481,19.7323293516557,3.74364179074327e-05,0,0.01,0.01,0.492995329917655,0.5
196.52267160911,30.1838655587968,7.8213050658249e-07,0,0.01,0.01,0.736258354228513,0.75
177.640251522391,68.6687180888614,1.26063604000137e-11,0,0.01,0.01,0.958198815286105,1
185.04325237278,0.0315384263625603,0.859623433624296,0,0.01,0.01,-0.021626159851182,0
182.582309770518,9.5891438133475,0.00293826811313025,0,0.01,0.01,0.369912936420344,0.25
186.09950383198,18.3716719501068,6.45494850530781e-05,0,0.01,0.01,0.526280795394376,0.5
194.026656994041,20.5407838676125,2.72199434094844e-05,0,0.01,0.01,0.592035745596699,0.75
191.020851176717,73.7329982509364,3.81827902629084e-12,0,0.01,0.01,1.09565012884571,1
160.520440887312,1.28554859089167,0.261235024982999,0,0.01,0.01,0.130119552935766,0
190.65924510218,3.19708075079824,0.078656465472648,0,0.01,0.01,0.259677211284537,0.25
169.514854107155,7.0311723362427,0.0101563697967761,0,0.01,0.01,0.326459687634232,0.5
179.319056329989,36.2811037950384,1.01632004589902e-07,0,0.01,0.01,0.800609730432905,0.75
193.378523328844,33.4333344797582,2.59052454376629e-07,0,0.01,0.01,0.857774618064159,1
174.054670518487,1.00066059642267,0.321038970275268,0,0.01,0.01,-0.106388525234309,0
163.274247369535,1.01599916478826,0.317387640726396,0,0.01,0.01,0.0985418907020361,0.25
183.88582997544,15.9025537170452,0.000178527430176212,0,0.01,0.01,0.457974416496866,0.5
188.327073961256,45.5326982797523,5.86380899392225e-09,0,0.01,0.01,0.802302760885803,0.75
193.701677837238,60.825904907894,8.83237927240543e-11,0,0.01,0.01,0.967066888261624,1
183.776335846043,0.643759255047388,0.425417635410565,0,0.01,0.01,0.115863207281755,0
177.413305073637,5.78193985525612,0.019191970104703,0,0.01,0.01,0.330393350444486,0.25
168.520115206376,3.64662591269725,0.0608123868713406,0,0.01,0.01,0.244774509018245,0.5
206.394158099583,17.1355057121638,0.000106906064773593,0,0.01,0.01,0.713301037183259,0.75
195.800277956584,56.2823796739326,2.8953439645818e-10,0,0.01,0.01,1.19005318411406,1
187.3029821585,1.16947146271065,0.283698281696147,0,0.01,0.01,0.134759773773882,0
181.348291989882,4.31748859491505,0.0418697924337468,0,0.01,0.01,0.247159459870282,0.25
180.18299100227,8.53192493591128,0.00486160341127029,0,0.01,0.01,0.344295519696961,0.5
183.755253119527,24.4412356868442,6.14148030564365e-06,0,0.01,0.01,0.599224908224962,0.75
196.176862544704,54.5855704631978,4.56591431330367e-10,0,0.01,0.01,0.986762875532178,1
177.881066205452,0.152114400616556,0.697859583745265,0,0.01,0.01,-0.0493998791399911,0
191.778367407034,4.39817537236368,0.0400621803298384,0,0.01,0.01,0.296093928343828,0.25
176.188384854772,22.6987151104363,1.18294715667489e-05,0,0.01,0.01,0.595522557067611,0.5
174.202968539655,39.1560103412236,4.06744820047322e-08,0,0.01,0.01,0.770123589770594,0.75
189.83323828299,32.7492612373245,3.25788020116846e-07,0,0.01,0.01,0.795782356420939,1
183.479952191743,0.105590556904347,0.746315131889157,0,0.01,0.01,0.0456958412981388,0
177.862252255196,1.19585740394573,0.278381861481306,0,0.01,0.01,0.147178169595881,0.25
213.10098541609,7.18333181425246,0.00941322395777466,0,0.01,0.01,0.475038779364476,0.5
171.468506864574,29.1311908665159,1.12896140636032e-06,0,0.01,0.01,0.691017929217759,0.75
186.620674038138,71.7336593531116,6.08491035336556e-12,0,0.01,0.01,1.22062389074692,1
183.544228104707,0.059989051732714,0.807322092126447,0,0.01,0.01,-0.0287572686332273,0
191.400711139554,8.9454295139766,0.00398685717267266,0,0.01,0.01,0.37339517148127,0.25
199.595356188004,7.20081364539455,0.00933158753930874,0,0.01,0.01,0.357159910728971,0.5
166.096511587685,84.9271581382209,3.17967874252645e-13,0,0.01,0.01,0.944139411858397,0.75
188.385068555557,59.5736787897058,1.21954446541395e-10,0,0.01,0.01,0.941159991839383,1
191.43145183261,0.190055393653416,0.664384719121934,0,0.01,0.01,0.0526984166203938,0
184.165018494283,4.51945770449015,0.037501366907255,0,0.01,0.01,0.242798591052016,0.25
175.407742074597,23.3976067663096,9.07810477213111e-06,0,0.01,0.01,0.515912357080731,0.5
198.303756102403,24.8427430307184,5.29161108997478e-06,0,0.01,0.01,0.635732564223257,0.75
195.838759952886,72.6867286044094,4.86855000758624e-12,0,0.01,0.01,1.06669116322651,1
186.56861747132,0.328590657304227,0.568563512916475,0,0.01,0.01,-0.0715632782805902,0
200.979866475013,12.6457601240562,0.000727593892245082,0,0.01,0.01,0.496856971181281,0.25
175.414746594694,9.08055612886665,0.00373811539539615,0,0.01,0.01,0.344805822417522,0.5
177.314410997536,32.6880426812798,3.32568688587997e-07,0,0.01,0.01,0.663984964799979,0.75
184.323206052153,70.0168526333736,9.13091824372714e-12,0,0.01,0.01,1.02646796481585,1
179.944904235108,0.434545040315221,0.512208191501162,0,0.01,0.01,0.0823089167125874,0
175.589851535012,15.0529272390018,0.000255690061785607,0,0.01,0.01,0.468234703302501,0.25
175.794514150638,22.0879292976568,1.49391448043268e-05,0,0.01,0.01,0.568100306971436,0.5
198.661951638124,43.6938505858939,1.01215755776707e-08,0,0.01,0.01,0.955311920149587,0.75
174.041201955839,55.0466365835427,4.03162170314886e-10,0,0.01,0.01,0.884634878715848,1
184.01410189731,0.278122230187402,0.599816790644967,0,0.01,0.01,-0.0772370022606326,0
195.128808578752,4.15357213765613,0.0458187924380522,0,0.01,0.01,0.325559078052029,0.25
165.019326989437,37.4777462329105,6.9184540096856e-08,0,0.01,0.01,0.772941155722722,0.5
177.661694698881,10.5193647299271,0.00190429324952301,0,0.01,0.01,0.452011068177297,0.75
199.065572027415,45.2645670489957,6.3457421539681e-09,0,0.01,0.01,1.10829471479202,1
202.711370880755,1.29122502842825,0.260195478951238,0,0.01,0.01,0.162742226812535,0
170.78856859728,5.12815351014089,0.0270474895648221,0,0.01,0.01,0.252736577817844,0.25
197.928701863563,23.7733136155396,7.88184730771135e-06,0,0.01,0.01,0.672692995924504,0.5
198.007890835891,26.1875889949209,3.2309272792741e-06,0,0.01,0.01,0.706461479405791,0.75
170.009374392327,60.146679352199,1.05171205078136e-10,0,0.01,0.01,0.860299502339945,1
209.526588952083,0.0485335832222172,0.826358696591046,0,0.01,0.01,-0.0365009119365758,0
177.128727565022,8.78692010400553,0.00430089044577864,0,0.01,0.01,0.381309250225557,0.25
186.838505830559,8.32415221045839,0.00537499315021073,0,0.01,0.01,0.400381096203883,0.5
176.715954970816,35.5050183231225,1.30771643069849e-07,0,0.01,0.01,0.764017605126193,0.75
191.948911084184,45.3464134182496,6.1944414042614e-09,0,0.01,0.01,0.972555186971153,1
198.382116822277,2.01497501864046,0.160762301187257,0,0.01,0.01,-0.217051102529769,0
181.294072791507,3.83137951154794,0.0548069749634648,0,0.01,0.01,0.261894444921634,0.25
183.148355303272,20.6111197639473,2.64801312592766e-05,0,0.01,0.01,0.616298252767017,0.5
168.601455196612,25.4726876210715,4.19536253914998e-06,0,0.01,0.01,0.611534520571477,0.75
167.02435552571,72.2620929484944,5.37592192983993e-12,0,0.01,0.01,1.01739097034279,1
173.046890210223,0.791321638038357,0.377139454214398,0,0.01,0.01,-0.0911999392916103,0
166.621111138291,0.593338197760499,0.444056411992513,0,0.01,0.01,0.0751046786199585,0.25
188.171015961615,25.2844790827294,4.49579103634079e-06,0,0.01,0.01,0.580176412052017,0.5
183.934605989168,60.0577660512967,1.07610365063238e-10,0,0.01,0.01,0.865055208836373,0.75
204.194116056386,73.0762994315015,4.44622116901883e-12,0,0.01,0.01,1.11785770111193,1
199.203484143998,1.23031492265046,0.271629738765217,0,0.01,0.01,-0.146206549451858,0
175.393476483688,1.06277743347236,0.306587449522155,0,0.01,0.01,0.112822120606849,0.25
188.088830290562,32.0241482137776,4.1620004687104e-07,0,0.01,0.01,0.683890043973193,0.5
186.760419803123,58.9156868358464,1.4468426456915e-10,0,0.01,0.01,0.918027650912541,0.75
187.86772636189,57.4314548824543,2.13496331724627e-10,0,0.01,0.01,0.914265238578955,1
190.234524140709,0.336827771141655,0.563769532799182,0,0.01,0.01,-0.0724590271676744,0
194.741292474737,5.69944324234495,0.020032838871251,0,0.01,0.01,0.308742132523117,0.25
167.98977068731,22.3742655265134,1.33876446135606e-05,0,0.01,0.01,0.496350144568228,0.5
190.221068831645,48.6240572105785,2.39346142905106e-09,0,0.01,0.01,0.870499442209509,0.75
194.03641704114,58.7405818806655,1.51441303941624e-10,0,0.01,0.01,0.98572827732953,1
175.805986592818,0.191311209889109,0.663347382384201,0,0.01,0.01,0.0499942232649617,0
182.193958395674,2.70890562916305,0.104850031670568,0,0.01,0.01,0.197751810059256,0.25
187.41600718834,9.39107378749412,0.0032260833130926,0,0.01,0.01,0.383529857618442,0.5
181.792033526216,23.4066449272927,9.04722412720105e-06,0,0.01,0.01,0.579467938588182,0.75
163.614087461736,94.1229662465258,4.75175454539567e-14,0,0.01,0.01,1.00816406113483,1
173.784851041054,0.745083575655433,0.391364154045125,0,0.01,0.01,-0.084142246624585,0
198.43710596735,6.7034979254979,0.0119748431774096,0,0.01,0.01,0.305988860332303,0.25
193.692688310974,19.191375667351,4.6430101154904e-05,0,0.01,0.01,0.498896518741167,0.5
175.310899259899,41.8032171120456,1.79285806201079e-08,0,0.01,0.01,0.637814267017275,0.75
