"lambda.input","lambda.est","kappa","kappa.z","CI.lower","CI.upper"
0,0.0148771960821259,0.226084275566845,1.74910073524735,NA,0.148730363597029
0,0.00755010093262274,0.210293675276229,1.43430964038733,NA,0.0912786626273032
0,1e-06,0.14246529762673,-0.338505010872162,NA,0.0290432615568413
0,1e-06,0.18408221132385,0.774085903825437,NA,0.0222553357621924
0,1e-06,0.147950469458768,-0.165422643344992,NA,0.0719669757029011
0,0.105136122945442,0.194439729040807,1.13439088070095,0.00181788144239584,0.356869036055397
0,1e-06,0.181104612865325,0.755611476907912,NA,0.0517017836146285
0,1e-06,0.157173934737359,0.0870387306490641,NA,0.0392964363228464
0,1e-06,0.142317874962389,-0.426454545226989,NA,0.0616026813968501
0,1e-06,0.128998570450796,-0.78743463705162,NA,0.424054596619996
0,1e-06,0.158104249268546,0.101439368002152,NA,0.0342421641776932
0,1e-06,0.180669143876941,0.673534403253706,NA,0.0314611712708894
0,1e-06,0.106606350455316,-1.72615899449678,NA,0.0207554533573828
0,1e-06,0.214319442742602,1.40286330177156,NA,0.161670526623612
0,1e-06,0.192039584787383,0.983176454801714,NA,0.29286421702873
0,0.0280800062718239,0.147415274076312,-0.217997707072516,NA,0.16262461457649
0,1e-06,0.163369136880862,0.294093149794588,NA,0.0445208507317867
0,1e-06,0.167353458915784,0.340042014784795,NA,0.0470410548412802
0,1e-06,0.155693900504712,0.0551714752573022,NA,0.0805115504326298
0,1e-06,0.188756691334672,0.938301358736368,NA,0.055838121253426
0,1e-06,0.160464747894851,0.177627625361417,NA,0.0767685995644356
0,1e-06,0.154055631134326,0.0547557402361746,NA,0.0614748692339797
0,1e-06,0.157761009316324,0.0905662753124531,NA,0.0469246637363797
0,1e-06,0.159340445449218,0.167730810709585,NA,0.115183053190384
0,1e-06,0.15500692626416,0.0566689054741994,NA,0.179764696304798
0,1e-06,0.181307479924973,0.742286476570831,NA,0.174121812069144
0,0.133482873858264,0.154206857319402,0.0614917247346608,0.00591266262769198,0.341399785989568
