"AIC","F","P","lambda.input","lambda.est.y","slope","beta"
180.870609356958,1.68639912378325,0.198885733929515,0,1e-06,-0.15410033761393,0
188.939893598176,1.918559505185,0.170979238889306,0,0.00584474158665828,0.175026956400199,0.25
170.353265542728,12.7317189388545,0.000700393738823024,0,1e-06,0.390015944553019,0.5
186.302707815992,29.2306298375243,1.09027529449079e-06,0,0.169936171634997,0.659344627668809,0.75
175.922109688483,82.2042804916879,5.71320768472106e-13,0,0.0884919001059824,1.02861215963562,1
167.407747549132,1.31080843094425,0.256648857892442,0,1e-06,-0.122095805333876,0
199.104976312681,3.38136532898997,0.0707275718689029,0,0.0208747484894109,0.251085546144945,0.25
177.114553936194,25.445359696042,4.23766243429213e-06,0,1e-06,0.580323156227048,0.5
172.246802778333,44.8077578535396,7.26323579058885e-09,0,0.0990417075608626,0.736783017219393,0.75
156.357702939457,107.507270061586,3.5527136788005e-15,0,0.0873255191910616,1.00916601437117,1
176.198178299033,0.233282005250741,0.630802064008934,0,0.0171465309903912,-0.0575261614732976,0
178.82898099627,0.792533138833563,0.376776787152252,0,0.147304821276745,0.105342221298077,0.25
172.949108036018,21.232827271545,2.07802151486192e-05,0,1e-06,0.538064019557973,0.5
186.841386650817,32.6332150446411,3.38765319352063e-07,0,1e-06,0.743524764338763,0.75
193.386976725767,56.3327971191441,2.85671486466299e-10,0,0.0336875737142545,1.01772286611297,1
201.769127580072,0.0986833744313562,0.754470002618744,0,1e-06,0.0504888422270254,0
153.777778560721,12.1128478995738,0.000922674803811141,0,1e-06,0.384472666250111,0.25
189.400744711149,14.4762682772679,0.000327216632438398,0,1e-06,0.555183722141431,0.5
172.996419753872,41.3996319895647,2.02845069630087e-08,0,0.0162217819620502,0.823354197602387,0.75
172.963101521319,50.5547876269562,1.38575018127085e-09,0,1e-06,0.912468449749327,1
181.064090972811,2.6830472015146,0.106487276301387,0,1e-06,0.219041445636299,0
192.776741251882,1.28303966537681,0.261696162755226,0,0.0587563253183288,0.164807686121212,0.25
191.351892246454,18.6979761812577,5.65881190990325e-05,0,1e-06,0.626635776419367,0.5
183.312374469833,42.2697080651679,1.55540154089806e-08,0,1e-06,0.884820189115349,0.75
184.985618378941,51.223886763704,1.14926468341991e-09,0,1e-06,0.986856158756392,1
170.700846434176,0.00099487242004799,0.974938937577948,0,1e-06,-0.00433039905914323,0
169.129571377636,0.752030333325145,0.389178149880348,0,0.0382415638390872,0.116414440327665,0.25
183.768955480786,23.4692245501565,8.83636945481214e-06,0,0.121875242103641,0.715426064870741,0.5
177.403974782016,26.7738849338336,2.6124590846166e-06,0,1e-06,0.748588474543874,0.75
154.442439568717,49.2227323519602,2.01824668089046e-09,0,1e-06,0.84832744470225,1
187.5171738184,0.709016616488711,0.403006811058542,0,1e-06,-0.114697826775225,0
197.238748584226,6.81824731949507,0.0113017667398911,0,0.0672298510035138,0.379471850831329,0.25
192.677289372131,14.0198351532693,0.000398432667537474,0,1e-06,0.531014431890795,0.5
175.821887606605,27.979509237136,1.69585058973354e-06,0,1e-06,0.657606038380887,0.75
183.256425179747,33.3883681513451,2.6297091548777e-07,0,1e-06,0.761321642671819,1
196.797724223782,0.341428809558668,0.561125837783681,0,1e-06,0.0796068775998672,0
187.992001454629,0.650872186196728,0.422885058927751,0,1e-06,0.102605632563934,0.25
183.236538342734,12.3190175888566,0.000841434415531417,0,1e-06,0.430106940300859,0.5
176.130977962885,42.3308334658946,1.52678856224497e-08,0,1e-06,0.754237609874003,0.75
171.895656553978,83.7207707357152,4.11670697531008e-13,0,1e-06,1.0261863963744,1
189.378251272524,5.0497625573023,0.0281982355780948,0,1e-06,0.285943299787933,0
170.762411203357,6.61528812454154,0.0125209663663952,0,0.0998671241446647,0.278853548722895,0.25
186.96223195438,11.3156183357261,0.00132216215289072,0,1e-06,0.420035712890088,0.5
200.694184388551,36.6040664144331,9.1567392335179e-08,0,1e-06,0.841014014108616,0.75
169.243625546145,104.96272561807,5.77315972805081e-15,0,0.382607414931969,1.06279787496935,1
187.709508834596,0.0296546946187761,0.863836951076014,0,1e-06,0.0242893777489799,0
165.971913421195,4.4006354470761,0.0400084058123258,0,1e-06,0.24967399623972,0.25
173.062243821669,31.4715463192345,5.02294946080895e-07,0,1e-06,0.705718692857247,0.5
182.207689640876,22.234439340183,1.4123298270885e-05,0,1e-06,0.637111565718928,0.75
178.37346770628,42.7282738849889,1.35353528385451e-08,0,1e-06,0.857138183068739,1
182.280570875871,0.131405125964416,0.718212370696939,0,1e-06,-0.0461674451332426,0
184.152421409716,1.66289403430623,0.202002897140453,0,1e-06,0.166652957629797,0.25
171.103222828364,23.7959270372127,7.81527101123558e-06,0,1e-06,0.569320853588436,0.5
179.576294075647,33.5735251676626,2.47218828075546e-07,0,1e-06,0.722524786182097,0.75
163.998922762618,102.691433060278,8.88178419700125e-15,0,0.0914454179724836,1.09864048915143,1
183.175395897272,0.00409656537464651,0.949172624806724,0,1e-06,-0.00744499220313666,0
204.783003391662,0.771487046775747,0.383148705452399,0,1e-06,0.120957172765668,0.25
176.051628047311,18.1621342098925,7.02665363596644e-05,0,1e-06,0.468886067216554,0.5
182.489013595871,33.4858276507098,2.54554336276414e-07,0,1e-06,0.669508317917065,0.75
171.728729895908,92.2686631417647,6.88338275267597e-14,0,1e-06,1.0217478437916,1
172.775825791536,4.35951811985693,0.0409174890864814,0,0.0312708361020973,0.267177283299924,0
195.429879316352,5.57814647073636,0.0213410308729571,0,1e-06,0.363173473315708,0.25
185.224208939501,5.47209465984737,0.0225593278310168,0,1e-06,0.332138242068237,0.5
180.670535976379,42.7510036355808,1.34426318965097e-08,0,1e-06,0.895911199550286,0.75
176.174421040974,41.9743875541237,1.70165361801367e-08,0,1e-06,0.85709509282797,1
181.853134415029,0.384463236915521,0.537496578396118,0,1e-06,-0.0741338724711814,0
200.841749869337,1.36973487700736,0.246336474180353,0,1e-06,0.162305970142701,0.25
180.836557109226,12.1688371800065,0.000899835718998876,0,0.00829714260005231,0.414005221607346,0.5
186.461762902254,73.564172018209,3.97037958066448e-12,0,1e-06,1.06306345086017,0.75
190.94038587097,56.8268563134076,2.50519827105222e-10,0,1e-06,0.967605797242257,1
185.102844203093,0.00913354068059532,0.924170671858614,0,1e-06,-0.0143533115422763,0
184.030940340075,3.33906378002757,0.0724666144494779,0,0.28915819411336,0.259226719984214,0.25
187.57323429915,9.1035002697642,0.00369751945777685,0,1e-06,0.461975115062962,0.5
189.537057311542,27.307179998586,2.15623311494717e-06,0,1e-06,0.812486043421683,0.75
154.342790019041,56.231937565206,2.93453261690502e-10,0,0.148939789934762,0.861406443187794,1
186.363494814489,1.63599334733227,0.205642653902693,0,1e-06,0.175774073424038,0
185.726092623299,2.46633434293085,0.121398787858154,0,1e-06,0.214747129595918,0.25
194.367303884477,10.8219951411694,0.00165660944497548,0,1e-06,0.481253661701005,0.5
190.963691735635,19.3899178079147,4.28940013330603e-05,0,1e-06,0.627278151109251,0.75
157.520377128057,111.507818462023,1.77635683940025e-15,0,0.226406165295715,1.11675119360309,1
193.292468722918,0.441217291685024,0.508998385453472,0,1e-06,-0.0951652009547879,0
176.593419837857,1.06720519730916,0.305590492668464,0,1e-06,0.129902419901676,0.25
172.37056498377,28.7058428957585,1.31116304835643e-06,0,1e-06,0.651854390440687,0.5
166.518021938673,45.5483535155849,5.83686654564985e-09,0,0.121644408146964,0.790738774007483,0.75
