"AIC","F","P","lambda.input","lambda.est.y","slope","beta"
2998.61274409832,0.942795736836827,0.331789624734357,0,1e-06,0.0322250246773428,0
2859.6562024991,43.9312139854499,5.4956927897365e-11,0,0.00169295270822146,0.205593021831639,0.25
2841.92776655752,315.852488507239,0,0,1e-06,0.546386958991606,0.5
2922.94759835301,598.025937344585,0,0,1e-06,0.782166255413985,0.75
2898.72310667062,1033.95275932094,0,0,0.0145096805012573,1.0171918658274,1
2898.32202358447,0.124653184513951,0.724114333326185,0,0.0194430674497309,0.0108919453322925,0
2937.76105173293,50.9833657520392,1.76592074296877e-12,0,1e-06,0.224848135350356,0.25
2919.72494563826,228.370603729523,0,0,0.0425098322095677,0.470614797097852,0.5
2871.48683598298,611.60802403649,0,0,0.0132724358391926,0.753236439834572,0.75
2985.42216225082,981.900177557863,0,0,1e-06,1.00998662133691,1
2924.69668633437,2.84777737181889,0.0918054840944209,0,0.00896051360026008,-0.0533392888562007,0
2846.08035229713,76.4403762897687,0,0,0.00931629546216129,0.265938474596005,0.25
2862.92983753342,276.501626985005,0,0,0.0275529517385504,0.50960405357835,0.5
2957.84921132855,514.72377453186,0,0,0.00101053851008409,0.728762183709721,0.75
2894.8833213185,1054.0742195978,0,0,1e-06,1.01123627645601,1
2870.75714313526,0.266841480731162,0.60557020179028,0,0.0107292980452138,0.0156254656122648,0
2880.2593754567,75.5138523888231,0,0,0.00976399714021959,0.264111699079554,0.25
2985.372416433,236.286086852231,0,0,0.0448055132880448,0.489763391312094,0.5
2948.55299613316,481.451301377209,0,0,1e-06,0.690355705840659,0.75
2929.05862782762,990.152075238424,0,0,1e-06,0.980649369265768,1
2859.06571307104,0.0284137901135478,0.866173026947731,0,0.00212053340378935,-0.00534064476597362,0
2923.1230565134,48.5113844141421,5.87130344342768e-12,0,0.0315650585441154,0.227328009735544,0.25
2940.17843391193,277.736817830589,0,0,0.00331343397966038,0.549340986227494,0.5
2909.598329679,578.427124137236,0,0,1e-06,0.780991207374556,0.75
2906.08804206556,1036.88453432446,0,0,1e-06,1.04386090794928,1
2851.4216119993,0.101321742429845,0.75031425343305,0,1e-06,-0.0100756308281433,0
2940.87315279094,37.626699139137,1.22285448433956e-09,0,0.015326477777078,0.203186621021564,0.25
2903.91139382818,310.451140377455,0,0,1e-06,0.572200748818008,0.5
2935.21712722279,510.0567790968,0,0,1e-06,0.744731426396096,0.75
2913.51981106012,996.925455466604,0,0,1e-06,1.0301979352071,1
2918.39224812931,3.66821984324747,0.0557382487968159,0,1e-06,0.059099373838718,0
2835.52322280741,44.2315475083035,4.74398298422329e-11,0,1e-06,0.197082580966394,0.25
2949.80624761501,216.45073375381,0,0,0.0230637039711776,0.46079672527711,0.5
2950.42119167506,542.976589034393,0,0,0.00990104295662912,0.730427195746272,0.75
2909.00563659075,1028.33537284309,0,0,0.0154888089878055,0.984888613049287,1
3008.68418277014,1.9335642134472,0.164671742872135,0,0.00820793355408364,0.0463660274431933,0
2882.50536986867,74.8395893024483,0,0,0.0652393794254487,0.270963414457927,0.25
2833.93605566079,295.997335333285,0,0,1e-06,0.52685193274794,0.5
2954.83228597103,503.107788602006,0,0,1e-06,0.728638629721306,0.75
2911.42848313832,982.24656903253,0,0,0.0506432264273768,0.996006532929776,1
2902.10571301332,0.00628740623831601,0.936814964344942,0,0.00473946523602675,-0.00254875727326564,0
2906.30843276751,60.1661530293166,2.08721928629529e-14,0,1e-06,0.249756294691216,0.25
2878.59230405696,214.927731191626,0,0,1e-06,0.465703095962755,0.5
2915.77762429103,614.90653964398,0,0,0.0376572348268513,0.800669577958011,0.75
2888.22910752198,950.541310136045,0,0,0.0297401945652805,0.98283930381413,1
2842.51892241815,1.03986627018137,0.308093904069136,0,0.0808714328188666,-0.0307681152862263,0
2909.74055239484,53.5796776635952,5.02042851735496e-13,0,1e-06,0.229452136257025,0.25
2885.60998273162,280.255177937152,0,0,1e-06,0.518623035797362,0.5
2897.91841984511,510.768482761298,0,0,1e-06,0.704363960341209,0.75
2894.12945196186,980.934549372993,0,0,1e-06,0.974319997270519,1
2832.82484068856,0.390570223916118,0.532139323877278,0.05,0.0507319196844863,0.0194060162354902,0
2886.32881881769,54.6702130814964,2.96207502969992e-13,0.05,0.0637043754764611,0.235564835676215,0.25
2798.9846888122,284.336542243763,0,0.05,0.0553236331783824,0.514945619975182,0.5
2848.15792780845,683.681871289162,0,0.05,0.0332538076758627,0.8183757311931,0.75
2923.16071970584,972.215793373896,0,0.05,0.0790009509262055,1.01077767161795,1
2889.45203992339,0.820122975512502,0.365357656742586,0.05,0.0604791644442861,0.0286988481071376,0
3037.35107964087,21.7294003023411,3.55470291735216e-06,0.05,0.0180327550066403,0.158775299892613,0.25
2788.69902946,210.86095011245,0,0.05,0.0869755092929824,0.437513264275552,0.5
2961.43105251408,504.315648824307,0,0.05,0.027424832936383,0.737472333372025,0.75
2909.66793539096,881.923229673135,0,0.05,0.0274074995659241,0.950895731809217,1
2891.06650554825,0.831133126879093,0.362160062426478,0.05,0.0209928844150167,-0.0278678079996641,0
2909.57246079731,61.7904766472128,9.76996261670138e-15,0.05,1e-06,0.239261447882993,0.25
2858.34686859609,235.39426312979,0,0.05,1e-06,0.455456707110989,0.5
2908.07590864477,620.69837754644,0,0.05,0.021803758589781,0.768057052150632,0.75
2874.93707749358,1085.22102705248,0,0.05,0.0297722581855129,1.00069471168134,1
2906.33406256287,1.58061713145277,0.208959050511142,0.05,0.0447509722541558,-0.0414946288697929,0
2925.44872358735,56.3560843139947,1.31450406115619e-13,0.05,0.0392063146260707,0.250056109381479,0.25
2869.63305056072,247.905632274567,0,0.05,0.0456167351100163,0.510443331731497,0.5
2908.78136805364,512.126061015447,0,0.05,0.0561841084131525,0.747943677702046,0.75
2879.29229987865,910.935865657008,0,0.05,0.0769265055511377,0.98331241008308,1
2794.18754949412,0.0381517561685756,0.845177550807223,0.05,0.0862596887438801,-0.0058925730536413,0
2799.68153131541,52.8909274462272,7.00550728538474e-13,0.05,0.0595875181542585,0.220296245514463,0.25
2873.04642785881,181.149394765615,0,0.05,0.0546063389148564,0.422663718891689,0.5
2930.16274105019,469.532655354056,0,0.05,0.0400271196299642,0.700148726696089,0.75
2965.17457469163,991.302025500743,0,0.05,0.0354642807438573,1.03503621512316,1
2830.97250551252,0.561671094095567,0.453760184332592,0.05,0.0516151681848807,-0.0226497573768872,0
2967.65138979078,34.3041840583272,6.34936259125141e-09,0.05,0.0230186267029026,0.189268936785406,0.25
2950.03519004414,271.397363825076,0,0.05,0.0631897780065216,0.527501836939083,0.5
2964.82426813307,530.501651544601,0,0.05,0.0148983174648712,0.743085160074845,0.75
2949.20842338837,1003.90905890296,0,0.05,0.0499187116474841,1.01452038544115,1
