"lambda.in","beta.in","coef.(Intercept)","aic","log.lik","Pval.","lambda.opt.lambda","lambda.ci.val1","lambda.ci.val2","lambda.z","phy.signal","kappa.z"
0,1,0.982560772665324,1441.17997821537,-719.589989107683,0,0.0364374969429333,NA,0.203903899344346,0.488333843610393,0.179742043488539,0.141506427303428
0.05,1,1.13170505564005,1438.05936737581,-718.029683687904,0,1e-06,NA,0.407664405902365,1.40969710341401e-05,0.175640795802749,0.0652939536628296
0.1,1,1.25135583620575,1421.66853955388,-709.834269776938,2.30926389122033e-14,0.292791338928425,0.0640872436963826,0.534584750775942,3.99914581242018,0.259793030313688,1.62354945468445
0.15,1,0.901138951002056,1413.40213548946,-705.701067744732,2.4528490349951e-10,0.196647216980735,0.0666973555843277,0.397654792738754,4.60417932623178,0.310014457549727,2.56671314176498
0.2,1,1.04564743638721,1339.4526988505,-668.726349425248,0,1e-06,NA,0.286794372979868,1.03155649436874e-05,0.176931684622417,0.0876390444126432
0.25,1,1.00379002050581,1439.09433074054,-718.547165370269,0,1e-06,NA,0.479043515789984,9.19690204715057e-06,0.221016744957827,1.0780927226933
0.3,1,1.1652596234391,1388.46321701374,-693.231608506869,3.84101639383516e-11,0.403468813366692,0.138699611235204,0.623068334499415,5.28388799613438,0.131420065257679,-1.18395002352944
0.35,1,0.916845765575531,1369.90574916145,-683.952874580723,3.3159925028059e-07,0.453960229928133,0.119777357973584,0.658440982908199,1.76214842492613,0.292727995842533,2.0692993683707
0.4,1,1.12356183536514,1359.79111957227,-678.895559786135,1.03916875104915e-12,0.315765123576356,0.0458568622001425,0.537801360556686,1.38981156238235,0.203152844096618,0.638777319256624
0.45,1,0.822871525975592,1330.42714532609,-664.213572663044,6.96509022635183e-06,0.52468902671184,0.281241000042813,0.698901145755114,4.43643379376573,0.279905567925015,1.96140870401566
0.5,1,0.780974885684189,1331.26811577658,-664.634057888291,9.54185228607685e-07,0.366315323706703,0.145871856272766,0.566232992721973,3.08709631738666,0.182741161685744,0.183625227245597
0.55,1,1.0814012266772,1273.53293579422,-635.766467897109,7.289301606761e-09,0.609664944884871,0.458943935769511,0.730518987285556,11.594336777889,0.477784025182706,4.0389483272475
0.6,1,0.831859157979467,1204.87008693896,-601.435043469481,1.12125528994866e-06,0.587326615529481,0.385429410745553,0.734082242840702,9.43226835067785,0.362126886601016,3.16944500073304
0.65,1,0.566400582642168,1234.6388826061,-616.319441303051,0.00364542512282173,0.720822919951694,0.571000108557989,0.821261612013335,11.300677341789,0.370969608653908,2.88550290946933
0.7,1,0.783308667719169,1215.44107623782,-606.720538118911,2.57163336088162e-05,0.683003095865004,0.524883776580623,0.795983044109367,12.6707863257903,0.71568465319382,5.41673186484599
0.75,1,1.0931683195647,1198.87492625029,-598.437463125144,1.95387599433161e-08,0.747641604573936,0.603553942131076,0.845912109624141,13.6002909565613,0.463504894657444,4.08764296484917
0.8,1,0.905099930375818,1192.28715089474,-595.143575447372,2.63514255545161e-05,0.872471520884857,0.77603581988967,0.93059809305837,12.4699969841883,0.511430257748124,4.30667133714446
0.85,1,1.39049981790501,1166.8800142354,-582.440007117701,3.88777898763237e-12,0.806635632187486,0.686025689614844,0.885644280660898,10.3770371295936,0.446087317539369,3.83956922616446
0.9,1,1.61386489398635,1088.19424587552,-543.097122937758,8.88178419700125e-16,0.880699694712024,0.79105350911247,0.936993623339294,13.5069065997376,0.796782513786584,5.78083869993802
0.95,1,1.16573886405768,1056.59011841131,-527.295059205655,4.53583037796079e-09,0.91423127626118,0.835154564841426,0.957335385795828,9.20143322222635,0.387969686241459,3.19951503963165
1,1,1.04424325677986,981.881664307471,-489.940832153735,5.00679218751188e-07,0.998174332071826,0.985522026308708,NA,17.1812480304639,1.38595439047939,8.05612113499267
0,1,0.938936067515126,1438.6985716262,-718.349285813099,0,1e-06,NA,0.0910610403429373,1.26159253648023e-05,0.169314627940166,-0.165718195860629
0.05,1,0.933452283449888,1448.5068051348,-723.253402567402,0,1e-06,NA,0.309499307143932,5.54034711772072e-06,0.178408880918299,0.121504302267259
0.1,1,0.916493582475306,1508.66912607694,-753.334563038469,9.33852106754784e-10,0.170893652362143,0.0538351610703277,0.374470125534561,4.01065994267977,0.180062079908754,0.129688173905921
0.15,1,0.950673934293137,1408.95688282031,-703.478441410156,4.11473077832625e-11,0.206328217985149,0.0725304024966972,0.415647062388658,5.40623587687091,0.13352330149465,-1.03017701287121
0.2,1,1.20360892379573,1425.82993188553,-711.914965942763,0,0.107780611318171,0.00387424891392943,0.301883814846745,1.32467616231749,0.140081593987008,-1.02769612684626
0.25,1,0.952220728409011,1406.8819260081,-702.44096300405,0,1e-06,NA,0.405753631552188,7.49408418917738e-06,0.205050069917806,0.705484952429773
