"treesize","lambda_input","rand.tree","K","mu","sd"
128,0,1,-0.000823835049086918,8.32156615239311e-06,0.00194057556875657
128,0,1,0.00196506455568333,-1.98491369260942e-05,0.00280596178394899
128,0,1,-0.00296412698157733,2.99406765815892e-05,0.00264653203287238
128,0,1,-0.000999938658621059,1.01003904911218e-05,0.00230410098804249
128,0,1,-0.000923328310129388,9.32654858716554e-06,0.00221552338624279
128,0,1,0.00058526850756199,-5.91180310668676e-06,0.00328245591961732
128,0,1,0.00398888505200638,-4.02917682020847e-05,0.00215758401391726
128,0,1,0.00315859653712229,-3.19050155264878e-05,0.00244190087930957
128,0,1,-0.000499504685005124,5.0455018687386e-06,0.00298067680406098
128,0,1,-0.00214451244702102,2.16617418891012e-05,0.00290440523457203
128,0,2,-0.00118694122495798,1.19893053026059e-05,0.00200116625609548
128,0,2,0.00227020958405488,-2.29314099399482e-05,0.00174558706402076
128,0,2,-0.000257949678224671,2.60555230529971e-06,0.00194426593287589
128,0,2,0.000883595572199844,-8.92520779999842e-06,0.00193843869114871
128,0,2,0.00183251202513569,-1.85102224761181e-05,0.00170288752802678
128,0,2,0.00294071366476681,-2.9704178431988e-05,0.00178497934480486
128,0,2,-0.000803303662517794,8.11417840927065e-06,0.00263547856369781
128,0,2,0.000864312332931154,-8.73042760536518e-06,0.00171927877567331
128,0,2,0.00234246444204423,-2.36612569903458e-05,0.00173098154072514
128,0,2,-0.000419946873071646,4.24188760678428e-06,0.00237222387917758
128,0,3,0.00117748910274247,-1.1893829320631e-05,0.00230562693195279
128,0,3,0.00260974692978656,-2.63610800988541e-05,0.0029270059235453
128,0,3,-0.00221276022245866,2.23511133581684e-05,0.00249244144443714
128,0,3,-0.00249718267867039,2.52240674613171e-05,0.00257426455622089
128,0,3,0.00127657691864223,-1.28947163499215e-05,0.00242421799256513
128,0,3,-0.00222799810691949,2.25050313830251e-05,0.00241245097522304
128,0,3,0.00110637182661357,-1.11754729960967e-05,0.00247747193306153
128,0,3,-0.00160909224629315,1.62534570332642e-05,0.00256998777106821
128,0,3,-0.00383785443267295,3.87662063906359e-05,0.00299635194814072
128,0,3,0.0130453576277092,-0.00013177128916878,0.00300608831270079
128,0,4,0.00133549162730175,-1.34898144171894e-05,0.0026637636549635
128,0,4,0.00134697895678894,-1.36058480483731e-05,0.00264615099671593
128,0,4,-0.00142697119384111,1.44138504428395e-05,0.00279664179201344
128,0,4,-0.003587610438965,3.62384892824748e-05,0.00250894534972147
128,0,4,0.0019448979727621,-1.9645434068304e-05,0.00232142144079623
128,0,4,-0.00202788863742215,2.04837236103247e-05,0.00211712805744767
128,0,4,0.00252552090558546,-2.55103121776309e-05,0.00194836391936387
128,0,4,0.00673595709970245,-6.80399707040652e-05,0.00236527201508245
128,0,4,0.00269664693450657,-2.72388579243088e-05,0.00297464119668095
128,0,4,-0.00198016990343764,2.00017161963399e-05,0.00281947631448914
128,0,5,-0.00259388040125559,2.62008121338949e-05,0.00247707646056679
128,0,5,0.000756345739968456,-7.63985595927736e-06,0.00204472802952166
128,0,5,-6.02714363135824e-05,6.08802387005911e-07,0.00247782447604332
128,0,5,-0.000935202807120748,9.4464930012197e-06,0.00203296838243658
128,0,5,0.00913643910664438,-9.22872637034786e-05,0.00242422730452766
128,0,5,-0.000140871785964063,1.42294733297037e-06,0.00217177147411504
128,0,5,0.00731867738908626,-7.39260342331945e-05,0.0022488598426985
128,0,5,0.00192908047115166,-1.94856613247643e-05,0.00225154323197686
128,0,5,-0.00235916884849639,2.38299883686505e-05,0.00202053124392777
128,0,5,0.000676000492828939,-6.82828780635288e-06,0.00214829579637313
128,0,6,-0.00264066795861525,2.66734137233864e-05,0.00253915084565805
128,0,6,-0.000496252810114066,5.0126546476168e-06,0.00289035458000723
128,0,6,-0.000903207480402924,9.1233078828578e-06,0.00222204120476052
128,0,6,-0.00255295858204632,2.57874604247103e-05,0.00247253068619363
128,0,6,0.00238275710219911,-2.40682535575668e-05,0.00253954996350327
128,0,6,0.00272630857921042,-2.75384704970749e-05,0.00275786830457223
128,0,6,-0.000637959521474136,6.44403557044586e-06,0.00290798298023027
128,0,6,-0.00160484003503195,1.62105054043632e-05,0.00209847522387853
128,0,6,-0.00337649557627435,3.41060159219631e-05,0.0030328818726987
128,0,6,-0.000761762234414846,7.69456802439238e-06,0.00248803289641495
128,0,7,-0.00128385619889589,1.29682444332918e-05,0.00254904475742793
128,0,7,-0.000740130426538649,7.47606491453174e-06,0.00239764888520755
128,0,7,0.0057624627483864,-5.82066944281454e-05,0.00289472738599412
128,0,7,-0.00147026518773127,1.48511635124371e-05,0.00225464440300385
128,0,7,0.000298177332678359,-3.01189224927635e-06,0.0025668657531365
128,0,7,-0.000697359293822382,7.04403327093312e-06,0.00279487464079041
128,0,7,0.00128043111434269,-1.29336476196232e-05,0.00254970807801733
128,0,7,0.0029315775461421,-2.96118944054758e-05,0.00261595176533181
128,0,7,-0.000727093801117528,7.34438182946998e-06,0.0030525046272513
128,0,7,0.0068362043801249,-6.90525694962111e-05,0.00364292335298204
128,0,8,-0.000453331969349618,4.57911080151129e-06,0.00290620264318798
128,0,8,-0.00144927441721227,1.46391355273967e-05,0.00191083946883218
128,0,8,-0.0015217549847945,1.53712624726716e-05,0.00241528905667701
128,0,8,-0.00242437756801639,2.44886623031958e-05,0.00285648389881534
128,0,8,0.00234521758864269,-2.36890665519465e-05,0.00226777710374541
128,0,8,0.000391463772527889,-3.95417952048372e-06,0.0026250817241789
128,0,8,-0.00312317892984227,3.15472619175987e-05,0.00273536259751971
128,0,8,0.0035006636007271,-3.53602383911828e-05,0.00274685882186705
128,0,8,-0.00228037840535644,2.30341253066307e-05,0.00218939530911828
128,0,8,0.000865069047874799,-8.73807119065454e-06,0.00274886585036406
128,0,9,-0.00303912004816475,3.06981823046945e-05,0.00340469089420282
128,0,9,-0.00413440336560817,4.17616501576583e-05,0.00321901236878918
128,0,9,0.00482854354931484,-4.87731671647964e-05,0.00287598311667791
128,0,9,0.00405420363007626,-4.09515518189521e-05,0.00311765164861725
128,0,9,0.00130697971964774,-1.32018153499772e-05,0.00324164389406531
128,0,9,-0.00317105020775298,3.20308101793231e-05,0.00357668340853856
128,0,9,-0.00147574247807592,1.49064896775346e-05,0.00297310457352493
128,0,9,0.00515643004715499,-5.20851519914646e-05,0.00236144757786819
128,0,9,0.00296332121926152,-2.99325375682982e-05,0.00337210224065744
128,0,9,0.00701736923724773,-7.08825175479568e-05,0.00324401095582361
128,0,10,-3.27334792545129e-05,3.30641204591039e-07,0.00277942340963814
128,0,10,-0.0029119831925253,2.94139716416697e-05,0.00288599609208822
128,0,10,-0.00124733987951981,1.25993927224224e-05,0.00243729068319785
128,0,10,0.00185532780389827,-1.87406848878613e-05,0.0022240112329117
128,0,10,-0.000846104746878364,8.54651259473101e-06,0.00258536617860943
128,0,10,-0.000678615866432285,6.85470572153824e-06,0.0023258222390374
128,0,10,0.00432095759498146,-4.3646036312944e-05,0.00237268702923332
128,0,10,-0.000585475815148616,5.91389712271329e-06,0.00259241591753174
128,0,10,-0.00299191982386365,3.02214123622591e-05,0.00262915169388525
128,0,10,0.00534696753423258,-5.40097730730563e-05,0.00215702093565676
128,0.05,1,-0.000945768272567535,9.55321487441999e-06,0.008581563331054
128,0.05,1,0.00105733335989043,-1.06801349483887e-05,0.00888109709299335
128,0.05,1,0.00109386673413005,-1.10491589306067e-05,0.00805334545219381
128,0.05,1,-0.00957954314867794,9.6763062107858e-05,0.00890589791799991
128,0.05,1,-0.00194019746347803,1.95979541765455e-05,0.0108230291520111
128,0.05,1,-0.0020137167219108,2.03405729485936e-05,0.00969550238164783
128,0.05,1,0.00228192641297449,-2.30497617472175e-05,0.0106507898729922
128,0.05,1,-0.00209555362941148,2.11672083778941e-05,0.00838951106469629
128,0.05,1,0.00330942867002424,-3.34285724244881e-05,0.00980522289883809
128,0.05,1,0.0383161616757031,-0.000387031936118213,0.00938545170522939
128,0.05,2,-0.00888916876443961,8.97895834791885e-05,0.00914274253935104
128,0.05,2,0.00254789378907175,-2.57363008997147e-05,0.00809144425759893
128,0.05,2,-0.00641958424411951,6.4844285294136e-05,0.00962040440816601
128,0.05,2,0.0279067712629864,-0.000281886578414004,0.0114248156174552
128,0.05,2,0.0163483505040168,-0.000165134853575927,0.00903025781333894
128,0.05,2,-0.0065931544377828,6.65975195735636e-05,0.00828869081800611
128,0.05,2,0.000618598364911431,-6.24846833243896e-06,0.0102217309192304
128,0.05,2,0.00802328363337566,-8.10432690239969e-05,0.00891955536566857
128,0.05,2,0.0250584447482121,-0.000253115603517295,0.0082232641978094
128,0.05,2,0.00563571232784047,-5.69263871499034e-05,0.0108977071923083
128,0.05,3,0.0182978353998662,-0.000184826620200668,0.0101203524288904
128,0.05,3,0.00502435760801981,-5.07510869496954e-05,0.00890202429350251
128,0.05,3,0.0335442716633474,-0.000338831026902499,0.00887070142601724
128,0.05,3,0.0124814813116127,-0.00012607556880417,0.00961507854644299
128,0.05,3,0.00154558924546242,-1.56120125804278e-05,0.00896498248013358
128,0.05,3,0.0208737509529686,-0.000210845969221905,0.00998167166062576
128,0.05,3,0.0312305289141826,-0.000315459888022047,0.00897986483584404
128,0.05,3,-0.000400948784519798,4.04998772242182e-06,0.00886810198184497
128,0.05,3,0.0349316168754402,-0.000352844614903437,0.00725746065781915
128,0.05,3,0.0103386640509676,-0.000104430950009775,0.00987358655846649
128,0.05,4,0.00160334331170161,-1.61953869868843e-05,0.0102838077191703
128,0.05,4,0.0270415351603023,-0.000273146819801033,0.00930478935498161
128,0.05,4,-0.00225566089952613,2.27844535305664e-05,0.0111831963122802
128,0.05,4,0.00876139317924491,-8.84989210024744e-05,0.00875402875617615
128,0.05,4,-0.00279066638271418,2.81885493203456e-05,0.0098083912632966
128,0.05,4,0.0209912643424984,-0.00021203297315655,0.0108385768287234
128,0.05,4,0.0277201163422634,-0.000280001175174378,0.00965577676116208
128,0.05,4,-0.00736665697880679,7.44106765536039e-05,0.011172223057813
128,0.05,4,-0.010929719862596,0.000110401210733293,0.0109402552923115
128,0.05,4,-0.00346054939923341,3.49550444367006e-05,0.00989438656817265
128,0.05,5,-0.00494650172699377,4.99646639090284e-05,0.0101826380685187
128,0.05,5,0.0408705313915031,-0.000412833650419224,0.00892628972164591
128,0.05,5,0.00192330004315971,-1.94272731632294e-05,0.00836377866687855
128,0.05,5,0.0191694163156616,-0.000193630467834966,0.00973775774136975
128,0.05,5,-0.00445917491766962,4.50421708855525e-05,0.00936201417085549
128,0.05,5,0.0198599219888844,-0.000200605272614993,0.0100712508323604
128,0.05,5,0.00729053617335503,-7.36417795288385e-05,0.00836537566259615
128,0.05,5,0.038003346174742,-0.000383872183583252,0.00995516893022897
128,0.05,5,-0.00599460262102499,6.05515416265149e-05,0.00814574820318728
128,0.05,5,-0.0110755056507686,0.000111873794452209,0.00833291750383731
128,0.05,6,0.00593523713851812,-5.9951890288062e-05,0.00875927692363065
128,0.05,6,0.00266831622031654,-2.69526890941063e-05,0.00984109488482536
128,0.05,6,0.021886228393824,-0.00022107301407903,0.0105249997097111
128,0.05,6,0.000275039285569136,-2.77817460170879e-06,0.00947441599998008
128,0.05,6,-0.00942562979780965,9.52083817960566e-05,0.00905062517458037
128,0.05,6,-0.0130934371146157,0.000132256940551674,0.00889392291243008
128,0.05,6,0.000151734058405562,-1.5326672566211e-06,0.0083205414527945
128,0.05,6,-0.00768529179296603,7.76292100299597e-05,0.00936551274967219
128,0.05,6,0.00752380460072316,-7.59980262699313e-05,0.00969304527262636
128,0.05,6,0.0178657052535489,-0.000180461669227767,0.00813935907706402
128,0.05,7,-0.00994420926425433,0.000100446558224792,0.0102932835343532
128,0.05,7,0.0238085723109826,-0.000240490629403866,0.00972355131059391
128,0.05,7,0.0061978573802466,-6.26046200024909e-05,0.0084965026078763
128,0.05,7,-0.00761464525256131,7.69156086117296e-05,0.010296450990972
128,0.05,7,0.00116170706679967,-1.1734414816159e-05,0.00845567426514331
128,0.05,7,0.0176249550837599,-0.000178029849330908,0.00956108145694626
128,0.05,7,0.0244043688564976,-0.000246508776328259,0.00964432815718669
128,0.05,7,0.0164646645772348,-0.000166309743204392,0.00883250966148612
128,0.05,7,0.0125006086374682,-0.00012626877411584,0.0104473956256922
128,0.05,7,-0.0213748829863654,0.000215907908953186,0.00880435459474793
128,0.05,8,0.0131520643973866,-0.000132849135327137,0.009598808409502
128,0.05,8,0.00673684539359169,-6.80489433696135e-05,0.0108639885589835
128,0.05,8,0.0137159286132886,-0.000138544733467561,0.0131954021491294
128,0.05,8,-0.00896654564739026,9.05711681554568e-05,0.00929101972761878
128,0.05,8,0.0212460649199366,-0.000214606716362995,0.00978301175858681
128,0.05,8,0.0144221547566377,-0.000145678330875129,0.0104719312477991
128,0.05,8,0.0248566968253859,-0.000251077745710968,0.0103538547875508
128,0.05,8,0.0445599374518063,-0.000450100378301074,0.00913819576265976
128,0.05,8,0.00197475373146157,-1.99470073885007e-05,0.00952690729243386
128,0.05,8,0.00841082813868763,-8.49578599867443e-05,0.00921991637084008
128,0.05,9,0.0121562486225788,-0.000122790390127058,0.010426150940377
128,0.05,9,-0.010735561589186,0.000108440016052384,0.0109896020656998
128,0.05,9,0.0118597306049493,-0.000119795258635851,0.00913920896935123
128,0.05,9,0.00767379991305522,-7.75131304349005e-05,0.0106606320476943
128,0.05,9,-0.00558549033047617,5.64190942472344e-05,0.00823203424606499
128,0.05,9,0.0346965988134327,-0.000350470695085179,0.0087582355405257
128,0.05,9,0.0041388104519356,-4.18061661811682e-05,0.00877240337154979
128,0.05,9,0.0021014659626507,-2.12269289156627e-05,0.0103101841697237
128,0.05,9,0.0359695864884309,-0.000363329156448797,0.0100232544955898
128,0.05,9,-0.00188551889645763,1.90456454187644e-05,0.0100957027977627
128,0.05,10,-0.0111181111016457,0.000112304152541876,0.00718513518457755
128,0.05,10,0.0185181283294879,-0.000187051801307959,0.0107885758739483
128,0.05,10,0.0203715535475834,-0.000205773268157409,0.00880904212364988
128,0.05,10,0.00135424387438581,-1.3679231054402e-05,0.00813420267863938
128,0.05,10,-0.00436203649006222,4.4060974647093e-05,0.0102540785060619
128,0.05,10,0.0179016777746592,-0.00018082502802686,0.0081631934892847
128,0.05,10,0.0231402650486828,-0.000233740050996796,0.0108526502841631
128,0.05,10,-0.00750698262368966,7.58281073099973e-05,0.00814892411665064
128,0.05,10,0.0282206017572967,-0.000285056583407037,0.00924077298176234
128,0.05,10,0.00174172336808746,-1.75931653342159e-05,0.0087306901165518
128,0.1,1,0.0134792097536997,-0.000136153633875754,0.0177292087593431
128,0.1,1,0.0250705017399539,-0.000253237391312666,0.0150375329626991
128,0.1,1,-0.00763996066896096,7.71713198884945e-05,0.0163724877057232
128,0.1,1,0.0424229751405037,-0.00042851490040913,0.0166159270142194
128,0.1,1,0.0249560866494645,-0.000252081683327924,0.01541238288307
128,0.1,1,0.0388638640934816,-0.000392564283772541,0.0168370804122836
128,0.1,1,-0.0159105228339131,0.000160712351857709,0.0170312198303484
128,0.1,1,0.0278495117305644,-0.00028130819929863,0.0142852284570633
128,0.1,1,0.067697192956662,-0.000683810029865273,0.0142985849429696
128,0.1,1,0.013939339169519,-0.000140801405752716,0.0174097438897994
128,0.1,2,0.00950957601507867,-9.60563233846323e-05,0.0171693275497653
128,0.1,2,0.0212909076763174,-0.000215059673498156,0.0168576019708507
128,0.1,2,0.0226730959054059,-0.000229021170761675,0.0175785606497049
128,0.1,2,0.085565009023859,-0.00086429302044302,0.0148611978687214
128,0.1,2,0.00139055239985087,-1.40459838368778e-05,0.0159467367237384
128,0.1,2,0.0168094151666724,-0.000169792072390632,0.0161270227242751
128,0.1,2,0.019785308799221,-0.000199851604032534,0.016768530855892
128,0.1,2,0.0412563138116071,-0.000416730442541486,0.0139226751927128
128,0.1,2,0.0193779561914546,-0.000195736931226815,0.0162368747984471
128,0.1,2,0.011106498938461,-0.000112186857964254,0.0164571315414071
128,0.1,3,0.00695212185492288,-7.02234530800302e-05,0.0141020765609943
128,0.1,3,-0.011701533321655,0.000118197306279341,0.0167742431197982
128,0.1,3,-0.00156563579276541,1.58145029572278e-05,0.016707920584631
128,0.1,3,0.107639258187179,-0.00108726523421393,0.0154294052327026
128,0.1,3,-0.0133545777618611,0.000134894724867284,0.0142718379966651
128,0.1,3,0.00699801671203311,-7.06870374952829e-05,0.0138116294380365
128,0.1,3,0.0181584891396563,-0.000183419082218752,0.014140230023441
128,0.1,3,0.0129820439271738,-0.000131131756840141,0.0133541601732144
128,0.1,3,0.0754035762217875,-0.000761652285068561,0.0146871677580901
128,0.1,3,0.0161680328950729,-0.000163313463586595,0.0174842528831138
128,0.1,4,0.0321253864054311,-0.000324498852580112,0.013761243220901
128,0.1,4,0.0251653579451097,-0.000254195534799088,0.0165062221732763
128,0.1,4,0.0618971953558438,-0.000625224195513576,0.0147560315993042
128,0.1,4,0.0437955742174159,-0.000442379537549654,0.0169773299785723
128,0.1,4,0.00971759111996555,-9.81574860602581e-05,0.0154225218963142
128,0.1,4,0.0498938082149,-0.000503977860756564,0.0164499009738227
128,0.1,4,-0.0128210926593073,0.00012950598645765,0.0156219269656705
128,0.1,4,0.0468617430188713,-0.000473350939584559,0.0142145634988587
128,0.1,4,0.0498733300609015,-0.000503771010716174,0.0148783627994352
128,0.1,4,-0.0067062024120932,6.77394183039711e-05,0.0176711518997559
128,0.1,5,0.0158161058837115,-0.000159758645290014,0.0157229905869335
128,0.1,5,0.0571301674550128,-0.000577072398535482,0.0166870660335382
128,0.1,5,0.0220220145739321,-0.000222444591655881,0.0159622069444193
128,0.1,5,0.000848271640630841,-8.56840041041191e-06,0.0152785306955029
128,0.1,5,0.0103904362667453,-0.000104953901684296,0.0152666672106282
128,0.1,5,0.00928984396112915,-9.38368076881722e-05,0.0155505601050007
128,0.1,5,0.00778182387427278,-7.86042815583097e-05,0.0162067381960027
128,0.1,5,0.0600380360349901,-0.000606444808434245,0.0169023382409395
128,0.1,5,-0.00913217960867701,9.22442384714836e-05,0.0176396779388463
128,0.1,5,0.014659193946287,-0.000148072666124111,0.0161836352126581
128,0.1,6,0.0651534287812867,-0.000658115442235221,0.0163101411885322
128,0.1,6,0.0197992782006862,-0.000199992709097839,0.013143587008219
128,0.1,6,0.0477141409942706,-0.000481961020144147,0.0126698595429129
128,0.1,6,-0.00102792207960139,1.03830513091052e-05,0.0140749105978414
128,0.1,6,0.0164896968751669,-0.000166562594698657,0.0148045615397958
128,0.1,6,0.0360888182628873,-0.000364533517806944,0.0134084714125032
128,0.1,6,0.0485447062295214,-0.000490350567974965,0.0155106596743359
128,0.1,6,0.000239106008267789,-2.41521220472577e-06,0.0139557543040423
128,0.1,6,0.0247886424109616,-0.00025039032738345,0.0136412010989602
128,0.1,6,0.0193213650886097,-0.00019516530392535,0.0151161648784504
128,0.1,7,0.0128474029633653,-0.000129771747104699,0.0146151001116568
128,0.1,7,0.0290987261387375,-0.000293926526653914,0.0183364109480715
128,0.1,7,0.0137501583441032,-0.000138890488324274,0.0145450188026484
128,0.1,7,0.0155733295994003,-0.0001573063595899,0.0153037256965023
128,0.1,7,0.0162229358860804,-0.000163868039253338,0.0184617251433748
128,0.1,7,0.0108620973987171,-0.000109718155542598,0.0183138399323929
128,0.1,7,0.0453174496973234,-0.000457752017144681,0.0181332685861762
128,0.1,7,0.0142164431639192,-0.000143600435999182,0.0151545599505147
128,0.1,7,0.00887735925423602,-8.96702954973356e-05,0.0163549316618041
128,0.1,7,0.0158732336711166,-0.000160335693647644,0.0166900071080408
128,0.1,8,-0.00850854095508142,8.59448581321362e-05,0.0148971209149939
128,0.1,8,0.0293733221209739,-0.000296700223444182,0.0168848482776449
128,0.1,8,0.0290154097124072,-0.000293084946589973,0.0131197991532442
128,0.1,8,0.0325681037925489,-0.000328970745379281,0.0175393739767055
128,0.1,8,0.0898460640928514,-0.000907536000937894,0.0169411439781519
128,0.1,8,-0.012865731677291,0.000129956885629202,0.017359333936986
128,0.1,8,0.0746316462353486,-0.00075385501247827,0.0197390309101212
128,0.1,8,0.0896884703729764,-0.000905944145181578,0.0171063838423696
128,0.1,8,0.026891149443135,-0.000271627772152879,0.0184158905679771
128,0.1,8,0.00777772094437288,-7.85628378219472e-05,0.0180127956104132
128,0.1,9,0.0235396203011684,-0.000237773942436046,0.0162368756225164
128,0.1,9,0.0163692484207328,-0.000165345943643764,0.0145368739807518
128,0.1,9,0.0221210234249577,-0.000223444681060182,0.0151862818591533
128,0.1,9,0.0288553780456404,-0.000291468465107478,0.013869116387413
128,0.1,9,0.00239723963013282,-2.42145417185126e-05,0.0173360953214656
128,0.1,9,0.0268624658817594,-0.000271338039209687,0.0149000091190832
128,0.1,9,-0.00491167816749265,4.96129107827558e-05,0.014463124989994
128,0.1,9,0.0287905097167483,-0.000290813229462107,0.0164788280535286
128,0.1,9,0.0460527129176279,-0.000465178918359878,0.0153342304362907
128,0.1,9,0.00832443653626903,-8.40852175380693e-05,0.0163238517043029
128,0.1,10,0.0121776654085415,-0.000123006721298399,0.0148198787803261
128,0.1,10,-0.0219799095000256,0.000222019287879045,0.0119468915656345
128,0.1,10,0.0142624807391529,-0.000144065462011644,0.0157088365368292
128,0.1,10,0.0104986734557798,-0.000106047206624039,0.0157142702871751
128,0.1,10,0.0229609987049644,-0.000231929279848125,0.0159621923955124
128,0.1,10,0.0132002090479003,-0.000133335444928287,0.014761999851346
128,0.1,10,0.0149076648701542,-0.0001505824734359,0.0149427334810157
128,0.1,10,0.0209439449842518,-0.000211554999840928,0.0171097841921092
