"lambda.in","beta.in","coef..Intercept.","coef.x","aic","log.lik","Pval..Intercept.","Pval.x","lambda.opt.lambda","lambda.ci.val1","lambda.ci.val2","lambda.z","phy.signal","kappa.z"
0,0,1.09093945554783,-0.00956710501565849,2814.78887884281,-1405.39443942141,0,0.74481330353449,1e-06,NA,0.0338580415795458,1.43368686469773e-05,0.00831034118571438,-0.424167972461631
0,0.25,0.964453258088731,0.27535838000424,3001.19999029713,-1498.59999514857,0,0,1e-06,NA,0.0153040352102588,1.9706705398342e-05,0.0117572538745888,0.0464335436583101
0,0.5,1.13181761773668,0.457939448236351,2901.16579656389,-1448.58289828194,0,0,1e-06,NA,0.0173448507899869,1.85415478660808e-05,0.00707489399249885,-0.595180612136226
0,0.75,0.999377949320844,0.754547897348661,2959.90239787987,-1477.95119893994,0,0,0.0199914139162458,0.00309713516502962,0.0650659929396879,0.784163886252637,0.00597973717598324,-0.907464267399417
0,1,1.02368776477235,0.974629904735672,2839.37809197344,-1417.68904598672,0,0,1e-06,NA,0.0141863581562797,1.98446770159577e-05,0.00859734307328413,-0.332793312303492
0.05,0,0.966286374935832,0.0287359504670841,2891.13397245424,-1443.56698622712,0,0.357030121756021,0.0192486034699893,NA,0.0662666761025182,0.5007122259888,0.0258817988044442,-0.941090035713205
0.05,0.25,0.85755605682463,0.278923999553962,2895.74760613887,-1445.87380306943,3.19744231092045e-14,0,0.0975502946985425,0.0365630257046729,0.19053745816004,2.9499731605579,0.0309725087041167,0.0450775932885309
0.05,0.5,0.862832285422276,0.529245384469324,2790.16322246761,-1393.08161123381,0,0,0.00617357952874964,NA,0.0388397321111793,0.119991046922375,0.0466852103658079,2.19303282251846
0.05,0.75,1.14356943308973,0.680971639006854,2929.3135189547,-1462.65675947735,0,0,0.108609566673055,0.0476087232149978,0.207293155205954,5.22440456944689,0.0309112239784569,0.0108602179302703
0.05,1,1.04103135101228,0.98479308457859,2832.72008304441,-1414.3600415222,0,0,0.0471777240578163,0.00868814797096175,0.126423457700254,1.2245800950825,0.0327728650061751,0.344768276808678
0.1,0,0.988381204907561,-0.0269734898341342,2883.21096217801,-1439.60548108901,0,0.395776676846579,0.0387228775570284,NA,0.126629947944585,0.405636800038363,0.028652965124627,1.14668304473328
0.1,0.25,0.877077764030597,0.266698185780078,2867.65836852684,-1431.82918426342,4.30766533554561e-14,0,0.111390737707391,0.0546045042867166,0.200934560529006,5.65241246373972,0.0262391907256749,1.0679960448006
0.1,0.5,0.856259033686448,0.523389061084638,2775.01545242734,-1385.50772621367,2.8199664825479e-14,0,0.119249852708072,0.0596480772515587,0.208529928665045,4.95603258129156,0.016365291572665,0.559458284365914
0.1,0.75,1.06726419049576,0.760697361935552,2844.40831780891,-1420.20415890446,0,0,0.0803496117022777,0.0274930423015973,0.165922107708915,2.30509293573645,0.00141953779455683,-1.75494352793815
0.1,1,0.861368680443848,0.958732257574945,2885.10554165857,-1440.55277082928,0,0,0.0682067234464146,0.0190900201430711,0.14915765265218,1.44569529287075,0.0037550901944814,-0.855884100364062
