"lambda.in","beta.in","coef.(Intercept)","aic","log.lik","Pval.","lambda.opt.lambda","lambda.ci.val1","lambda.ci.val2","lambda.z","phy.signal","kappa.z"
0,1,0.894806199372254,720.241542093323,-359.120771046662,0,1e-06,NA,0.139772967328134,1.02824490799178e-05,0.257260030665055,0.976360458395983
0.05,1,0.831858254418237,701.865192145887,-349.932596072943,0,1e-06,NA,0.111758874116867,1.0271386732358e-05,0.240861079713241,0.643864655218829
0.1,1,1.02741674698446,737.498964844744,-367.749482422372,0,1e-06,NA,0.374428241459505,9.40469881215859e-06,0.300315016621964,1.54703659629752
0.15,1,0.781642192417358,686.138136575084,-342.069068287542,0,1e-06,NA,0.30127536931747,8.12724139645544e-06,0.162314100588398,-0.699888412271638
0.2,1,1.02432512670946,672.166902542637,-335.083451271319,4.87236917479095e-11,0.175949857969272,0.0384368728844509,0.451388583380557,2.60953398744242,0.287922441621732,1.41598618584868
0.25,1,1.04274591610948,704.048158452657,-351.024079226329,0,1e-06,NA,0.400673850549981,8.64246795672982e-06,0.269219218515637,1.04731759199033
0.3,1,1.15358142740683,713.793453551894,-355.896726775947,0,1e-06,NA,0.620315042608748,7.47889859264284e-06,0.211438092779145,0.224298828969024
0.35,1,0.79326244061804,687.842374352731,-342.921187176365,0,1e-06,NA,0.656178090833776,8.72755299459606e-06,0.286834102614056,1.2744956394477
0.4,1,1.03380556977035,699.437602173685,-348.718801086843,1.57907386828526e-05,0.564144318754533,0.285321846228181,0.752918152295945,5.63840204027783,0.326563187011019,1.93033057999415
0.45,1,0.655675130517725,688.462559794948,-343.231279897474,0.000994366923498191,0.383140812457512,NA,0.666798964722093,0.721837027898604,0.19738109254356,-0.103289271673949
0.5,1,0.945399215651907,634.433309464059,-316.21665473203,1.3831171452594e-07,0.366946401034808,0.0357915919084208,0.674416865592564,2.34528286299909,0.322463857407628,1.74373998300585
0.55,1,1.01378180153511,633.336292434408,-315.668146217204,1.05474771703307e-05,0.674493066776303,0.423375748014493,0.837741158126151,9.61471946587187,0.405509493266772,2.80678343141431
0.6,1,1.1224750502556,602.677366682466,-300.338683341233,4.00413036061309e-12,0.305675779175864,0.110259393321331,0.553506436950173,4.5679260230029,0.387504895539735,2.30900986797628
0.65,1,1.1056986047398,636.874534526173,-317.437267263086,6.95985318976966e-06,0.746646902920757,0.513700355205319,0.868884247455486,4.16862884393201,0.295658142495784,1.39192751964351
0.7,1,1.10260762898844,596.853328336492,-297.426664168246,4.21669366090782e-10,0.416064671479056,0.0850606638333113,0.664808201887565,2.15207920484374,0.32110688879583,1.82230035249279
0.75,1,0.78028445158318,621.836906838782,-309.918453419391,0.00362547547985814,0.887375718711044,0.705030776562205,0.966764852460345,6.77247656353663,0.839171921252764,5.24644843478184
0.8,1,0.706854426229935,570.618614549155,-284.309307274577,0.000680210155213912,0.71092835462556,0.516803800394881,0.841875931531301,6.53429161669394,0.629584236061991,3.8544256246356
0.85,1,1.05085110143101,565.112997870155,-281.556498935078,5.36343067447653e-06,0.834547287052208,0.624647098967201,0.933607310140338,7.44085976927353,0.443653234190475,2.90914234145204
0.9,1,1.30838331608008,553.989721588887,-275.994860794444,9.65818775400251e-07,0.980216202305371,0.910831071412913,NA,8.57223565556835,0.623423975599307,4.247133533391
0.95,1,0.693964288509376,519.76510231553,-258.882551157765,0.00503679802611456,0.98412698309838,0.932777423599174,NA,11.4421394298312,0.729536728246371,5.1047381680486
1,1,1.35770526300901,497.495560402766,-247.747780201383,4.59701046118255e-08,0.997649239954085,0.95342430622525,NA,8.46818822329691,0.688268916360839,4.12945560590761
0,1,1.09317958013989,705.954835138333,-351.977417569167,0,1e-06,NA,0.129202659547445,1.03760028586335e-05,0.184462051575834,-0.340367472975974
