"","32","64","128","256","512","1024"
"0",0,0,0,0,0,0
"0.05",0.0351020408163265,0,0,0,0.0457142857142857,0.132244897959184
"0.1",0,0.0220408163265306,0.000816326530612245,0.0530612244897959,0.137142857142857,0.204081632653061
"0.15",0,0.0751020408163265,0.0408163265306122,0.146938775510204,0.234285714285714,0.273469387755102
"0.2",0.00571428571428571,0.0587755102040816,0.129795918367347,0.111836734693878,0.359183673469388,0.235918367346939
"0.25",0.0473469387755102,0.148571428571429,0.115102040816327,0.153469387755102,0.178775510204082,0.292244897959184
"0.3",0.0563265306122449,0.0946938775510204,0.248163265306122,0.217142857142857,0.296326530612245,0.326530612244898
"0.35",0.0236734693877551,0.0636734693877551,0.19265306122449,0.221224489795918,0.236734693877551,0.366530612244898
"0.4",0.100408163265306,0.129795918367347,0.16,0.275918367346939,0.226938775510204,0.405714285714286
"0.45",0.0742857142857143,0.151836734693878,0.175510204081633,0.249795918367347,0.28,0.249795918367347
"0.5",0.0873469387755102,0.176326530612245,0.284081632653061,0.249795918367347,0.253061224489796,0.324897959183673
"0.55",0.107755102040816,0.230204081632653,0.165714285714286,0.191020408163265,0.268571428571429,0.338775510204082
"0.6",0.133877551020408,0.191020408163265,0.258775510204082,0.244897959183673,0.204081632653061,0.347755102040816
"0.65",0.119183673469388,0.186938775510204,0.228571428571429,0.204081632653061,0.26530612244898,0.310204081632653
"0.7",0.13469387755102,0.159183673469388,0.218775510204082,0.217142857142857,0.319183673469388,0.354285714285714
"0.75",0.161632653061224,0.18530612244898,0.137142857142857,0.244081632653061,0.257959183673469,0.233469387755102
"0.8",0.104489795918367,0.15265306122449,0.162448979591837,0.211428571428571,0.340408163265306,0.288163265306122
"0.85",0.144489795918367,0.147755102040816,0.123265306122449,0.253877551020408,0.292244897959184,0.328163265306122
"0.9",0.162448979591837,0.270204081632653,0.157551020408163,0.236734693877551,0.216326530612245,0.271836734693878
"0.95",0.217142857142857,0.193469387755102,0.177142857142857,0.22530612244898,0.261224489795918,0.302040816326531
"1",0.10530612244898,0.128979591836735,0.0955102040816326,0.288163265306122,0.177959183673469,0.261224489795918
