"lambda.in","beta.in","coef.(Intercept)","aic","log.lik","Pval.","lambda.opt.lambda","lambda.ci.val1","lambda.ci.val2","lambda.z","phy.signal","kappa.z"
0,1,1.03650804413381,754.216259193578,-376.108129596789,0,0.00380244499632045,NA,0.0989029478332463,0.0146667947364857,0.0276806720644398,0.224317987712708
0.05,1,1.0369405490311,704.167587484204,-351.083793742102,0,1e-06,NA,0.0442387037791416,1.1621530157999e-05,0.0425981456640601,-1.1531373496461
0.1,1,0.826544254649697,678.942048383659,-338.471024191829,0,0.00600708586408871,NA,0.124745435681187,0.0277859745456319,0.0428969228516566,0.62650410601929
0.15,1,0.944726698001689,690.986475783185,-344.493237891592,3.87117005118398e-11,0.138849534630409,0.0155431705475776,0.365028396618294,1.55854794385285,0.0355488460800044,-0.570890905406521
0.2,1,1.16703719282397,702.589573371728,-350.294786685864,3.04773847492612e-07,0.347769443546676,0.167301657780328,0.549289146886383,5.25215101648416,0.059446793592047,1.4770819407993
0.25,1,1.09711513785744,721.807831018649,-359.903915509324,0.00126396584236033,0.475968140393965,0.166654671165803,0.718071869675241,4.60003974664537,0.115097091761004,2.73183361365561
0.3,1,1.03153077001569,717.437955686343,-357.718977843172,1.01898760096475e-07,0.248206123075377,0.0773674288918108,0.472744076331807,2.69281520018902,0.0965547261045218,1.22829638803288
0.35,1,0.811596777174563,693.693147283861,-345.84657364193,0.00064139127388918,0.462923945810977,0.264570359062387,0.645004319936342,5.9052216247596,0.0872444551966787,1.63059476034217
0.4,1,1.01029309366619,634.132953451839,-316.06647672592,0.002745027311013,0.421265149904535,0.194827136170366,0.631598148007362,3.75517945377179,0.0468467451481146,1.90482684172071
0.45,1,1.10467111408848,660.816454559689,-329.408227279845,0.000573818241422774,0.477946595558102,0.287285555083894,0.665749403479033,7.77992987416724,0.0240501024605678,0.313468353760215
0.5,1,0.723637529988445,635.645388666522,-316.822694333261,0.0153499097582688,0.583193569794725,0.419589858007765,0.720757826690066,7.77521431976279,0.0971485548718652,2.90930329628697
0.55,1,0.976501007628482,624.253091947208,-311.126545973604,0.00118939819040254,0.49515999523059,0.299343155956151,0.673323230011873,6.40881575455385,0.0714098795981156,1.46714107973192
0.6,1,1.31988378998483,602.395384429816,-300.197692214908,0.00190234451852023,0.705850790176028,0.540925382947156,0.822960028857445,12.5644605798047,0.13066498757058,4.66111782222642
0.65,1,0.854659490094979,635.586499327362,-316.793249663681,0.0323405607643246,0.768095891946302,0.646051866824867,0.854949831492449,10.9882057341023,0.145332939211044,3.50036370082399
0.7,1,0.238953409288086,544.154845269965,-271.077422634982,0.435021823399126,0.731642781564712,0.567703038855061,0.849851904568465,9.31459329871012,0.206778785361388,5.27378574554819
0.75,1,1.0655137038112,528.291156487666,-263.145578243833,0.0074827840111964,0.752448850631673,0.60801300867639,0.855374012581604,9.55278676750059,0.155087453213934,4.83561750966774
0.8,1,0.683290147375336,499.362208591336,-248.681104295668,0.0327975151100046,0.776214185535118,0.65940650823705,0.860524384859287,15.2664498970523,0.206642453549367,6.31580785059386
0.85,1,1.60657310677655,532.265027665652,-265.132513832826,0.000273468019608369,0.876088894550622,0.781966210517326,0.934828180029723,11.3478237679963,0.239020760247525,5.08839568588312
0.9,1,0.750415180763836,401.120650104059,-199.560325052029,0.0548216787997213,0.942763125464859,0.89644518477134,0.969657417097507,18.2982628382109,0.13272243478072,3.45802717817611
0.95,1,0.699884471122413,388.103144336256,-193.051572168128,0.0245704590321481,0.937075284378348,0.866727780038661,0.972806455031691,14.9992244467004,0.377723872364668,6.05441274739099
1,1,1.08021638326308,237.819113542243,-117.909556771121,0.0021238012571545,1,0.99409714706414,NA,16.4088409364341,0.600308848119028,8.38173589170916
0,1,1.10837133126449,730.924066719698,-364.462033359849,0,1e-06,NA,0.0771440140604375,7.5469931561205e-06,0.0436377195768384,0.615326214996024
0.05,1,0.899469036305033,742.46995783845,-370.234978919225,7.64717045242946e-09,0.114721063298035,0.00594930291122141,0.315929056877746,1.24147323450256,0.0899903391353097,2.34175734640041
0.1,1,0.938079155343651,704.294292115384,-351.147146057692,0,0.0198213627905004,NA,0.194573647525737,0.0612355341923017,0.0285614515570091,-0.429744611342679
0.15,1,1.2199478314271,697.174265616295,-347.587132808147,0,1e-06,NA,0.0520919698484752,1.03540662529986e-05,0.0307989548962308,-0.267896933736081
0.2,1,1.14269509250248,698.854127604214,-348.427063802107,1.60316204755873e-13,0.128811067280451,0.0358361518718582,0.288783611766045,2.18472641419371,0.0514959650074167,0.915713226484823
0.25,1,1.14576035402505,685.536351682443,-341.768175841221,7.39408534400354e-14,0.194576649531586,0.0569418730857892,0.403770253653811,2.82974980350052,0.0674912294153038,1.75117023392781
0.3,1,1.24948447808234,701.200975980746,-349.600487990373,2.75734990395904e-11,0.327325079580365,0.12645738169299,0.531840840087263,2.88158084993058,0.06797291041619,0.619964113266217
