"lambda.in","beta.in","coef.(Intercept)","aic","log.lik","Pval.","lambda.opt.lambda","lambda.ci.val1","lambda.ci.val2","lambda.z","phy.signal","kappa.z"
0,1,0.748140789770361,105.002714657076,-51.5013573285379,0.00166888488278794,1e-06,NA,0.500401480203771,3.78102100542872e-06,0.248479457200495,-1.11730041040048
0.05,1,1.27380715437367,77.6459707388963,-37.8229853694482,3.83533649284118e-10,1e-06,NA,0.490415148519821,3.84623189089338e-06,0.39250055235535,0.207262632534964
0.1,1,1.07434026605165,87.959302548423,-42.9796512742115,0.00511577849765299,0.525052920958085,NA,0.954975070038494,0.201008085870367,0.483085739447816,0.929471810739374
0.15,1,0.757453964104069,99.8770515335119,-48.9385257667559,0.0749906002422382,0.465322804636806,NA,0.84903949216155,0.785189820785518,0.267845468002227,-0.785339660615039
0.2,1,0.771917618142855,91.6932904695822,-44.8466452347911,0.0538478857327185,0.551362418867233,NA,NA,0.680685598234176,0.550810664662262,1.20599111443423
0.25,1,1.24857819217541,80.2503814673839,-39.1251907336919,1.48354528661798e-09,1e-06,NA,0.368733959725556,3.83327846308077e-06,0.256285458943844,-0.898237900516616
0.3,1,0.929491207003726,91.3512828274112,-44.6756414137056,9.22618175946965e-06,1e-06,NA,0.568021450795922,3.63539473580763e-06,0.351198403484057,-0.0544262142125686
0.35,1,1.12946402717618,94.9945209203932,-46.4972604601966,9.83791140551915e-07,1e-06,NA,0.584020561342482,3.69356474514715e-06,0.276346543750136,-0.649872088057435
0.4,1,0.32882143209623,79.5672344451857,-38.7836172225928,0.0315683927923083,1e-06,NA,0.955999522847329,3.33359991410007e-06,0.487370031307657,0.868034794920405
0.45,1,1.29728952148399,67.1144796415012,-32.5572398207506,5.03552755048986e-12,1e-06,NA,0.932278351071338,1.57699067060029e-06,0.483252486549083,0.850604451714656
0.5,1,0.756934704155734,84.0525518971652,-41.0262759485826,3.46883499984241e-05,1e-06,NA,0.893129591739152,2.64955887447511e-06,0.412772460236078,0.451349250349545
0.55,1,0.795556888060101,79.2278382896043,-38.6139191448022,5.47151089036468e-06,1e-06,NA,0.961858971893753,3.13364015295384e-06,0.513895672016548,0.923286852333182
0.6,1,1.00210723437919,82.8882282279329,-40.4441141139664,0.00652500890084617,0.58455725963084,0.091048699242193,0.919255297023606,2.23567138870964,0.711515499921708,2.12332932218497
0.65,1,0.898783786957769,78.6569923729167,-38.3284961864584,0.0462047245666071,0.964533899431868,NA,NA,0.723251150814231,0.666842496421856,1.52764435999944
0.7,1,1.36072103505626,80.0675871754802,-39.0337935877401,0.000512871164568995,0.678123252059,NA,NA,0.852745756967898,0.592922794914981,1.49128401284682
0.75,1,1.65156275108221,83.9738207241039,-40.9869103620519,0.000240292846418688,0.769088912933297,0.199905455610269,0.968496063274039,2.66740562648298,0.825455939187378,2.60204734743787
