"lambda.in","beta.in","coef.(Intercept)","aic","log.lik","lambda.opt.lambda","lambda.ci.val1","lambda.ci.val2","lambda.z","phy.signal","kappa.z"
0,1,0.964016232164717,1462.19885951164,-730.099429755818,0.0854535295785168,0.00908694290970654,0.233196460508546,1.49380130743982,0.0420270261484364,0.999483860240995
0.05,1,0.808021033937757,1414.1587226372,-706.079361318599,0.0497764107269888,0.00770366991982974,0.162015565457777,1.65130075887555,0.0556682002178703,2.028360591821
0.1,1,1.14324733598736,1425.97697477467,-711.988487387333,0.142314922401461,0.0617262998459182,0.25661134192845,2.98539085196634,0.058586904351483,1.83040921423616
0.15,1,1.05176706227723,1421.62975114483,-709.814875572414,0.168244144439526,0.0638025319918078,0.317248709950726,2.88492662533649,0.0198666704098065,-0.354982068408966
0.2,1,1.21170034202255,1441.87432489203,-719.937162446013,0.103720590535573,0.0203444109742242,0.239633600728216,1.74513159913806,0.0411424668071093,1.8183220026293
0.25,1,0.915522006272777,1416.53001432506,-707.265007162532,0.30334094882627,0.172886645892314,0.453146983386156,6.59879130263784,0.0367926778376019,0.985593720892108
0.3,1,0.518766978258694,1412.68506199675,-705.342530998373,0.269657562119979,0.141477639853638,0.425830192173602,5.41775718271489,0.0420377489455408,1.51395349245818
0.35,1,0.750979377428673,1314.45993574939,-656.229967874696,0.321235721201073,0.15047815328795,0.521618446770363,6.62277633072969,0.0281932617500537,-0.778420798576887
0.4,1,0.930603363105904,1293.42457692324,-645.71228846162,0.369209374124703,0.247100965622362,0.50462182413132,12.7694987840207,0.0539869732694413,1.33076674013226
0.45,1,0.98540797587287,1315.88405628197,-656.942028140986,0.518101753641448,0.381085744537797,0.646727814564398,10.7578845267476,0.0191480635655523,1.98885091418295
0.5,1,0.699583558564161,1301.1255905308,-649.562795265402,0.473234072728258,0.350981089367492,0.595755198533537,13.2707130040051,0.0946904608879356,3.92688951497823
0.55,1,1.09402177399044,1173.40121433117,-585.700607165585,0.601339348547782,0.460049534050076,0.718750462487165,11.6785997324689,0.0725303209655603,2.91372857810197
0.6,1,0.941025726141932,1180.67749066469,-589.338745332343,0.426177535531015,0.276057624290024,0.577136639564287,9.11721678521966,0.0199221661115191,0.434121091317543
0.65,1,1.08316173247107,1201.24742486278,-599.623712431389,0.662840347632736,0.548011123379108,0.757053924784969,12.9326311648243,0.0795210472676413,2.21954529641033
0.7,1,1.19756504123367,1145.04507804446,-571.522539022228,0.69913114406589,0.591066540391075,0.784982819562278,14.4784877652805,0.0791490458163779,4.00636437256827
0.75,1,1.11557571891397,1094.44884011614,-546.224420058069,0.73912246060933,0.646362552475399,0.813596499155561,17.457349882333,0.11850875805307,3.77406348608248
0.8,1,1.21120204184972,940.869165934724,-469.434582967362,0.771217123796965,0.687090126163779,0.837278467048875,21.3015302673322,0.0686354965865607,2.78285219338248
0.85,1,1.13519292100912,977.594237281984,-487.797118640992,0.83771840369292,0.766411091791096,0.890792873934173,18.7176855792469,0.160871639909751,3.8182627863448
0.9,1,1.2160322192362,858.352694643562,-428.176347321781,0.903131126085227,0.859425163249191,0.935122299891868,23.9964102045327,0.0712474920968516,2.4854598173878
0.95,1,0.4009733592066,803.987490633206,-400.993745316603,0.938346095637021,0.901713019269579,0.963008224386779,23.1516715564284,0.449278103073388,8.02907327699703
1,1,0.990802559105755,421.436175013242,-209.718087506621,1,0.99905647755961,NA,29.5506342297066,0.894422006823925,8.76374068452792
0,1,1.0543576680212,1437.66595240233,-717.832976201166,1e-06,NA,0.0478684941549319,1.20631319433913e-05,0.0389226725823903,-0.508013579589228
0.05,1,0.956235087339648,1449.54827197691,-723.774135988454,0.113598029389063,0.0475639496988001,0.235056036961807,4.96802976789786,0.00343771100710275,-1.86725251524419
0.1,1,0.9107822928165,1406.29981424017,-702.149907120086,0.107612896441627,0.0343268017091079,0.225858803678011,2.30604755733025,0.0110030344541348,-0.331506475432918
0.15,1,1.15341510300202,1485.17629765259,-741.588148826295,0.11366822745223,0.036915475927092,0.250165750410444,2.69892222394632,0.0483404822570785,0.628737085774519
0.2,1,1.07998781287169,1430.95453631688,-714.477268158441,0.263678431628933,0.143402376802361,0.413763913379261,7.24128301730511,0.0363188521301022,-0.727861462872337
0.25,1,1.18464327606904,1358.8931214906,-678.446560745302,0.219903239259446,0.11302394342623,0.36517623485415,6.6372214552114,0.0308236414846774,0.607709891719871
0.3,1,1.10075328420853,1356.77745051491,-677.388725257453,0.261004622760794,0.153739715321058,0.398714420313444,8.82750410877519,0.0404440807187431,0.924178856236018
0.35,1,0.665597791040011,1330.75637492668,-664.378187463339,0.334027285646463,0.215076141794758,0.467204133941711,8.27284300421801,0.0578904775650634,2.0143292623047
0.4,1,0.736334985435746,1276.52533301585,-637.262666507927,0.322544004888881,0.181702049187789,0.475984573620179,5.98341616691504,0.0584295187815601,1.30144612357613
0.45,1,1.23889477751556,1299.8642354456,-648.9321177228,0.466051821262024,0.330116650717027,0.598557442855907,11.9595854525159,0.0779975930357586,3.31797021231445
0.5,1,1.19442314013141,1259.18949936531,-628.594749682656,0.515646919342312,0.374331545045023,0.647747720000672,13.4369713240478,0.0302424772730275,2.13759425606673
0.55,1,0.865275866562879,1200.92054227411,-599.460271137057,0.451188251524072,0.303187206537758,0.596431423558075,11.3579448926388,0.000627952017385766,-0.77647809974063
0.6,1,0.854288875473656,1239.50645434035,-618.753227170173,0.527368609472284,0.382269458003444,0.663998781236765,10.7141492958732,0.077955194371324,2.92260485018084
0.65,1,0.627980135681846,1186.88911445328,-592.444557226642,0.527068435365903,0.389585601528476,0.655382030037287,10.574926302055,0.0291638845144653,0.255988977937167
0.7,1,1.17104838999457,1181.28630009942,-589.643150049709,0.737254026050995,0.643304621593591,0.813616081301763,18.8971328528506,0.0396041835407984,1.86967522934008
0.75,1,1.42585152123118,1087.61012481429,-542.805062407147,0.800539033895392,0.716417291286167,0.864001456677321,15.0685004044209,0.152903201475831,3.95807266339774
0.8,1,0.530339517860742,1040.87224862866,-519.436124314331,0.844764867254369,0.778649079513087,0.894473703674463,19.8222950581464,0.234194004348998,8.38372575950939
0.85,1,1.08414443962274,836.428281023675,-417.214140511837,0.894457926758897,0.847653253691804,0.928129927343373,24.9470489934119,0.252158272418093,9.06340354901307
0.9,1,0.72228198005864,898.341583288167,-448.170791644083,0.930241599942819,0.892914050167172,0.956110438134303,21.1687636115537,0.0688032947148108,1.99839976968746
0.95,1,1.27251722415244,704.87440407846,-351.43720203923,0.954118376047975,0.930751023235672,0.970587460051345,28.2002585570343,0.577941573250067,13.2398178646294
1,1,0.916267022909915,491.538470225266,-244.769235112633,1,0.998252172214452,NA,28.637069552993,0.819277179691357,15.0556179126955
0,1,0.947384206268283,1421.06577186738,-709.53288593369,1e-06,NA,0.0238143800486671,1.4995751565472e-05,0.0635568635322243,1.33800791226324
0.05,1,1.0971771292559,1492.61348500305,-745.306742501527,0.0454791160828027,NA,0.137755923906501,0.567707475752186,0.0343289785472041,-0.820160203434733
0.1,1,1.13209158357294,1470.5206775343,-734.260338767148,0.111538812999249,0.0240407255843413,0.264792010216463,1.96727784634442,0.0136530652684033,0.0959662628066776
0.15,1,0.850443798222578,1445.24489506765,-721.622447533826,0.11788581914698,0.0378743777006806,0.240504220614511,2.37249946546559,0.0354841031588557,-0.0742086505301263
0.2,1,0.821498177896161,1359.57070784071,-678.785353920354,0.185299984132583,0.0723357254692679,0.354190109658649,3.79094728760731,0.0358443522778723,1.54070851857658
0.25,1,1.01616215109761,1382.64006584283,-690.320032921414,0.17925192622043,0.0803865266299693,0.321072633633445,4.59891126607825,0.0197480249572831,-0.494584327526273
0.3,1,1.01310375410507,1352.69712072756,-675.348560363779,0.340312240661563,0.229432024650114,0.464079295104876,9.06294136418154,0.0224346051478382,-1.3674983965199
0.35,1,0.631597930615692,1317.28851553898,-657.644257769492,0.281946473563633,0.166881452719379,0.42602627274766,8.80919371437724,0.0606087277990701,2.40290678300518
0.4,1,0.874427080732674,1257.08342834082,-627.541714170408,0.491989849227265,0.322678201126269,0.644947779158613,11.9398326836332,0.0198174212472238,-0.102405137469433
0.45,1,1.07154509528202,1294.31540122352,-646.157700611761,0.264868234756736,0.124244090578035,0.441321854491136,5.58969823947772,0.0335170027172669,0.15059459624962
0.5,1,1.00673663876036,1291.7831176436,-644.891558821798,0.510130716464709,0.362993583053727,0.647575234549777,9.32126557599327,0.105804593997992,3.09633383246012
0.55,1,0.692823813112568,1181.56677366327,-589.783386831634,0.559026284675464,0.422668118314285,0.682935967459591,11.1853548103501,0.0558543220814776,3.73449115729666
0.6,1,1.04647298026342,1240.70786442316,-619.35393221158,0.49247059672116,0.332114641993551,0.646192667256767,11.1830370028253,0.0289727869369551,0.748714457256698
0.65,1,0.916083928883609,1192.03514027165,-595.017570135826,0.503685300786547,0.31823837882456,0.661400540478598,6.84788601058616,0.0353589755817409,0.930521388885955
0.7,1,1.39641132027266,1055.77627805747,-526.888139028734,0.620962859046869,0.501395880406,0.723516587894884,13.3614559110826,0.00885727645837362,0.200390900998655
0.75,1,1.34754132689347,1131.74530056057,-564.872650280284,0.749498602827455,0.650152576549304,0.82661794528062,14.5058321234998,0.115023580531255,2.9596496114372
0.8,1,1.13972907619467,984.534852486284,-491.267426243142,0.732658876658427,0.618461772986472,0.817040795005379,16.9415930446334,0.068241223232216,3.78225996011423
0.85,1,0.97962237665635,969.622516117927,-483.811258058963,0.800142977364725,0.720483889441129,0.860338136793725,15.1584094335904,0.127112689898375,2.60159960962221
0.9,1,1.0114743198872,874.065024414124,-436.032512207062,0.89950689366029,0.850843211830583,0.933775450979979,21.7727887011,0.00622056347449506,-0.307827117450731
