"lambda.in","beta.in","coef.(Intercept)","aic","log.lik","lambda.opt.lambda","lambda.ci.val1","lambda.ci.val2","lambda.z","phy.signal","kappa.z"
0,1,0.672846289890108,202.905202955665,-100.452601477832,1e-06,NA,0.295933741163987,2.3176934832601e-06,0.0866885482740676,1.21043236959587
0.05,1,1.00841607349556,169.962942329641,-83.9814711648204,1e-06,NA,0.243638316109088,4.56121598952031e-06,0.0859361250291871,-0.476548055790433
0.1,1,0.711390493703471,177.015477787183,-87.5077388935917,0.114941090815894,NA,0.451867507682842,0.546212959006525,0.0970861685624659,1.06646832342889
0.15,1,0.931365479037368,159.813791057858,-78.9068955289288,1e-06,NA,0.289942830453549,3.12683035101986e-06,0.0832744094430725,0.177616719110272
0.2,1,1.29099937899673,167.712437325942,-82.8562186629709,0.377254408710535,0.0115847970553049,0.739762856549416,1.81908652629927,0.0266681511520914,-0.957584174477031
0.25,1,0.924305408624647,190.31988200955,-94.159941004775,0.0170168929965762,NA,0.260468691854141,0.0486114508706427,0.0572909067951801,-0.617963483296887
0.3,1,0.893322151288009,175.83283877871,-86.9164193893551,0.504216167701119,0.157718320099156,0.840965154554125,3.58929670586997,0.157729290122663,2.04785900718676
0.35,1,0.431794351012845,156.432469897855,-77.2162349489274,0.392722208099129,0.0640182600964719,0.745118291018927,2.15116297952577,0.149368437729486,1.59789094764876
0.4,1,0.765323379931644,170.004223958067,-84.0021119790334,0.450659783448306,0.194785082493401,0.753255699823422,4.66489075821391,0.306177055220305,3.83483359405702
0.45,1,0.754076379461298,169.293582352426,-83.6467911762128,0.559574967120402,0.306995845488256,0.794117308673811,6.43589067116908,0.298993689083952,2.27495472885645
0.5,1,0.417916218877204,137.512405201401,-67.7562026007006,0.407758071259499,0.0723126423221882,0.768093265494927,2.56927624724319,0.155799421407853,1.79613965309941
0.55,1,1.03560025948329,163.113951974375,-80.5569759871876,0.301333691435709,0.0408953384814902,0.662962540643196,2.14144640767862,0.102091602335524,1.11978086403444
0.6,1,1.22916765103419,155.578360646055,-76.7891803230274,0.631505299292189,0.171858410562167,0.858856279359975,2.02274795720871,0.0678627339950267,1.2217355242623
