"lambda.in","beta.in","coef.(Intercept)","coef.x","aic","log.lik","Pval.(Intercept)","Pval.x","lambda.opt.lambda","lambda.ci.val1","lambda.ci.val2","lambda.z","phy.signal","kappa.z"
0,0,1.0830727720578,-0.143213098308925,370.149355506461,-183.074677753231,4.61852778244065e-14,0.428268334236512,1e-06,NA,0.112103523228773,7.01615284422024e-06,0.0639242408853446,0.760852270033666
0,0.25,0.870987762827707,0.310830748203421,341.791318407683,-168.895659203841,4.87210272126504e-12,0.0562396433156713,1e-06,NA,0.110880838145247,7.74034647023579e-06,0.0373142122198474,-0.881973221582886
0,0.5,0.959742605050399,0.409438508156666,355.639637331125,-175.819818665563,8.13127343235465e-13,0.0176463960392392,1e-06,NA,0.213298556051025,5.4000623955279e-06,0.108231093841676,2.31915335009059
0,0.75,1.14094560360132,0.610347160199034,379.548821463174,-187.774410731587,2.24265050974282e-14,0.00141042611801567,1e-06,NA,0.137985982303507,6.87704329579161e-06,0.113503493762109,2.4446600607479
0,1,0.693841810952932,1.22945798187884,362.324005230459,-179.162002615229,1.19976638845998e-07,1.13306253268775e-10,1e-06,NA,0.0814099820569819,8.20381666855109e-06,0.0231743760789634,-2.28390536093558
0.05,0,1.173590271029,-0.554273842392325,370.434716212792,-183.217358106396,2.35231834011529e-11,0.0024414398742505,0.0495813601414579,NA,0.309539908170072,0.303593227336614,0.0234479209510581,-0.186318711198865
0.05,0.25,0.905958061655276,0.400107573821088,373.853775094664,-184.926887547332,1.30002897336112e-10,0.0304846115262691,1e-06,NA,0.0816670640483707,7.53191423365179e-06,0.0824000377798261,1.23569890760503
0.05,0.5,1.18931735504,0.204045529408388,375.042120387073,-185.521060193536,7.32747196252603e-15,0.268320043066987,0.00623785931269092,NA,0.13010456885544,0.0259851055662807,0.00841825952645821,-1.32939239056782
0.05,0.75,0.934191728246655,0.718017321615369,368.965442259746,-182.482721129873,2.0306423209604e-11,0.000106135792173667,1e-06,NA,0.166939551194998,4.02496886638025e-06,0.0393351544992667,0.430619696706107
0.05,1,0.928110937925238,0.995186042419421,374.439158423661,-185.219579211831,5.84179371543314e-11,2.77946313742561e-07,1e-06,NA,0.576743137630842,3.38856468285367e-06,0.102748984459153,1.57502936836275
0.1,0,0.972711385741403,0.386906184558717,365.478317092986,-180.739158546493,2.33546515460148e-12,0.0306209306220426,1e-06,NA,0.445271733918699,4.46040318819754e-06,0.133974712124293,1.38318959363787
0.1,0.25,0.874691107352847,0.511315131611805,359.971150373826,-177.985575186913,0.000186527802690239,0.00291922685463009,0.231525592960839,0.0521150409054482,0.560147809442134,2.96341267292265,0.146544317642406,1.59379741394834
0.1,0.5,0.973260522111155,0.496715913895871,364.769899320118,-180.384949660059,2.03348449190344e-12,0.00566345584362171,1e-06,NA,0.168027112468471,2.55675442093935e-06,0.106503084312552,0.560200844916613
0.1,0.75,0.965942020408853,0.777019121011547,348.374203569442,-172.187101784721,1.73768071487501e-07,5.16171521525166e-06,0.117625148821941,NA,0.435132773423737,0.721365904441649,0.135152048429498,1.47282175502683
0.1,1,0.981849097762275,1.1097450190295,338.036851293746,-167.018425646873,1.26565424807268e-14,1.48830503476916e-10,1e-06,NA,0.106765748541329,6.81893808654551e-06,0.0897742165294608,0.0115296431036639
0.15,0,1.10141739151823,0.00932663984716309,355.595904365792,-175.797952182896,3.44578050537336e-08,0.955892159544357,0.123390296858838,NA,0.370115919470773,1.05530602991312,0.0148982964585547,-2.33231603316151
0.15,0.25,0.712194716362894,0.121715162786673,382.487085609185,-189.243542804592,0.00277883643337384,0.514255985584684,0.1755003846551,0.0117957816733203,0.482069113788081,1.49636911806474,0.0470248293478138,1.06771140919449
0.15,0.5,1.14069477374613,0.342549710233962,342.107317488431,-169.053658744215,3.81916720471054e-14,0.035278336868015,0.0317565196081842,NA,0.258837997157343,0.152373007907935,0.0366000397972246,0.298435276286616
0.15,0.75,1.33703916646815,0.560523145599883,340.418055214832,-168.209027607416,2.1316282072803e-14,0.000603101207373502,0.0748102947810245,NA,0.328973684210423,0.696219642829955,0.0385783454236669,0.421831125467023
0.15,1,1.04891521972364,0.956777034392504,370.074567348514,-183.037283674257,8.03748192446108e-08,3.84207130110781e-07,0.0946078352896299,NA,0.421806661704694,0.628721770654187,0.0422778235921151,0.823526852853664
0.2,0,0.843856286279273,-0.0351691947231309,349.346075584673,-172.673037792336,0.00338572246171287,0.827709073196627,0.309389428331098,0.0136275898579008,0.600845507333524,1.61601729873463,0.00529517262939195,-0.395808062101767
0.2,0.25,1.04869795855174,0.223896096091989,341.13759794004,-168.56879897002,1.22517159262259e-06,0.160032316845637,0.156396476413517,0.0197282344481843,0.395844612294834,1.67971255097232,0.0139984829634423,0.663828072863163
0.2,0.5,0.891635685279656,0.4449067854439,367.768415126299,-181.88420756315,1.68624239016424e-08,0.0136650674539718,0.024647715161931,NA,0.327635620943419,0.0344179344531355,0.0104536629907955,0.304747004976632
0.2,0.75,1.29061867703471,0.82832678790171,354.620685233048,-175.310342616524,2.91472771274393e-06,1.84270659753238e-06,0.254914673060761,NA,0.561415478233211,1.12819783771033,0.00967265344185484,0.214255747560766
0.2,1,1.14398689100637,1.1708097297853,336.331251544002,-166.165625772001,0,1.56745727508678e-11,1e-06,NA,0.165733497010838,5.78625731444912e-06,0.0186311483571418,1.01995391142014
0.25,0,1.05878775528028,0.152427070021053,366.974233927792,-181.487116963896,1.7655478812717e-05,0.386028211387754,0.321126080662256,0.0361572860958676,0.612101020167965,1.86988004157911,0.105213857747649,0.156086512164597
0.25,0.25,1.16892606113978,0.171974035285807,327.968116735074,-161.984058367537,9.24050835848789e-10,0.259844300782553,0.216655717765699,NA,0.555625978911162,0.938458790042578,0.133621248089867,1.16937947155016
0.25,0.5,0.808016830032467,0.557391463202142,360.856967987689,-178.428483993845,0.000153989783677311,0.00156964050282737,0.237769076752175,0.00489692217932129,0.573050081902028,1.59821060673982,0.082215885344042,-0.871192511585784
0.25,0.75,0.857830546399591,0.884989481264678,366.997911942458,-181.498955971229,0.00061557588525174,1.429832146016e-06,0.344186411683833,0.106560104106698,0.613906313431369,2.68554962614889,0.155651000499401,1.53662636389762
0.25,1,1.16146358466877,0.995568254228954,353.214190713469,-174.607095356735,2.56448196012116e-11,3.21295758887175e-08,0.0993069999718775,NA,0.449866589740096,0.403346210951718,0.121789695439889,0.7219019488625
