"lambda.in","beta.in","coef.(Intercept)","aic","log.lik","Pval.","lambda.opt.lambda","lambda.ci.val1","lambda.ci.val2","lambda.z","phy.signal","kappa.z"
0,1,1.36322705849065,78.7267747770809,-38.3633873885404,1.19023901845594e-10,1e-06,NA,0.251635188738497,4.29484451643272e-06,0.0309094417143737,-1.82466469809252
0.05,1,0.589289814247918,92.052514784827,-45.0262573924135,0.00231093839194396,1e-06,NA,0.439410620259005,4.08802704798752e-06,0.030526883448863,-0.337850794933202
0.1,1,1.00058085536333,83.3829543217433,-40.6914771608717,3.3825146683597e-07,1e-06,NA,0.245959616940654,4.66442049658629e-06,0.087325504135599,0.338086536061519
0.15,1,0.643998599790487,87.7255442244527,-42.8627721122264,0.000506224321198623,1e-06,NA,0.585766179257629,2.16226066913808e-06,0.167539370880337,0.317388902119587
0.2,1,0.923571835915159,68.9396936213606,-33.4698468106803,4.04553153199316e-08,0.0224733653725224,NA,0.581822002884048,0.0226842704986186,0.0335900740929827,-0.6653680224518
0.25,1,0.999883097982275,84.0178289588425,-41.0089144794212,2.80294827705863e-05,0.0789498925136157,NA,0.556124223206519,0.316373479255252,0.124131668135119,-0.983496800891994
0.3,1,0.695111856549365,83.1963220932786,-40.5981610466393,0.00149487820328442,0.152762403312954,NA,0.560733733158897,0.583233944605122,0.0168051164380088,-1.70530470311451
0.35,1,0.8926517541613,93.9090640869828,-45.9545320434914,0.0402672681432961,0.482732895938757,NA,0.905888751831598,0.690266739665615,0.115899240510087,1.57322002403717
0.4,1,1.09679554015321,84.9301392423003,-41.4650696211501,0.0270972091029118,0.618891688126757,NA,0.946222255649183,1.57149905569507,0.316633196634909,1.71203207644664
0.45,1,0.714677432165624,68.6618508068577,-33.3309254034289,9.25608082282814e-05,0.17401418334192,NA,0.700706105990236,0.348161545652629,0.155989649146908,0.946852707144886
0.5,1,1.44586894563189,78.7094770160133,-38.3547385080067,0.000901616108657688,0.77590844982898,0.152167186101573,0.971595150997984,1.98886414704834,0.360834457434885,2.12083541052722
0.55,1,0.787395127821301,68.0342111190046,-33.0171055595023,0.022634053542991,0.632386180947927,0.270768519923574,0.870505547995525,3.9813881155438,0.121536348628204,0.420982716952164
0.6,1,0.824768935617206,80.7098826945738,-39.3549413472869,0.0666793892536179,0.73328330567685,0.221690602549384,0.941424990258279,2.41475053066668,0.0401857015532036,0.477594064890733
0.65,1,0.611368396572565,87.278373090099,-42.6391865450495,0.000809075003916027,1e-06,NA,0.797174054136637,2.44015329962477e-06,0.135361770755236,0.660036949153159
0.7,1,0.481330763720494,61.1137143876451,-29.5568571938226,0.0832553435450678,0.447116052316179,NA,0.933325968282264,1.22562006856223,0.185608472922273,1.17847888295849
0.75,1,-0.30627781934184,77.9814914900673,-37.9907457450336,0.451429972556983,0.688587895363113,0.2907918273209,0.951604642696399,3.71508039486244,0.411428017660828,3.33167839555539
0.8,1,0.743342048878565,82.1198982054521,-40.059949102726,0.00843567134865042,0.516008427577474,NA,0.955197581140649,0.911210063107728,0.429904780878063,1.09543571626357
0.85,1,1.12923335182967,64.7902749771246,-31.3951374885623,0.00162864764771498,0.767769014615605,0.419827260866075,0.944278947544999,4.33638476637294,0.505130994027076,3.82566021241567
0.9,1,1.14927769915238,60.3320701342059,-29.166035067103,0.034992436402683,0.942729125784577,0.635389577418015,NA,5.65440298574104,0.743571939618893,3.83362503335619
0.95,1,0.893208560434896,54.4124867523209,-26.2062433761604,0.00954933482929077,0.827825700259036,0.300974524621579,0.983091204315449,3.31494784008746,0.181014087143302,2.53799790749884
1,1,1.0329865574388,31.989154459029,-14.9945772295145,0.012526531491635,0.983219106790177,0.829425773279771,NA,4.97514200769058,0.692184935964706,6.01075585523146
0,1,1.22622746700875,92.874094666671,-45.4370473333355,1.21692102172943e-07,1e-06,NA,0.386402464580362,2.66026420645969e-06,0.243060351523445,-0.380921567666621
0.05,1,0.971733855732889,65.4707085932183,-31.7353542966092,0.000129476429561404,0.316130482722147,NA,0.700079135582252,1.34391786237548,0.0247287515937055,-1.64561550569836
0.1,1,0.992703121525198,83.4249967426352,-40.7124983713176,3.94925875557561e-07,1e-06,NA,0.65744729329694,2.89558358227995e-06,0.311381344050585,1.30135619553784
0.15,1,0.644440471642357,98.7377328128231,-48.3688664064116,0.0135732424592245,0.0902474064217089,NA,0.521027118051325,0.320178964411684,0.0260861074713582,-1.00811400509041
0.2,1,0.900673829491266,92.5041920204754,-45.2520960102377,1.92120230257942e-05,1e-06,NA,0.610121431212832,4.76837158203125e-07,0.22575712571584,-0.233521647913152
0.25,1,0.597810645623857,85.4544755829675,-41.7272377914838,0.000760644598316595,1e-06,NA,0.547386030969916,5.19621246283135e-07,0.210725201125666,0.271223685123469
0.3,1,1.46788485805103,84.0639998872885,-41.0319999436443,1.48125067767069e-10,1e-06,NA,0.294728753257297,4.0001777972132e-06,0.0826626383465506,-0.695757944716722
0.35,1,1.03326982805588,90.0452448669374,-44.0226224334687,0.00189433544516504,0.25049221902906,0.00324317412812204,0.678076733115143,1.52580907469007,0.084502929955256,0.353403485099544
0.4,1,1.35324043210881,72.7059740371332,-35.3529870185666,0.000720181810852205,0.751972837291746,0.296860499041701,0.937987348526499,2.83934184574907,0.202961495866142,1.27109511556081
0.45,1,0.719342257307027,93.6942015539136,-45.8471007769568,0.000419354783176118,1e-06,NA,0.850962650452776,1.05955534187741e-06,0.160005046360372,0.314106830028669
0.5,1,0.984204256973053,80.025184718723,-39.0125923593615,1.74361978633186e-07,1e-06,NA,0.454662287186037,5.84003863998217e-07,0.131492430673186,-0.279473110177516
0.55,1,1.28307199966624,84.908008618016,-41.454004309008,0.00659887996299702,0.708424670652686,0.149737431609564,0.966653498013365,2.3815403109183,0.193378804996019,1.32664616554095
0.6,1,0.825570468860949,91.5112615037962,-44.7556307518981,0.06398009901048,0.60036249679155,0.202762759581509,0.834268145697827,2.67222923726552,0.0995029402230344,0.308198555428334
0.65,1,1.65780825470755,71.9334183690465,-34.9667091845232,8.09510436106109e-06,0.468933587832968,NA,NA,1.37688194886645,0.253181366542588,2.58717866810586
0.7,1,0.831273531998782,92.0579595123587,-45.0289797561793,5.31501771936504e-05,1e-06,NA,0.489009916127103,3.56433782284881e-06,0.378515021067302,1.39288480337885
0.75,1,1.71757919694372,63.7716026052596,-30.8858013026298,6.52452504912304e-07,0.525918971074812,0.178946769250274,0.830994016999979,3.43309525011542,0.229911226159828,1.87311641854156
0.8,1,1.36716570639186,75.5745170816195,-36.7872585408098,0.0912695104523011,0.994788154809329,0.804428281523586,NA,5.82725728187432,0.803831491299451,3.78757280994092
0.85,1,1.21241881981719,56.4082914187113,-27.2041457093557,6.18916542016734e-07,0.534093526671762,0.122270745587939,0.959280713604681,2.79898804818294,0.532310608364649,2.02877831345147
0.9,1,0.936426584275902,58.2257627804581,-28.1128813902291,0.00177274014480133,0.666069326610769,0.0272006950078951,0.888108675222215,1.76702551686365,0.00137007127110784,-1.09524127147509
0.95,1,1.1933676958527,69.0017515685174,-33.5008757842587,0.0192472364911038,0.97921811183883,0.611554015709396,NA,2.48729941523673,0.56658886593429,2.79721679423371
1,1,1.51362567625173,39.6831304903948,-18.8415652451974,0.00801002383609939,1,0.922613280203037,NA,5.19139298732886,1.12808309076158,5.75273267447903
0,1,0.803654430350318,95.6660351807879,-46.833017590394,0.000167094538058299,1e-06,NA,0.544591052317139,3.39903293356496e-06,0.0943286450263008,1.00803020612151
0.05,1,1.01161826629442,93.8244372447671,-45.9122186223835,4.51326392081342e-06,1e-06,NA,0.532593471960948,3.53028604864141e-06,0.131622955052782,-0.17842254632529
0.1,1,0.454643572618516,85.6249591354084,-41.8124795677042,0.0435483343337837,0.150200561217253,NA,0.704176119941499,0.481799090860716,0.0616665215386219,0.259125852989824
0.15,1,0.912281016774487,96.8199706548916,-47.4099853274458,5.42196765778158e-05,0.00793681983675507,NA,0.401447830114425,0.0082269033223996,0.101566710790345,-0.406858760830135
0.2,1,0.949958396401996,95.2804842433614,-46.6402421216807,0.00537300803875507,0.260375131100204,NA,0.75690771607875,1.34181741895364,0.026822565336426,0.247207495695302
0.25,1,1.01477258764542,104.302084904661,-51.1510424523303,0.000872588777514949,0.114760756171986,NA,0.658033674596246,0.243822397667429,0.242782253141574,0.0301806762213616
0.3,1,1.34483233337048,79.1664084924027,-38.5832042462014,1.91073601385483e-10,1e-06,NA,0.570034060102996,2.99450318505298e-06,0.15393400539977,0.233767223245755
0.35,1,0.960880692355679,80.9723204688058,-39.4861602344029,3.56008201585212e-07,1e-06,NA,0.407334493082204,4.23486701687136e-06,0.0394957947524849,0.628051079693068
0.4,1,1.009828342065,91.0078225917492,-44.5039112958746,1.2670166236628e-05,0.0346262205769656,NA,0.54053423463902,0.0763844928909316,0.0109150549922443,-1.74359192028063
