"lambda.in","beta.in","coef.(Intercept)","coef.x","aic","log.lik","Pval.(Intercept)","Pval.x","lambda.opt.lambda","lambda.ci.val1","lambda.ci.val2","lambda.z","phy.signal","kappa.z"
0,0,1.25951463766397,-0.0423618078839696,26.2896936769035,-11.1448468384517,0.176688610393346,0.930639654691631,1e-06,NA,0.682615754003923,2.31616010996407e-06,0.300803638154533,-1.29070489643576
0,0.25,0.290422982449139,0.527370704825848,25.3274755384611,-10.6637377692306,0.664098383465146,0.435221049246238,1e-06,NA,NA,1.53821562535333e-06,0.408534502166819,-0.598045871246915
0,0.5,1.70164666328302,0.902942420893291,24.1086408398968,-10.0543204199484,0.00981641434900049,0.0301501090224121,1e-06,NA,NA,1.27280691290275e-06,0.368494494857912,-0.864133513850791
0,0.75,1.53364938054485,1.16368437847269,8.9694520869257,-2.48472604346285,0.00120626700847515,0.000269645802733365,1,NA,NA,1.69891970181273,0.648858591772329,0.644205204315293
0,1,1.18740231167294,0.381169494744602,32.2479631140945,-14.1239815570472,0.263629332744959,0.768361339080858,1e-06,NA,NA,2.02480408566749e-06,0.54005172034488,0.11170430294577
0.1,0,1.68263772773573,-0.837241351428735,19.8088354444348,-7.9044177222174,0.0171909720779677,0.0603335869278956,0.957213794200494,NA,NA,1.12244445319741,0.685218991777573,0.0116344931910211
0.1,0.25,0.0807698637225056,0.433913155290719,25.4991532711095,-10.7495766355547,0.919422189367874,0.287116461614636,1,NA,NA,0.864878865862217,0.826181215137475,0.618089232809702
0.1,0.5,2.4821360527823,-0.203858540836809,22.4096014321642,-9.20480071608211,0.00399658776310607,0.511552074030913,1e-06,NA,NA,8.49235466049612e-07,0.725219230855667,0.228815048373715
0.1,0.75,0.521396024924097,0.871210704130752,27.9049896868183,-11.9524948434092,0.40546612826284,0.0762580233272505,1e-06,NA,0.831310942774046,1.62907247170406e-06,0.421003818731857,-1.12895975289082
0.1,1,1.20483007942737,0.787941181237445,26.8612031923835,-11.4306015961917,0.0802099260994225,0.154299177184697,1e-06,NA,NA,3.95372484964776e-07,0.313547970936505,-1.89087793583971
0.2,0,1.79045573378951,-0.313295580409733,25.268532955044,-10.634266477522,0.0200720239011289,0.587984664910139,0.685017502916669,NA,NA,1.07997053604582,1.02211287849048,1.18892430988176
0.2,0.25,0.0197135093960679,0.921309108960954,17.6265083650331,-6.81325418251654,0.963889476124174,0.00322986889595178,1e-06,NA,NA,1.05955534187741e-06,1.35592124191931,2.46601608175394
0.2,0.5,1.3301954660869,-0.0265555182622836,26.7406432180395,-11.3703216090198,0.0617355747112218,0.957329549953019,1e-06,NA,NA,9.48069913422279e-07,0.67177416833118,-0.637360209448445
