"lambda.in","beta.in","coef.(Intercept)","aic","log.lik","Pval.","lambda.opt.lambda","lambda.ci.val1","lambda.ci.val2","lambda.z","phy.signal","kappa.z"
0,1,0.974106390888904,1497.68374412699,-747.841872063493,0,0.0134999153329268,NA,0.101305122393045,0.154414203670331,0.0403175050286573,-0.656450504688964
0.05,1,1.04580004127824,1381.23605245918,-689.618026229589,0,1e-06,NA,0.0375233249888037,1.33087975854424e-05,0.0068045793355892,-1.18411363934191
0.1,1,0.854281441332256,1426.76285022246,-712.381425111231,0.0101651534363345,0.180936757333783,0.0727350891552633,0.347689361273958,3.52560038017142,0.0315781381179146,1.16588537679352
0.15,1,1.06241488431916,1420.10748339985,-709.053741699925,9.98533256080236e-10,0.152512768842171,0.0430162385802957,0.313203437411975,2.06681153571641,0.00896966757425863,-0.499735155320932
0.2,1,0.860548581618382,1412.59071580237,-705.295357901187,0.0120548600104375,0.1956674009129,0.058364604411212,0.389623105354453,2.40791819012189,0.0254450669522873,-0.734636651571203
0.25,1,1.01822775008963,1375.28240357886,-686.641201789431,3.17097015312129e-10,0.152808495815492,0.056899403994332,0.308417998202639,4.77355112727988,0.0466735566313411,1.9705971450825
0.3,1,0.914056428222662,1369.4058208338,-683.702910416902,1.04231305764202e-06,0.293914422609484,0.111147520734302,0.493680032654495,2.79709252417198,0.00847349666269669,0.105352875451164
0.35,1,1.09673203341696,1383.40100560336,-690.700502801678,0.142838671494368,0.602979992440065,0.459402595506632,0.721086683231863,9.17237882962479,0.0402539289720877,1.09797456840512
0.4,1,0.661909268526555,1264.55320344985,-631.276601724923,0.329284646216431,0.605860852752292,0.448132990504856,0.734933557533177,11.3592541305079,0.110581222672054,3.53001304848773
0.45,1,1.19969815790564,1322.97133689102,-660.485668445509,2.06475947450713e-10,0.326081372598224,0.203440880050172,0.464434492264384,6.87431046951018,0.0709217573088393,0.823414629859863
0.5,1,1.24079744580955,1293.42472799599,-645.712363997997,0.122072704171599,0.711333994882569,0.591835615006762,0.802560498931793,11.1281823128226,0.0578657767501999,2.18704093299872
0.55,1,0.981911645127494,1340.18875215423,-669.094376077115,0.000157665928954831,0.555263637885477,0.431557780844493,0.670518987833759,13.6721738414305,0.129627102794318,4.09884621601678
0.6,1,0.68854896636002,1258.37890493549,-628.189452467744,0.00564323343748208,0.606804862233761,0.46739209311177,0.722488616219041,11.4781386626317,0.103031929801769,4.36734951630541
0.65,1,1.16282207065477,1229.89538508929,-613.947692544643,3.46940933759754e-08,0.582282650823578,0.46052486867901,0.688810221875496,12.8085233807066,0.042171343990498,0.278264092488411
0.7,1,1.03639935088813,1087.49672146381,-542.748360731903,7.980092940163e-05,0.711428257677011,0.600497515039996,0.800470003150161,16.1692776872671,0.0899081208190584,3.00994108719213
0.75,1,0.996890472391866,1035.77622415288,-516.888112076441,0.181604880762035,0.791898743964049,0.697981543226029,0.85852453919942,10.1980870466834,0.0228643819985808,1.18192115899362
0.8,1,0.0673987999283549,1016.98499956222,-507.492499781109,0.835441634736709,0.764052149685934,0.66688463682664,0.840395612395214,20.4675802463752,0.219775038613286,5.28948871733054
0.85,1,1.36135327728968,943.732655377329,-470.866327688664,0.150276768835051,0.926682756146305,0.892066609793228,0.950699123381816,23.2456423860928,0.298279505940495,6.22421058084066
0.9,1,0.986872474263873,809.90904359509,-403.954521797545,0.0124733027243067,0.951993872456858,0.921840131057361,0.971122970821403,21.1504288081147,0.327263898319066,8.29212760601873
0.95,1,0.656307380502349,732.895900520926,-365.447950260463,0.0226203136029772,0.932450054999566,0.895078468596257,0.957667068884956,24.4829650869662,0.312923186397443,8.25933464877789
1,1,0.968636425087193,570.573539633548,-284.286769816774,0.00125241771407136,1,0.998504649837705,NA,29.9757694936045,1.16543939770687,13.624240111652
0,1,0.983883799563133,1443.7365203095,-720.868260154751,0,1e-06,NA,0.035161609064373,1.07367804042794e-05,0.0386182926418395,0.89404532694043
0.05,1,0.894885329365835,1453.47878037278,-725.739390186391,0.0028362035319871,0.144677709092439,0.0363338171868139,0.333379333782722,2.03692227392415,0.0669938140271646,1.63384830006448
0.1,1,0.953209531221704,1451.4870493485,-724.74352467425,0.00135683678386345,0.139703595126453,0.0360737980409604,0.297261761042111,1.54812950018155,0.0519270929091584,-0.433775717495712
0.15,1,1.13657631061923,1400.59499012901,-699.297495064504,0.000594593876102945,0.193342383987914,0.0685817758041088,0.372620269270914,3.01451972651047,0.0565793859780507,0.736531434341807
0.2,1,1.07258283296302,1424.14662997207,-711.073314986036,0.00548884536542493,0.245112581341719,0.0863145733295013,0.436053157354087,2.79832269655913,0.0385198811810168,-0.478831335087174
0.25,1,0.995206324627382,1390.59887380863,-694.299436904315,3.55136622776087e-07,0.316814756194243,0.187500785761575,0.468380502250395,8.09433841677639,0.084749480584899,2.61903512582431
0.3,1,0.9665409425513,1354.65558693821,-676.327793469107,1.43672207908452e-07,0.352415264506435,0.199374613292194,0.508475274675941,5.3287387762099,0.0250991680766065,-0.00125263921423823
