"lambda.in","beta.in","coef.(Intercept)","aic","log.lik","Pval.","lambda.opt.lambda","lambda.ci.val1","lambda.ci.val2","lambda.z","phy.signal","kappa.z"
0,1,1.12507972008839,95.6718131787642,-46.8359065893821,1.2610648301159e-06,1e-06,NA,0.527305935296447,2.33905516509397e-06,0.103230552162507,0.942159833941903
0.05,1,1.45425819488114,86.9299488519805,-42.4649744259903,5.09505992951631e-10,1e-06,NA,0.291792187349939,4.4236124313544e-06,0.0766114058098381,-0.494780234387374
0.1,1,0.929111372659479,75.2329575687962,-36.6164787843981,0.0363348236415961,0.549491256781192,0.149296310557992,0.860958476871541,2.85757952092777,0.146331364259456,2.77996535721638
0.15,1,1.05242708362457,74.1181204178543,-36.0590602089272,0.000203552548541985,0.218868732600369,NA,0.771286707408255,1.04087675338091,0.110145271608702,1.30164454644636
0.2,1,0.875036990822481,88.4820571775159,-43.241028588758,0.1018684246986,0.545102032476596,0.14805786873399,0.87244559035006,3.39334500429621,0.164237701906047,3.35616200450683
0.25,1,0.954200467556491,88.8287799735393,-43.4143899867697,3.29515855845841e-06,1e-06,NA,0.444060898260471,4.336007470959e-06,0.126908473660242,2.09078700934155
0.3,1,1.50906992710589,96.7850427505983,-47.3925213752992,1.69798192977133e-05,0.132476082106471,NA,0.5887160450814,0.706612743259449,0.0843506053844185,0.00192845934604733
0.35,1,0.87079781905277,77.1406367518246,-37.5703183759123,0.000457750609037744,0.139704852605138,NA,0.55992898461274,0.905278999338277,0.0846831542081263,-0.047925926694359
0.4,1,1.37484654995264,83.5971731078476,-40.7985865539238,3.11824424503726e-07,0.0827413564126078,NA,0.721559183066696,0.268895768260086,0.116475715777626,1.4622573338729
0.45,1,1.50210606456078,74.0021564677161,-36.001078233858,5.43000449049202e-08,0.138914222670893,NA,0.673988544125182,0.587261991784458,0.0883085315287488,0.256595422651998
0.5,1,1.19040184278987,65.6858724280759,-31.8429362140379,3.59244836283246e-05,0.286273137127463,NA,0.870825864556697,1.2625091622048,0.148960573967262,2.79731187561101
0.55,1,0.192682737391451,94.054004722874,-46.027002361437,0.804388877841174,0.747773828400286,NA,0.952021445752561,1.64760338992801,0.154248297160299,3.00243666913428
0.6,1,1.90538527113469,87.5348482235732,-42.7674241117866,7.44520445157271e-05,0.403878561065752,NA,0.859656570523106,0.924745639536882,0.122682984218242,1.92540700439144
