"","lambda_input","K","mu","sd"
"1",0,0.999161384224238,1.45350853748838e-21,0.00264611971383789
"2",0,0.998576348558332,-1.27486928891245e-20,0.00280924454490511
"3",0,0.997041341841587,-4.39948912803884e-21,0.00302659173764882
"4",0,1.00154065321865,-4.32431495397002e-20,0.00313000302757142
"5",0,1.00190932073328,2.89863144879894e-20,0.0030234139277854
"6",0,0.998768202100861,3.84991297603656e-20,0.00296834757524005
"7",0,0.996385446218421,-5.5966431440407e-20,0.00305628846888914
"8",0,1.00039386467618,-1.4089546044628e-20,0.00288144995678902
"9",0,1.00524322570014,-1.24367730062981e-20,0.00304094151147209
"10",0,0.997300986587563,-1.57179668857244e-20,0.00291920186741736
"11",0,0.999003764219982,1.07368308207179e-20,0.00277296700997274
"12",0,1.00754519398369,4.47004697254512e-20,0.00297704874979052
"13",0,0.997898365378926,-5.67775713665214e-20,0.00292280068956745
"14",0,1.00230880156984,-3.26107684692906e-20,0.00295834706038286
"15",0,0.996760897047859,-8.60521946939325e-21,0.00293885075138172
"16",0,1.00104130355533,4.08200000358424e-20,0.00294472998639529
"17",0,0.996114750899288,1.29638392577271e-20,0.00300991672965218
"18",0,1.00545919123417,5.06011129942615e-20,0.00300976218347163
"19",0,0.997229896091377,5.26918020663219e-20,0.00302842735034035
"20",0,1.00033192455329,-3.98363830258434e-20,0.00290039293089248
"21",0,1.00596780851508,-4.97437038934033e-20,0.00302871267204233
"22",0,0.998043122804671,5.65076854937025e-22,0.00298311093501501
"23",0,0.997322357943131,0,0.00296725992144038
"24",0,0.998310012375283,-7.32082105982419e-20,0.00283492678290917
"25",0,1.00174345763427,9.39401890152382e-21,0.00287907529793734
"26",0,0.998316541139546,-9.02270083327121e-20,0.00287787137530142
"27",0,1.00455934424026,7.37931397878802e-20,0.0029899675128222
"28",0,1.00587324552845,4.49688402033879e-20,0.00297954871581271
"29",0,0.998120296842817,-1.74649723394364e-20,0.00301375355109748
"30",0,0.996410134986797,-1.0559451533651e-19,0.0030375298867586
"31",0,0.999556786298588,3.16184693715821e-20,0.00289169346537861
"32",0,0.996238318228063,-6.0481011170154e-20,0.00298393031557968
"33",0,0.999551645722305,-4.82012568964532e-20,0.00268808780937835
"34",0,0.998210756467669,4.27622465838965e-20,0.00309516816089324
"35",0,0.998308604109449,5.27235658018439e-21,0.00288063089872321
"36",0,0.996256094298398,3.15560006917221e-20,0.00290480261695638
"37",0,0.997440849040955,6.02960403502974e-21,0.0030919063397924
"38",0,1.00115018747979,-4.03039452127277e-20,0.00301812608602167
"39",0,0.99563223433372,-1.76348289151405e-21,0.00283050535280988
"40",0,0.998935026508961,-7.04777998927677e-20,0.00283107408919062
"41",0,0.99528965233435,1.41102983518358e-20,0.00292829808113577
"42",0,1.00817320432822,-1.30716030244415e-19,0.00291079620934275
"43",0,1.00291344280786,6.56893108837023e-20,0.00290142770204365
"44",0,1.00166328034692,4.33634282182103e-20,0.00300467288162011
"45",0,1.00162449699171,4.66363105868417e-20,0.00251076756475223
"46",0,1.00109548205027,-1.44180889490443e-20,0.00308927406856602
"47",0,1.00216663332247,-2.83599336234949e-20,0.00304194618065514
"48",0,0.998494077167172,-3.52255591774646e-20,0.00289229589612937
"49",0,1.001427773829,4.53950367421997e-20,0.00297291837947447
"50",0,1.00236528135439,-6.35228123628626e-20,0.00293308830029436
"51",0.05,1.00149032107397,-8.6371949631521e-20,0.0132036385206355
"52",0.05,0.995378454418725,-1.74160350109088e-19,0.0131161045828329
"53",0.05,1.01903084287821,1.7277460420738e-19,0.0134278477009545
"54",0.05,0.986544907806021,1.40404181336873e-20,0.0134943028451537
"55",0.05,1.00809795728703,3.23676700134286e-19,0.0129425182836499
"56",0.05,1.01597983332381,-1.95249988188062e-19,0.0133194481418386
"57",0.05,0.984268302538723,-1.44314085421399e-19,0.0132686745954984
"58",0.05,0.981006533343219,1.08515508455117e-20,0.0137810315646192
"59",0.05,1.02024857590721,-4.96036046439274e-19,0.0134244203508082
"60",0.05,1.02660161245681,3.97780224557775e-19,0.0136202524707361
"61",0.05,0.991155705989767,-8.45101712134561e-20,0.0129014359701401
"62",0.05,1.01310416790957,-4.75520061423828e-19,0.0136864812020792
"63",0.05,1.01513154414951,3.88545659608572e-19,0.0133532571829453
"64",0.05,1.00833664329289,-6.01207773221096e-19,0.0125587262650432
"65",0.05,0.98803231998975,1.98446267014526e-19,0.013159155549228
"66",0.05,1.01537530621996,2.87856947344322e-19,0.0138321980351084
"67",0.05,1.00490514306699,-1.74466764277757e-19,0.0129722137296783
"68",0.05,1.02561620203912,3.50451411596994e-20,0.013241009784626
"69",0.05,1.02900289881952,-3.37590063325885e-19,0.0130795724351297
"70",0.05,0.992317541008865,-6.64124652624207e-20,0.0133131949428794
"71",0.05,1.0199669823251,3.98156307186356e-19,0.0134328767809195
"72",0.05,1.02223608436154,-3.53982030209607e-19,0.0134830102713935
"73",0.05,1.02979946776287,3.58921741069537e-19,0.013258290530709
"74",0.05,1.00880809248473,-1.5917231386566e-19,0.013402851029736
"75",0.05,0.996998274004944,5.03408727091294e-19,0.0135083239052096
"76",0.05,0.994020629780214,3.81554461420172e-20,0.0133084781715266
"77",0.05,1.01148836788904,-2.52876180688614e-19,0.0135711659006809
"78",0.05,0.990700395183273,-1.18938672387554e-19,0.0133515149412518
"79",0.05,1.02037611981593,1.29978899822067e-19,0.0133679329102541
"80",0.05,1.00417790552958,2.88814518091193e-19,0.0132469844654237
