"","32","64","128","256","512","1024"
"0",0.083265306122449,0.0448979591836735,0.0212244897959184,0.033469387755102,0.0269387755102041,0.0710204081632653
"0.05",0.126530612244898,0.0702040816326531,0.0759183673469388,0.0595918367346939,0.0906122448979592,0.0506122448979592
"0.1",0.0473469387755102,0.0383673469387755,0.08,0.0628571428571429,0.0644897959183673,0.0636734693877551
"0.15",0.0326530612244898,0.0702040816326531,0.0212244897959184,0.0236734693877551,0.0285714285714286,0.119183673469388
"0.2",0.0391836734693878,0.0489795918367347,0.0563265306122449,0.0595918367346939,0.0783673469387755,0.046530612244898
"0.25",0.0604081632653061,0.0955102040816326,0.086530612244898,0.0587755102040816,0.0922448979591837,0.043265306122449
"0.3",0.0595918367346939,0.0416326530612245,0.10530612244898,0.0391836734693878,0.0677551020408163,0.0938775510204082
"0.35",0.0636734693877551,0.0555102040816327,0.0685714285714286,0.0677551020408163,0.0710204081632653,0.0791836734693878
"0.4",0.0816326530612245,0.0783673469387755,0.046530612244898,0.0759183673469388,0.103673469387755,0.046530612244898
"0.45",0.0816326530612245,0.121632653061224,0.0277551020408163,0.135510204081633,0.0628571428571429,0.0889795918367347
"0.5",0.0881632653061225,0.0448979591836735,0.155918367346939,0.04,0.0587755102040816,0.036734693877551
"0.55",0.0693877551020408,0.107755102040816,0.10530612244898,0.0522448979591837,0.255510204081633,0.111020408163265
"0.6",0.083265306122449,0.121632653061224,0.129795918367347,0.180408163265306,0.161632653061224,0.11265306122449
"0.65",0.073469387755102,0.0946938775510204,0.137959183673469,0.155918367346939,0.123265306122449,0.137959183673469
"0.7",0.0473469387755102,0.0987755102040816,0.163265306122449,0.148571428571429,0.154285714285714,0.176326530612245
"0.75",0.104489795918367,0.083265306122449,0.0840816326530612,0.196734693877551,0.165714285714286,0.242448979591837
"0.8",0.0979591836734694,0.106938775510204,0.204897959183673,0.0987755102040816,0.261224489795918,0.229387755102041
"0.85",0.154285714285714,0.0759183673469388,0.138775510204082,0.191020408163265,0.237551020408163,0.266938775510204
"0.9",0.2,0.201632653061224,0.173061224489796,0.222857142857143,0.35265306122449,0.228571428571429
"0.95",0.141224489795918,0.202448979591837,0.262040816326531,0.29469387755102,0.278367346938776,0.302040816326531
"1",0.036734693877551,0.237551020408163,0.121632653061224,0.288163265306122,0.314285714285714,0.340408163265306
