"n32_min","n32_max","n32_var","n64_min","n64_max","n64_var","n128_min","n128_max","n128_var","n256_min","n256_max","n256_var","n512_min","n512_max","n512_var","n1024_min","n1024_max","n1024_var"
0.3,1,0.0246414053426249,0.85,1,0.00236181972789116,0.85,1,0.000918003565062389,0.9,1,0.000520981507823614,0.95,1,0.000171957671957672,0.95,1,0.000290322580645162
0.3,1,0.0246414053426249,0.85,1,0.00236181972789116,0.85,1,0.000918003565062389,0.9,1,0.000520981507823614,0.95,1,0.000171957671957672,0.95,1,0.000290322580645162
0.3,1,0.0246414053426249,0.85,1,0.00236181972789116,0.85,1,0.000918003565062389,0.9,1,0.000520981507823614,0.95,1,0.000171957671957672,0.95,1,0.000290322580645162
0.3,1,0.0246414053426249,0.85,1,0.00236181972789116,0.85,1,0.000918003565062389,0.9,1,0.000520981507823614,0.95,1,0.000171957671957672,0.95,1,0.000290322580645162
0.3,1,0.0246414053426249,0.85,1,0.00236181972789116,0.85,1,0.000918003565062389,0.9,1,0.000520981507823614,0.95,1,0.000171957671957672,0.95,1,0.000290322580645162
0.3,1,0.0246414053426249,0.85,1,0.00236181972789116,0.85,1,0.000918003565062389,0.9,1,0.000520981507823614,0.95,1,0.000171957671957672,0.95,1,0.000290322580645162
0.3,1,0.0246414053426249,0.85,1,0.00236181972789116,0.85,1,0.000918003565062389,0.9,1,0.000520981507823614,0.95,1,0.000171957671957672,0.95,1,0.000290322580645162
0.3,1,0.0246414053426249,0.85,1,0.00236181972789116,0.85,1,0.000918003565062389,0.9,1,0.000520981507823614,0.95,1,0.000171957671957672,0.95,1,0.000290322580645162
0.3,1,0.0246414053426249,0.85,1,0.00236181972789116,0.85,1,0.000918003565062389,0.9,1,0.000520981507823614,0.95,1,0.000171957671957672,0.95,1,0.000290322580645162
0.3,1,0.0246414053426249,0.85,1,0.00236181972789116,0.85,1,0.000918003565062389,0.9,1,0.000520981507823614,0.95,1,0.000171957671957672,0.95,1,0.000290322580645162
0.3,1,0.0246414053426249,0.85,1,0.00236181972789116,0.85,1,0.000918003565062389,0.9,1,0.000520981507823614,0.95,1,0.000171957671957672,0.95,1,0.000290322580645162
